rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_ep_length,eval/mean_reward
147.55,105397,403.15445509999995,87,1204,964,-128.74738440715092,105125,0.001,49.54021628473846,,
147.15,105991,403.41722138,87,1209,968,-128.74090266872096,105760,0.001,40.62262771891899,,
146.99,106593,404.1200760400001,87,1214,972,-128.81930421528062,106355,0.001,28.000046139449076,,
147.02,107231,405.71309264999996,87,1220,976,-129.5981732881986,106997,0.001,33.43506312825877,,
,107500,,,,,-129.62527977930355,107292,0.001,32.93991394238929,142.0,415.03648191690445
146.88,107813,407.1213369700001,87,1230,980,-129.79124069213867,107579,0.001,43.64311018586159,,
146.82,108393,408.9967804800001,87,1236,984,-130.16632696700424,108156,0.001,33.63657058518508,,
147.02,108983,410.84202222000005,87,1241,988,-130.34752205626606,108759,0.001,34.197230003318005,,
147.01,109554,412.2969399,87,1246,992,-130.8586014641656,109326,0.001,43.04516422165024,,
,110000,,,,,-130.91790322081684,109906,0.001,42.30627584128544,154.15,437.5764317333698
147.23,110145,413.54810244,87,1256,996,,,,,,
146.95,110703,414.11599814,87,1262,1000,-131.12374137104422,110479,0.001,34.40864550295493,,
147.06,111283,415.78038726,87,1267,1004,-132.00227567884656,111052,0.001,34.7541094786591,,
