train/actor_loss,train/critic_loss,time/episodes,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-117.65820794677734,10.277346879005432,,,0.001,,510000,,509287,,919.7,2327.3870964975213
-118.00584487915039,10.691455238743833,564,122,0.001,886.29,511144,2024.3744486099997,510306,4189,,
-117.36993978881836,10.53674398612976,,,0.001,,515000,,514144,,1000.0,2249.237537367403
,,568,121,,886.29,515144,2035.8969830499998,,4225,,
-117.8729832763672,10.372123852491379,572,122,0.001,886.29,519144,2048.3408434,518144,4250,,
-118.23681211853027,11.661444356918334,,,0.001,,520000,,519144,,864.9,1900.0443074491573
-118.85709954833985,10.5692281999588,576,122,0.001,886.29,523144,2078.0629807999994,522144,4285,,
-119.81281257629395,10.443083179473877,,,0.001,,525000,,524144,,1000.0,2541.447954070987
-119.90807981491089,12.58011248409748,580,121,0.001,886.62,526249,2056.7109821399995,525464,4317,,
-120.68262883822123,11.067381217750128,584,122,0.001,879.18,529505,2047.1003401899998,528505,4336,,
-120.45126159667969,10.772504287242889,,,0.001,,530000,,529505,,822.1,1746.470323245297
-120.70625135803223,12.0197965862751,588,122,0.001,878.8,533467,2034.82589292,532505,4370,,
-121.21432270812988,12.026483073234559,,,0.001,,535000,,534467,,906.5,2249.9552788880655
-121.13187910461426,12.094193163394928,592,121,0.001,885.88,537467,2041.05503699,536467,4405,,
-122.09303735351563,12.47592378282547,,,0.001,,540000,,539467,,982.6,2529.0833670674124
-121.70798588562012,11.73710834646225,596,121,0.001,895.58,541467,2071.37645081,540467,4442,,
-122.66634616088866,12.856822872638702,600,122,0.001,907.56,544983,2093.24846957,543983,4464,,
-122.6352684173584,12.150209870815278,,,0.001,,545000,,544983,,1000.0,2443.407680089981
-122.59798455810547,11.073139727115631,604,122,0.001,912.68,548983,2105.02781917,547983,4499,,
-122.97118238830566,12.75589114332199,,,0.001,,550000,,549983,,1000.0,2700.0854545089414
-123.22180868530273,11.931822689056396,608,121,0.001,912.68,552983,2113.3939427699997,551983,4534,,
-123.48253526306152,13.109224042892457,,,0.001,,555000,,554983,,1000.0,2613.3854569426503
-124.01818167114257,12.407000442504883,612,121,0.001,912.68,556983,2125.1424573299996,555983,4571,,
-124.45898263549805,12.660392884731293,,,0.001,,560000,,559931,,898.6,2226.5649009641843
,,616,121,,912.16,560931,2136.2657664300004,,4606,,
-125.05687477111816,12.440770372867584,620,121,0.001,900.61,563776,2134.5850112999997,562776,4624,,
-126.17918795072116,15.351412831371977,,,0.001,,565000,,564907,,993.2,2213.4907682346993
-125.50479946899414,12.61390851688385,624,121,0.001,900.59,566801,2145.4875217000003,565907,4655,,
-126.2366410522461,12.587384706497192,628,121,0.001,882.33,568975,2111.15909181,568860,4672,,
-126.37669609069825,13.251516409397125,,,0.001,,570000,,569975,,765.3,2016.3130128325895
-126.94481622314453,13.346538171291352,632,121,0.001,887.74,572975,2136.0214639799997,571975,4700,,
-127.00029557800293,13.163056636333465,,,0.001,,575000,,574975,,1000.0,2724.6272473272634
-126.88732737731934,13.451953047275543,636,121,0.001,887.89,576619,2148.90373689,575975,4734,,
-127.93851296298475,13.448813808251577,,,0.001,,580000,,579198,,1000.0,2799.731761507178
,,640,121,,883.68,580198,2151.18506033,,4764,,
-129.17391369628905,14.845606018066407,644,122,0.001,901.54,584198,2223.19075842,583198,4788,,
-129.80527899169923,13.2012521276474,,,0.001,,585000,,584198,,928.0,2602.1542713393455
-130.13091108703614,14.381052708625793,648,122,0.001,901.54,588198,2236.12071578,587198,4820,,
-130.64509034729005,14.919060666561126,,,0.001,,590000,,589198,,955.0,2580.7555079762474
-130.28479754638673,13.367313000202179,652,121,0.001,912.2,592198,2273.42747959,591198,4854,,
-131.21175898742675,14.220746871948242,,,0.001,,595000,,594198,,1000.0,2926.3185273933223
-131.42879264831544,14.523596966743469,656,121,0.001,912.2,596198,2289.1943404199997,595198,4889,,
-132.45775953674317,13.91313510465622,,,0.001,,600000,,599198,,877.8,2487.609693341423
,,660,121,,919.11,600198,2323.25150721,,4921,,
-133.22574476623535,14.086324076652527,664,122,0.001,926.91,603835,2338.2141531800003,602835,4943,,
-133.46951272583007,15.796124804019929,,,0.001,,605000,,604835,,1000.0,2668.410416538245
-133.92279733276368,14.44770238161087,668,122,0.001,926.91,607835,2353.02767452,606835,4978,,
-135.35291064453125,15.052934212684631,,,0.001,,610000,,609835,,945.9,2600.1669333063182
-135.26276948547363,14.270862634181976,672,122,0.001,926.91,611835,2357.2054787499997,610835,5012,,
-136.59266441345216,13.559675993919372,,,0.001,,615000,,614835,,854.8,2469.06663131495
,,676,122,,926.91,615835,2366.66287829,,5046,,
-137.86580473327638,14.489952180862426,680,122,0.001,935.86,619835,2411.37510248,618835,5070,,
-138.27191595458984,16.077855696201325,,,0.001,,620000,,619835,,1000.0,2733.743085260433
-139.03691032409668,15.406584837436675,684,122,0.001,943.3,623835,2445.61323781,622835,5105,,
-140.2067180385251,14.013948093889729,,,0.001,,625000,,624172,,911.5,2483.6740881545993
-140.00755097961425,15.572706452846527,688,122,0.001,927.65,626232,2431.23174186,626172,5132,,
-140.45945742797852,15.577282636165618,,,0.001,,630000,,629232,,1000.0,2889.760226603504
,,692,122,,927.65,630232,2461.2748278000004,,5159,,
-141.57618417358398,15.343723025798798,696,122,0.001,919.19,633386,2450.2704280999997,633232,5182,,
