rollout/ep_len_mean,train/std,train/value_loss,train/learning_rate,time/fps,train/explained_variance,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/total_timesteps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
,1.0437828302383423,0.0008388470159843564,0.0007,,0.9995042962254956,-0.04062090069055557,,,,318999,1595000,-16.298093795776367,22.65,25.677579952217638
24.15,,,,222,,,319000,26.50560865,7172,,1595000,,,
24.34,1.044062852859497,4.167375087738037,0.0007,222,0.8674726635217667,31.82514762878418,319100,26.61933724,7174,319099,1595500,-16.299400329589844,,
24.25,1.0470012426376343,0.057737406343221664,0.0007,222,0.9596968553960323,0.19262924790382385,319200,26.729147910000002,7176,319199,1596000,-16.33145523071289,,
24.81,1.0459022521972656,0.8577459454536438,0.0007,222,0.978014862164855,-14.282073974609375,319300,27.21750828,7177,319299,1596500,-16.301288604736328,,
24.38,1.0451974868774414,9.794469833374023,0.0007,222,0.9501528963446617,3.251059055328369,319400,26.95155396,7179,319399,1597000,-16.312223434448242,,
24.63,1.0415573120117188,4.326756477355957,0.0007,222,0.40379905700683594,32.00419998168945,319500,27.32816355,7181,319499,1597500,-16.27973747253418,,
24.83,1.0385996103286743,0.22814856469631195,0.0007,222,0.9750948958098888,-7.117746829986572,319600,27.426561029999995,7183,319599,1598000,-16.246875762939453,,
24.46,1.0358543395996094,0.34499144554138184,0.0007,222,0.9858609847724438,8.790992736816406,319700,26.722262870000005,7185,319699,1598500,-16.227598190307617,,
23.9,1.0375714302062988,2.746328353881836,0.0007,222,0.9550099968910217,23.65205192565918,319800,26.20904949,7187,319799,1599000,-16.245655059814453,,
23.02,1.0362902879714966,4.1360697746276855,0.0007,222,0.9690615199506283,4.594523906707764,319900,24.83895614,7188,319899,1599500,-16.23420524597168,,
,1.0358465909957886,1.1335463523864746,0.0007,,0.8806717321276665,13.082127571105957,,,,319999,1600000,-16.233566284179688,22.75,25.801851333910598
22.69,,,,222,,,320000,24.738937460000002,7191,,1600000,,,
22.25,1.0369447469711304,2.0422732830047607,0.0007,222,0.8381244093179703,22.492483139038086,320100,24.729125749999998,7193,320099,1600500,-16.256834030151367,,
23.01,1.0367519855499268,2.1216795444488525,0.0007,222,0.9855989422649145,-5.065071105957031,320200,24.996202699999998,7195,320199,1601000,-16.249481201171875,,
23.52,1.03762686252594,12.160719871520996,0.0007,222,-7.5357666015625,7.096826076507568,320300,26.122847469999996,7197,320299,1601500,-16.258197784423828,,
22.99,1.0401828289031982,0.07919919490814209,0.0007,222,0.9811669830232859,3.4623734951019287,320400,25.89510964,7198,320399,1602000,-16.265155792236328,,
23.35,1.036862850189209,2.9839727878570557,0.0007,222,0.8294442892074585,28.7730712890625,320500,26.38686733,7200,320499,1602500,-16.232852935791016,,
23.57,1.0358043909072876,5.0427680015563965,0.0007,222,0.9735838752239943,-38.395172119140625,320600,26.457602040000005,7202,320599,1603000,-16.234949111938477,,
23.43,1.0373889207839966,1.023186206817627,0.0007,222,0.9378317408263683,16.44221305847168,320700,26.731997669999995,7204,320699,1603500,-16.24001121520996,,
23.11,1.0379393100738525,1.2358794212341309,0.0007,222,0.9659210816025734,-18.707807540893555,320800,26.343802320000005,7206,320799,1604000,-16.240476608276367,,
23.52,1.038916826248169,4.086219310760498,0.0007,222,0.9834994878619909,8.413419723510742,320900,26.76365488,7208,320899,1604500,-16.262876510620117,,
,1.0394275188446045,2.272418737411499,0.0007,,0.9451023675501347,24.39356803894043,,,,320999,1605000,-16.265487670898438,23.0,26.17731423864607
23.16,,,,222,,,321000,25.9301874,7210,,1605000,,,
23.07,1.0376702547073364,4.608741283416748,0.0007,222,0.8157560378313065,-18.92484474182129,321100,26.205809240000004,7212,321099,1605500,-16.25117301940918,,
23.08,1.034292459487915,0.13324348628520966,0.0007,222,0.9882148196920753,-5.550636291503906,321200,26.197457990000004,7214,321199,1606000,-16.225385665893555,,
23.54,1.0307867527008057,0.8111293911933899,0.0007,222,0.9967446848750114,-2.86918044090271,321300,26.247581299999997,7216,321299,1606500,-16.174842834472656,,
24.51,1.0296962261199951,0.15832899510860443,0.0007,222,0.9135215952992439,0.5883417129516602,321400,26.748031539999992,7218,321399,1607000,-16.15021514892578,,
24.84,1.0325069427490234,0.12672530114650726,0.0007,222,0.9318702295422554,-0.3816446363925934,321500,27.843820709999996,7219,321499,1607500,-16.177473068237305,,
24.78,1.0352163314819336,1.218666911125183,0.0007,222,0.8334259539842606,-15.392613410949707,321600,27.467019210000004,7221,321599,1608000,-16.187519073486328,,
24.43,1.0377233028411865,0.18229614198207855,0.0007,222,0.9187882095575333,5.001713752746582,321700,26.885047129999997,7223,321699,1608500,-16.204496383666992,,
24.14,1.0348196029663086,3.160327196121216,0.0007,222,0.9724644962698221,-22.602399826049805,321800,26.701372959999993,7225,321799,1609000,-16.178054809570312,,
23.07,1.0347344875335693,0.7512674927711487,0.0007,222,0.9824412390589714,12.757552146911621,321900,25.446266659999996,7227,321899,1609500,-16.1746768951416,,
,1.0389302968978882,1.0437078475952148,0.0007,,0.9671415947377682,6.2129621505737305,,,,321999,1610000,-16.217649459838867,22.75,25.81899716630578
21.29,,,,222,,,322000,22.885333750000004,7230,,1610000,,,
20.84,1.042273998260498,0.25635743141174316,0.0007,222,0.9508345201611519,6.530544281005859,322100,22.42991321,7232,322099,1610500,-16.2574462890625,,
20.86,1.040883183479309,0.524613082408905,0.0007,222,0.8174846917390823,4.730931282043457,322200,22.881896500000003,7234,322199,1611000,-16.23279571533203,,
21.12,1.041841745376587,1.2964240312576294,0.0007,222,0.7350361943244934,-13.445090293884277,322300,23.232451619999996,7236,322299,1611500,-16.226627349853516,,
21.34,1.0445337295532227,0.7590956091880798,0.0007,222,0.8784954622387886,-10.590775489807129,322400,23.562588099999992,7237,322399,1612000,-16.250699996948242,,
21.39,1.0473713874816895,0.7905433773994446,0.0007,222,0.9757702294737101,15.793725967407227,322500,23.65478529,7239,322499,1612500,-16.26978302001953,,
21.43,1.051774024963379,0.2015989124774933,0.0007,222,0.9877400286495686,-6.540279388427734,322600,23.109554120000006,7241,322599,1613000,-16.315927505493164,,
21.08,1.0528714656829834,0.40488630533218384,0.0007,222,0.44832807779312134,3.100376605987549,322700,22.469027239999992,7243,322699,1613500,-16.322513580322266,,
21.12,1.0529422760009766,0.3812791407108307,0.0007,222,0.9894616706296802,-10.235149383544922,322800,22.5059204,7245,322799,1614000,-16.312538146972656,,
22.19,1.0556143522262573,0.11075694859027863,0.0007,222,0.9430248364806175,2.3379366397857666,322900,23.659653029999994,7247,322899,1614500,-16.33989715576172,,
,1.0549588203430176,1.3955910205841064,0.0007,,0.9710674453526735,20.89664649963379,,,,322999,1615000,-16.32327651977539,23.25,25.044168786960654
22.34,,,,222,,,323000,23.673028610000003,7249,,1615000,,,
21.84,1.056121826171875,0.5982818603515625,0.0007,222,0.8474215418100357,-8.559442520141602,323100,23.003803509999997,7251,323099,1615500,-16.33731460571289,,
22.18,1.0545847415924072,0.6583516001701355,0.0007,222,0.9863975020125508,13.372540473937988,323200,23.21274546,7253,323199,1616000,-16.322315216064453,,
23.09,1.053252935409546,1.579041838645935,0.0007,222,0.9196700975298882,18.947158813476562,323300,23.96064903,7255,323299,1616500,-16.29884147644043,,
23.47,1.0520251989364624,0.37863507866859436,0.0007,222,0.9509375691413879,10.546876907348633,323400,24.296048020000004,7257,323399,1617000,-16.288345336914062,,
23.81,1.053296446800232,0.4962626099586487,0.0007,222,0.7930742353200912,-2.1485047340393066,323500,24.990961159999998,7259,323499,1617500,-16.314247131347656,,
24.47,1.0529521703720093,0.7346770763397217,0.0007,222,0.7841183096170425,0.2941017150878906,323600,26.08786972,7260,323599,1618000,-16.3134708404541,,
23.74,1.046051263809204,0.20970356464385986,0.0007,222,0.9810727275907993,-6.233026027679443,323700,25.49619016,7262,323699,1618500,-16.25678062438965,,
22.44,1.0435994863510132,0.4281446635723114,0.0007,222,0.8341046571731567,5.475368976593018,323800,23.751264149999997,7264,323799,1619000,-16.227384567260742,,
22.25,1.0446979999542236,0.1684398651123047,0.0007,222,0.9176663458347321,1.554231882095337,323900,23.59333387000001,7266,323899,1619500,-16.231590270996094,,
,1.0485637187957764,0.9360443949699402,0.0007,,0.8014175891876221,-11.737441062927246,,,,323999,1620000,-16.267276763916016,22.9,25.486513178236784
21.71,,,,222,,,324000,22.742797810000003,7268,,1620000,,,
21.09,1.0526878833770752,3.8471317291259766,0.0007,222,0.9017220735549927,-3.677966356277466,324100,22.027452019999995,7270,324099,1620500,-16.317777633666992,,
21.72,1.0542082786560059,0.922637403011322,0.0007,222,0.9189903661608696,15.70757007598877,324200,23.297304569999998,7271,324199,1621000,-16.309324264526367,,
22.39,1.058060646057129,0.9514327049255371,0.0007,222,0.9291660711169243,14.406656265258789,324300,23.79433411,7273,324299,1621500,-16.333778381347656,,
22.88,1.0574560165405273,1.0359842777252197,0.0007,222,0.8840900659561157,14.134961128234863,324400,24.24856285,7275,324399,1622000,-16.340347290039062,,
23.3,1.059624195098877,3.0343661308288574,0.0007,222,0.6651952266693115,24.640478134155273,324500,24.96710487,7277,324499,1622500,-16.369281768798828,,
