time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
240316,-100.25531005859375,0.0003,0.26605477929115295,10.745016098022461,73,432,0.015630612149834633,983.03629646,240215,694.35,3266,,
244316,-103.74545288085938,0.0003,0.5133020877838135,36.36819076538086,73,436,0.015330692753195763,1001.3522547899998,244215,697.3,3310,,
245000,-96.38714599609375,0.0003,-1.3285374641418457,9.082483291625977,,,0.01534124556928873,,244899,,,1055.9537021243364,662.1
248316,-101.84524536132812,0.0003,0.03257113695144653,14.430292129516602,73,440,0.015600335784256458,1013.0547242399999,248215,704.86,3364,,
250000,-99.4552230834961,0.0003,0.009747505187988281,8.791715621948242,,,0.015430516563355923,,249899,,,1147.339448638771,778.0
252053,-97.65106201171875,0.0003,-1.9283509254455566,5.64091682434082,73,444,0.01570529118180275,1036.88845424,251952,723.61,3416,,
254580,-105.22412109375,0.0003,0.28666776418685913,8.795175552368164,73,448,0.015748435631394386,1055.8455873599999,254479,719.47,3443,,
255000,-101.82096862792969,0.0003,0.2973582148551941,8.829927444458008,,,0.015512951649725437,,254899,,,1290.9803513280174,869.4
258047,-101.13372039794922,0.0003,-0.7108327150344849,7.838799476623535,73,452,0.015816353261470795,1085.74247076,257946,729.03,3494,,
260000,-100.32341003417969,0.0003,-1.3968404531478882,8.877092361450195,,,0.01585177145898342,,259899,,,1319.8682765606688,716.2
261339,-110.191162109375,0.0003,0.03289872407913208,8.219717025756836,73,456,0.015878770500421524,1110.47819497,261238,733.85,3540,,
263292,-105.57247924804688,0.0003,-0.2397887408733368,6.848280906677246,73,460,0.016077915206551552,1096.26890086,263191,719.7,3562,,
265000,-100.76969146728516,0.0003,-1.8017239570617676,5.951559066772461,,,0.015974514186382294,,264899,,,1044.1618273280096,622.5
265597,-102.20870971679688,0.0003,0.5264618396759033,5.433815002441406,73,464,0.016222834587097168,1127.9116648299998,265496,730.53,3596,,
269597,-110.4560317993164,0.0003,0.03420373797416687,9.838189125061035,74,468,0.016401467844843864,1139.5836485600003,269496,741.41,3641,,
270000,-105.5106201171875,0.0003,1.218146562576294,12.128539085388184,,,0.016472360119223595,,269899,,,1037.7533173308707,499.4
