time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
230715,7876,1561,32.42,147,46.78368982999999,-15.23697280883789,230599,3.422584432822007,0.001,,
230829,7880,1562,32.25,147,46.54234791,-15.79455115000407,230722,3.831601257981925,0.001,,
230979,7884,1563,32.62,147,46.83865085,-15.961693048477173,230834,3.9089393615722656,0.001,,
231112,7888,1564,32.26,147,46.239828160000016,-15.819093795049758,230997,3.628207384153854,0.001,,
231273,7892,1565,33.06,147,47.24110954,-15.391704142093658,231133,4.868626244366169,0.001,,
231436,7896,1566,33.73,147,48.71888781,-15.732520580291748,231322,3.832307462181364,0.001,,
231571,7900,1567,33.79,147,48.68151537000001,-15.762141814598671,231431,3.4756724569532604,0.001,,
231708,7904,1568,33.69,147,48.13462369999999,-15.150652599334716,231575,3.8256806455007415,0.001,,
231857,7908,1569,33.7,147,48.11483272,-15.855116060801915,231745,5.947315055027342,0.001,,
231982,7912,1570,33.7,147,48.02509720999999,-15.337912423270089,231855,3.436521691935403,0.001,,
232097,7916,1570,33.7,147,48.00237513000001,-15.579958506992885,231981,4.133087873458862,0.001,,
232211,7920,1571,33.51,147,47.70615253,-15.607365012168884,232108,4.414279537816202,0.001,,
232348,7924,1572,33.59,147,48.01220268,-15.02451123131646,232211,4.498867762716193,0.001,,
232476,7928,1573,33.49,147,47.85962088,-15.660843849182129,232362,3.667640891568414,0.001,,
232595,7932,1574,33.6,147,47.866086810000006,-15.597772462027413,232493,5.737751466887338,0.001,,
232696,7936,1574,33.26,147,47.018051299999996,-16.03890025615692,232592,4.352766844534105,0.001,,
232815,7940,1575,32.81,147,46.27476233000002,-16.298874514443533,232697,6.125817882603612,0.001,,
232968,7944,1576,33.3,147,46.87620717000001,-15.578076322873434,232852,4.347766657670339,0.001,,
233120,7948,1577,33.43,147,47.20998748,-15.81588688763705,232982,4.197349631509115,0.001,,
233242,7952,1578,33.52,147,47.58776663999999,-15.76732532794659,233116,3.87237941301786,0.001,,
233395,7956,1579,33.7,147,47.88613228,-15.657756741841634,233281,3.253415326277415,0.001,,
233552,7960,1580,33.9,147,47.90964597,-15.846897602081299,233443,3.590221209185464,0.001,,
233711,7964,1580,34.28,147,48.422169190000005,-15.284393866856893,233567,3.6094684104124704,0.001,,
233806,7968,1581,34.17,147,48.14560839999999,-15.182564417521158,233695,3.9665486176808673,0.001,,
233921,7972,1582,33.54,147,46.914513050000004,-15.608333383287702,233807,3.7808622547558377,0.001,,
234050,7976,1583,33.35,147,46.68281982999999,-15.432345072428385,233914,3.5010973513126373,0.001,,
234194,7980,1584,33.65,147,47.11075676,-15.590291772569929,234080,5.186710746199997,0.001,,
234294,7984,1584,33.15,147,46.33919095,-15.438545227050781,234182,3.3891093063354494,0.001,,
234427,7988,1585,33.15,147,46.17661641999999,-15.516764436449323,234296,3.9673554471560886,0.001,,
