rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
65707.78661484,132,208896,102,1577,1000.0,-0.00016820430755615234,0.8612101078033447,0.34580078125,0.0003,567822.9375,1010,1115965.8888671875,0.2,-21.558254766464234,-0.07420797860249877,0.043564416,,
,,210000,,,,8.940696716308594e-07,0.8596019148826599,0.36416015625,0.0003,672987.125,1020,1286977.2796875,0.2,-21.53676506280899,-0.08758492409833707,0.04955685,75034.29302883148,1000.0
65843.53905336,131,210944,103,1606,1000.0,,,,,,,,,,,,,
66298.04338668,132,212992,104,1610,1000.0,1.5497207641601562e-06,0.858611524105072,0.3373046875,0.0003,583274.625,1030,1397897.9078125,0.2,-21.511669838428496,-0.08060765708505642,0.045423552,,
,,215000,,,,5.364418029785156e-07,0.8581295609474182,0.328759765625,0.0003,942333.375,1040,1609465.769140625,0.2,-21.492564314603804,-0.07764390841766726,0.0423455,77687.031208992,1000.0
66372.64694286,131,215040,105,1638,1000.0,,,,,,,,,,,,,
66342.76630412998,132,217088,106,1643,1000.0,5.364418029785156e-07,0.8558295369148254,0.388525390625,0.0003,546697.125,1050,1126979.98046875,0.2,-21.462030404806136,-0.08360683200007771,0.054547623,,
66293.19327818,133,219136,107,1647,1000.0,4.0531158447265625e-06,0.853927731513977,0.404150390625,0.0003,597132.9375,1060,1528122.7783203125,0.2,-21.426097601652145,-0.09785413828212768,0.052453622,,
,,220000,,,,7.408857345581055e-05,0.8501978516578674,0.404638671875,0.0003,552232.5,1070,946268.9060546875,0.2,-21.36070219874382,-0.09258067430055235,0.053633224,80592.00450763703,1000.0
66481.04377268,132,221184,108,1675,1000.0,,,,,,,,,,,,,
66295.43504776001,132,223232,109,1679,1000.0,4.708766937255859e-06,0.8484822511672974,0.37275390625,0.0003,495950.6875,1080,1101093.96796875,0.2,-21.312377214431763,-0.08293310781591572,0.052121215,,
,,225000,,,,8.13603401184082e-05,0.8477599024772644,0.399365234375,0.0003,456868.8125,1090,998263.9015625,0.2,-21.293510913848877,-0.08843486727273557,0.055889264,81577.33827762604,1000.0
66274.12768859002,131,225280,110,1708,1000.0,,,,,,,,,,,,,
66140.24605827,132,227328,111,1712,1000.0,-1.0848045349121094e-05,0.8467673063278198,0.39208984375,0.0003,525045.375,1100,979324.994140625,0.2,-21.270080709457396,-0.08698580314230639,0.055784643,,
66149.96155573,133,229376,112,1716,1000.0,-1.0728836059570312e-06,0.8455925583839417,0.38984375,0.0003,575023.5,1110,1073633.0376953124,0.2,-21.248286497592925,-0.0872801889810944,0.054429166,,
,,230000,,,,1.1920928955078125e-07,0.8446983098983765,0.34248046875,0.0003,581377.25,1120,1203308.983984375,0.2,-21.23011525273323,-0.07745276273635682,0.045693707,75319.13509426118,1000.0
66495.72332271999,132,231424,113,1745,1000.0,,,,,,,,,,,,,
67122.63844533,133,233472,114,1749,1000.0,3.7550926208496094e-06,0.8439406156539917,0.3439453125,0.0003,924679.9375,1130,1578453.391015625,0.2,-21.213287472724915,-0.08481524279341102,0.047454827,,
,,235000,,,,1.7881393432617188e-07,0.8427348732948303,0.34853515625,0.0003,941087.75,1140,1736359.773828125,0.2,-21.18749647140503,-0.08208729558973574,0.048166227,72128.62729740143,1000.0
67434.19858123,132,235520,115,1777,1000.0,,,,,,,,,,,,,
67380.16684902,133,237568,116,1781,1000.0,-1.1920928955078125e-07,0.8420175909996033,0.407177734375,0.0003,502196.5625,1150,1077218.027734375,0.2,-21.170579636096953,-0.08675808685948141,0.057531092,,
