rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/std,train/approx_kl,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_ep_length,train/clip_range
,,,,,170000,-3.5017114743590354,0.129833984375,830,0.9644278436899185,31.296194076538086,0.7821874618530273,0.012018962,2349.4919378340246,-0.009459108041482978,0.0003,69.01538798213005,1000.0,0.2
317.66,729,235,84,962.5699772599999,172032,,,,,,,,,,,,,
,,,,,172500,-3.50356525182724,0.117041015625,840,0.979007026180625,22.323801040649414,0.7801402807235718,0.012329292,2335.724536448717,-0.010768617369467392,0.0003,66.35464252233506,1000.0,0.2
322.84,750,232,85,979.0069760999999,174080,,,,,,,,,,,,,
,,,,,175000,-3.497534455358982,0.093310546875,850,0.9465797990560532,160.40272521972656,0.7788456678390503,0.006670748,2281.3606569588183,-0.008077369150123559,0.0003,134.89853371381759,1000.0,0.2
324.86,770,228,86,992.9333828,176128,,,,,,,,,,,,,
,,,,,177500,-3.4834769010543822,0.133349609375,860,0.9737082198262215,7.592879772186279,0.7753073573112488,0.013940847,2415.346223002672,-0.006795616194722243,0.0003,36.68011694848538,1000.0,0.2
325.63,790,225,87,998.2052358699999,178176,,,,,,,,,,,,,
,,,,,180000,-3.464681450277567,0.08046875,870,0.9794636592268944,17.741893768310547,0.7711119055747986,0.007876896,2504.6980285942554,-0.005700384845840745,0.0003,65.75780587792397,1000.0,0.2
322.48,811,222,88,996.15830789,180224,,,,,,,,,,,,,
318.83,815,223,89,992.35208232,182272,-3.460958908498287,0.09453125,880,0.9752820897847414,16.13606834411621,0.7722727656364441,0.009967015,,-0.008730520094104577,0.0003,70.78139539361,,0.2
,,,,,182500,-3.4637855008244514,0.097705078125,890,0.9322303086519241,31.452842712402344,0.7720494270324707,0.009083038,2661.306303423643,-0.00878046357538551,0.0003,217.31474415659903,852.45,0.2
325.81,832,221,90,1016.6600586,184320,,,,,,,,,,,,,
,,,,,185000,-3.4635985784232615,0.071923828125,900,0.9702565129846334,12.744366645812988,0.7719603776931763,0.0065781176,2932.5288359701635,-0.006729820332839154,0.0003,88.26172327399254,1000.0,0.2
315.39,852,218,91,984.4936364299997,186368,,,,,,,,,,,,,
,,,,,187500,-3.448003954440355,0.10419921875,910,0.9793660063296556,28.50861358642578,0.7659003138542175,0.0093849525,2655.0987339138983,-0.010107971093384549,0.0003,72.4896013200283,1000.0,0.2
313.52,872,215,92,977.4953696099999,188416,,,,,,,,,,,,,
,,,,,190000,-3.4330745562911034,0.10126953125,920,0.8694565147161484,61.130977630615234,0.7657458782196045,0.009492304,2575.697585308552,-0.009889868878235574,0.0003,477.12648609876635,1000.0,0.2
315.99,892,213,93,985.35676213,190464,,,,,,,,,,,,,
,,,,,192500,-3.421301047503948,0.12177734375,930,0.9815023094415665,12.908496856689453,0.7612652778625488,0.010396388,1690.95265288949,-0.009958873499999753,0.0003,47.05906487703324,529.4,0.2
320.8,905,212,94,1001.56792641,192512,,,,,,,,,,,,,
318.51,909,213,95,997.7982106300001,194560,-3.3971341721713544,0.091845703125,940,0.9741707555949688,42.03523254394531,0.7529789209365845,0.0072306506,,-0.0033018725691363214,0.0003,70.72271272540092,,0.2
,,,,,195000,-3.3627092003822328,0.119873046875,950,0.9803045634180307,19.507232666015625,0.7459136247634888,0.011316449,1567.2647476434709,-0.007324983496800996,0.0003,61.45525667667389,498.25,0.2
315.13,921,213,96,986.51084499,196608,,,,,,,,,,,,,
,,,,,197500,-3.3547886036336423,0.1171875,960,0.878899410367012,310.52166748046875,0.7473248839378357,0.010519007,2771.2424723923205,-0.010412622423609718,0.0003,469.925050842762,874.1,0.2
314.75,939,211,97,986.87349779,198656,,,,,,,,,,,,,
,,,,,200000,-3.3449189007282256,0.079296875,970,0.9661278314888477,36.7523078918457,0.7417542934417725,0.0077894516,3071.069564187527,-0.00514649196411483,0.0003,108.94842150211335,1000.0,0.2
311.36,959,209,98,979.7701265299997,200704,,,,,,,,,,,,,
,,,,,202500,-3.303552137315273,0.139404296875,980,0.983255572617054,14.848774909973145,0.7293426394462585,0.011317685,3013.652680516243,-0.009486311906948685,0.0003,52.26918109953404,970.25,0.2
312.14,979,207,99,984.1997587000002,202752,,,,,,,,,,,,,
309.8,983,208,100,981.30136342,204800,-3.2776531338691712,0.119921875,990,0.9746599346399307,59.49909210205078,0.727141797542572,0.008001148,,-0.00715783505293075,0.0003,106.16915698349476,,0.2
,,,,,205000,-3.27371848449111,0.13515625,1000,0.9694874119013548,53.06354522705078,0.7247195243835449,0.011472402,2925.6655038058757,-0.011268933487008326,0.0003,65.0759941637516,1000.0,0.2
292.89,1003,206,101,931.9646921799999,206848,,,,,,,,,,,,,
