time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/loss
110592,,,54,50.0,558,-12.44420522,197,,,,,,,,,,,
111000,-10.611522621102631,50.0,,,,,,0.19284732388332487,0.016922839,0.89392901211977,540,-0.012096973843290471,1.0130877334624528,0.200146484375,0.2,0.14393870532512665,0.0003,0.059324271976947784
112000,-10.611522621102631,50.0,,,,,,,,,,,,,,,,
112640,,,55,50.0,559,-12.38620861,201,,,,,,,,,,,
113000,-10.458068398060277,50.0,,,,,,0.19480139138177038,0.018343095,0.9190642088651657,550,-0.013659694467787632,1.081240564584732,0.200830078125,0.2,0.13934913277626038,0.0003,0.06772968173027039
114000,-10.458068398060277,50.0,,,,,,,,,,,,,,,,
114688,,,56,50.0,560,-12.13143192,204,,,,,,,,,,,
115000,-10.353853516560047,50.0,,,,,,0.12417658603517338,0.015300519,0.9209537282586098,560,-0.006641260617470834,1.1493170961737633,0.163818359375,0.2,0.13418714702129364,0.0003,0.07118954509496689
116000,-10.353853516560047,50.0,,,,,,,,,,,,,,,,
116736,,,57,50.0,560,-11.71462311,208,,,,,,,,,,,
117000,-10.377497908845545,50.0,,,,,,0.11812977222725748,0.012376487,0.929060161113739,570,-0.008116128158872016,1.2124657202512026,0.153955078125,0.2,0.1309860348701477,0.0003,0.04254515841603279
118000,-10.377497908845545,50.0,,,,,,,,,,,,,,,,
118784,,,58,50.0,560,-11.153419929999998,212,,,,,,,,,,,
119000,-10.349710450693966,50.0,,,,,,0.1835495120845735,0.017814355,0.9278847873210907,580,-0.009116660585277714,1.263228118047118,0.20087890625,0.2,0.1272762566804886,0.0003,0.07468537986278534
120000,-10.349710450693966,50.0,,,,,,,,,,,,,,,,
120832,,,59,50.0,560,-10.73334492,215,,,,,,,,,,,
121000,-10.295639803633094,50.0,,,,,,0.14396626646630467,0.013028404,0.9565029479563236,590,-0.005799367150757462,1.3178230453282596,0.160107421875,0.2,0.12390647083520889,0.0003,0.03534706309437752
122000,-10.295639803633094,50.0,,,,,,,,,,,,,,,,
122880,,,60,50.0,560,-10.588295700000002,219,,,,,,,,,,,
123000,-10.010499218013138,50.0,,,,,,0.20463819748256357,0.016086578,0.9240743219852448,600,-0.007141912849328946,1.3743856512010098,0.169873046875,0.2,0.12036162614822388,0.0003,0.08686939626932144
124000,-10.010499218013138,50.0,,,,,,,,,,,,,,,,
124928,,,61,50.0,560,-10.85018637,222,,,,,,,,,,,
125000,-9.747814038861543,50.0,,,,,,0.1916006438434124,0.018925965,0.9290433451533318,610,-0.010448809291119687,1.4311595112085342,0.20126953125,0.2,0.1170903891324997,0.0003,0.061200834810733795
126000,-9.747814038861543,50.0,,,,,,,,,,,,,,,,
126976,,,62,50.0,561,-10.541936749999998,226,,,,,,,,,,,
127000,-9.292609940096735,50.0,,,,,,0.17205294391606002,0.014513003,0.9459341764450073,620,-0.006787611407344229,1.4838715277612209,0.179345703125,0.2,0.11400465667247772,0.0003,0.04782525822520256
128000,-9.292609940096735,50.0,,,,,,,,,,,,,,,,
129000,-9.292609940096735,50.0,,,,,,,,,,,,,,,,
129024,,,63,50.0,561,-10.43210462,229,,,,,,,,,,,
130000,-9.084827506635339,50.0,,,,,,0.21122714364901185,0.016820665,0.9590622708201408,630,-0.008992487494833768,1.5266536429524422,0.189794921875,0.2,0.11218070983886719,0.0003,0.020858213305473328
131000,-9.084827506635339,50.0,,,,,,,,,,,,,,,,
131072,,,64,50.0,561,-9.942159949999999,233,,,,,,,,,,,
132000,-8.916769088339061,50.0,,,,,,0.30512159029021857,0.019133082,0.9343792647123337,640,-0.007818258710904047,1.566217342019081,0.185107421875,0.2,0.10955923795700073,0.0003,0.123520128428936
133000,-8.916769088339061,50.0,,,,,,,,,,,,,,,,
133120,,,65,50.0,561,-9.69946366,237,,,,,,,,,,,
134000,-9.012050016969443,50.0,,,,,,0.2666358307003975,0.015700622,0.9579247385263443,650,-0.00416620158648584,1.616083312779665,0.15810546875,0.2,0.10677330195903778,0.0003,0.10668821632862091
135000,-9.012050016969443,50.0,,,,,,,,,,,,,,,,
135168,,,66,50.0,560,-9.58434795,241,,,,,,,,,,,
136000,-8.662916454812512,50.0,,,,,,0.19921009647659957,0.017068703,0.9596769995987415,660,-0.000325363184674643,1.6638595178723334,0.1763671875,0.2,0.10442294180393219,0.0003,0.0825958102941513
137000,-8.662916454812512,50.0,,,,,,,,,,,,,,,,
137216,,,67,50.0,560,-9.21066321,244,,,,,,,,,,,
138000,-8.538690226292237,50.0,,,,,,0.22074437595438212,0.01313561,0.9612152576446533,670,-0.0045646719547221435,1.7093948803842067,0.1794921875,0.2,0.10186143219470978,0.0003,0.07302848994731903
139000,-8.538690226292237,50.0,,,,,,,,,,,,,,,,
139264,,,68,50.0,561,-9.12037262,248,,,,,,,,,,,
140000,-8.860203646495938,50.0,,,,,,0.17902583116665483,0.014489487,0.9764781296253204,680,0.0008683342341100797,1.7528072252869606,0.19091796875,0.2,0.09996908903121948,0.0003,0.06414912641048431
141000,-8.860203646495938,50.0,,,,,,,,,,,,,,,,
141312,,,69,50.0,561,-9.337338700000002,251,,,,,,,,,,,
142000,-8.787056176248006,50.0,,,,,,0.2215939279878512,0.0220522,0.9672521017491817,690,-0.0057889286428689955,1.7956462129950523,0.242138671875,0.2,0.09771470725536346,0.0003,0.08130316436290741
143000,-8.787056176248006,50.0,,,,,,,,,,,,,,,,
143360,,,70,50.0,561,-9.55398937,255,,,,,,,,,,,
144000,-8.693937290366739,50.0,,,,,,0.18552171553019434,0.01699045,0.980475215241313,700,-0.0021846980322152375,1.8364778637886048,0.1919921875,0.2,0.09575247764587402,0.0003,0.0825129970908165
145000,-8.693937290366739,50.0,,,,,,,,,,,,,,,,
145408,,,71,50.0,562,-9.517824769999999,258,,,,,,,,,,,
146000,-8.921760657057167,50.0,,,,,,0.19038569021504373,0.017862404,0.9716498050838709,710,-0.001982331079489086,1.8872599862515926,0.18984375,0.2,0.0929226204752922,0.0003,0.11209539324045181
147000,-8.921760657057167,50.0,,,,,,,,,,,,,,,,
147456,,,72,50.0,562,-9.57013585,262,,,,,,,,,,,
148000,-8.944151679100468,50.0,,,,,,0.12757458358537405,0.018970903,0.9852292919531465,720,0.0007134306215448305,1.9336360029876232,0.19375,0.2,0.0913463607430458,0.0003,0.0707642063498497
149000,-8.944151679100468,50.0,,,,,,,,,,,,,,,,
149504,,,73,50.0,562,-9.350589659999999,265,,,,,,,,,,,
150000,-8.515886543598025,50.0,,,,,,0.11751749902032316,0.015541219,0.9776314944028854,730,0.0019582733541028572,1.970934086292982,0.197412109375,0.2,0.08953654766082764,0.0003,0.05206439644098282
151000,-8.515886543598025,50.0,,,,,,,,,,,,,,,,
151552,,,74,50.0,562,-9.033827259999999,269,,,,,,,,,,,
152000,-8.59184470679611,50.0,,,,,,0.1362507374607958,0.018198924,0.9855966605246067,740,0.0021839204971911387,2.0071450993418694,0.176025390625,0.2,0.08812104165554047,0.0003,0.050505511462688446
153000,-8.59184470679611,50.0,,,,,,,,,,,,,,,,
153600,,,75,50.0,563,-9.332241600000001,272,,,,,,,,,,,
154000,-8.865130595304072,50.0,,,,,,0.19298816076479852,0.033030417,0.9682489261031151,750,-0.0002708133135456592,2.032475806772709,0.226953125,0.2,0.08708842098712921,0.0003,0.12720175087451935
155000,-8.865130595304072,50.0,,,,,,,,,,,,,,,,
155648,,,76,50.0,562,-9.44745777,276,,,,,,,,,,,
156000,-8.874191648326814,50.0,,,,,,0.13478384846821428,0.05003778,0.9843274280428886,760,0.0010520037554670124,2.055379243195057,0.238623046875,0.2,0.08602875471115112,0.0003,0.05873660370707512
157000,-8.874191648326814,50.0,,,,,,,,,,,,,,,,
157696,,,77,50.0,563,-9.3492674,280,,,,,,,,,,,
158000,-8.444307120982558,50.0,,,,,,0.09528926679631695,0.013412818,0.9906907454133034,770,0.0033362331538228317,2.0915115334093572,0.200244140625,0.2,0.08440596610307693,0.0003,0.04555206000804901
159000,-8.444307120982558,50.0,,,,,,,,,,,,,,,,
159744,,,78,50.0,563,-8.83878619,283,,,,,,,,,,,
160000,-8.750024326145649,50.0,,,,,,0.12513794944388792,0.016563602,0.9931170274503529,780,-0.0015233912185067312,2.1328074485063553,0.2203125,0.2,0.08242467790842056,0.0003,0.08333179354667664
161000,-8.750024326145649,50.0,,,,,,,,,,,,,,,,
161792,,,79,50.0,562,-8.8128207,287,,,,,,,,,,,
