rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
16.15,1524,11448,20.162222089999997,77,118109,118008,0.020354853942990303,0.0003,0.8019688129425049,2.463573932647705,-6.715727806091309,,
16.15,1525,11452,20.007554109999997,77,118190,118089,0.020434560254216194,0.0003,3.0555191040039062,2.0743422508239746,-6.249887466430664,,
15.78,1526,11456,19.57387314,77,118234,118133,0.020374445244669914,0.0003,-1.9771047830581665,1.9014019966125488,-6.812032222747803,,
15.69,1527,11460,19.37091525,77,118297,118196,0.020266223698854446,0.0003,1.8792552947998047,1.8957908153533936,-6.7559590339660645,,
15.93,1528,11464,19.792458529999998,77,118389,118288,0.020414691418409348,0.0003,-3.9646031856536865,1.9044214487075806,-6.4861345291137695,,
16.06,1529,11468,19.910390539999998,77,118456,118355,0.020274128764867783,0.0003,-3.6805691719055176,2.151495933532715,-6.391877174377441,,
16.01,1529,11472,19.67780203,77,118504,118403,0.020308496430516243,0.0003,-0.8755362033843994,1.9871623516082764,-6.6169233322143555,,
15.62,1530,11476,19.1560984,77,118556,118455,0.020352888852357864,0.0003,-0.18339025974273682,1.7897342443466187,-6.591538429260254,,
15.56,1531,11480,19.132212749999997,77,118617,118516,0.020213797688484192,0.0003,4.021378993988037,2.0106656551361084,-6.689328670501709,,
15.66,1531,11484,19.5859664,77,118684,118583,0.020303888246417046,0.0003,2.276733875274658,2.1956725120544434,-6.2294158935546875,,
15.64,1532,11488,19.546257070000003,77,118743,118642,0.020393557846546173,0.0003,0.8416916728019714,2.083247661590576,-6.164875507354736,,
15.8,1533,11492,19.967867350000002,77,118795,118694,0.020499669015407562,0.0003,2.8670663833618164,1.822880744934082,-6.09039306640625,,
15.85,1534,11496,20.05979331,77,118856,118755,0.02059582620859146,0.0003,-0.16985762119293213,1.8997557163238525,-6.221844673156738,,
15.62,1534,11500,19.65181607,77,118916,118815,0.020585719496011734,0.0003,-1.865976095199585,1.906404733657837,-6.443270206451416,,
15.1,1535,11504,18.99267255,77,118974,118873,0.020545216277241707,0.0003,-0.2764476537704468,2.1156728267669678,-6.640298843383789,,
14.9,1536,11508,18.77134595,77,119021,118920,0.020601602271199226,0.0003,1.6409348249435425,1.5185682773590088,-6.513761520385742,,
15.05,1537,11512,19.107480849999998,77,119086,118985,0.02070671133697033,0.0003,-3.732347249984741,2.137326955795288,-6.504768371582031,,
15.44,1538,11516,19.671424270000003,77,119170,119069,0.020688723772764206,0.0003,3.1232752799987793,2.203004837036133,-6.465970039367676,,
15.11,1538,11520,19.462902080000003,77,119225,119124,0.02078363671898842,0.0003,1.1490576267242432,1.8766666650772095,-6.529935359954834,,
15.22,1539,11524,19.612812939999998,77,119299,119198,0.020736664533615112,0.0003,1.1953977346420288,1.9528300762176514,-7.136153221130371,,
15.25,1540,11528,19.723756090000002,77,119361,119260,0.020695196464657784,0.0003,-0.10932600498199463,1.9287794828414917,-5.99387264251709,,
14.95,1541,11532,19.24090907,77,119411,119310,0.020643802359700203,0.0003,-0.4550519585609436,1.930814504623413,-6.6795759201049805,,
15.03,1542,11536,19.29766416,77,119469,119368,0.020603032782673836,0.0003,-0.5360163450241089,1.9738894701004028,-6.484663963317871,,
15.05,1543,11540,19.301711700000002,77,119542,119441,0.02048945240676403,0.0003,0.8644351959228516,2.292078971862793,-6.172621250152588,,
15.53,1544,11544,19.92544576,77,119632,119531,0.02034994214773178,0.0003,-0.6603498458862305,2.211425304412842,-6.599327087402344,,
15.77,1544,11548,20.25798687,77,119686,119585,0.020313620567321777,0.0003,3.0833933353424072,2.2230496406555176,-6.665579795837402,,
15.61,1545,11552,20.166132629999996,77,119751,119650,0.020351344719529152,0.0003,-2.8532910346984863,1.9091804027557373,-5.712547302246094,,
15.84,1546,11556,20.560638479999998,77,119818,119717,0.02028304897248745,0.0003,2.388779401779175,1.9764626026153564,-7.027117729187012,,
16.27,1547,11560,21.1863089,77,119924,119823,0.02029697224497795,0.0003,-1.053480625152588,2.3032641410827637,-6.183628082275391,,
15.99,1548,11564,20.78808071,77,119988,119887,0.02036021277308464,0.0003,-1.8941693305969238,1.7308828830718994,-6.949443340301514,,
,,,,,120000,119899,0.02038656920194626,0.0003,-2.0797173976898193,1.9938387870788574,-6.595789909362793,18.45,23.91263386197388
15.9,1550,11568,20.714475629999995,77,120046,119945,0.020432064309716225,0.0003,0.5261844396591187,1.5028235912322998,-6.465213775634766,,
16.22,1551,11572,21.25221339,77,120126,120025,0.020458169281482697,0.0003,0.6414665579795837,2.5518288612365723,-6.86646842956543,,
16.51,1552,11576,21.606476309999998,77,120207,120106,0.020545169711112976,0.0003,2.659282684326172,2.5034351348876953,-6.527734756469727,,
16.77,1553,11580,22.12560762,77,120294,120193,0.020627105608582497,0.0003,-0.04124659299850464,1.8299928903579712,-6.656444549560547,,
16.64,1553,11584,21.86534438,77,120348,120247,0.020670324563980103,0.0003,0.9673457145690918,1.8647189140319824,-7.511136054992676,,
16.61,1554,11588,21.8758245,77,120404,120303,0.020664257928729057,0.0003,-1.344276785850525,2.116729974746704,-6.078484535217285,,
16.78,1555,11592,22.12674615,77,120473,120372,0.02062959410250187,0.0003,1.0098416805267334,2.1884849071502686,-6.654634952545166,,
16.64,1555,11596,21.8335297,77,120520,120419,0.020662957802414894,0.0003,-0.5682206153869629,1.9377400875091553,-6.391714572906494,,
16.83,1556,11600,21.993807349999997,77,120599,120498,0.020560845732688904,0.0003,0.8664200901985168,2.182415723800659,-6.417295455932617,,
16.98,1557,11604,22.149331480000004,77,120672,120571,0.020445426926016808,0.0003,2.4670333862304688,2.594252824783325,-6.419320106506348,,
17.36,1558,11608,22.9051978,77,120757,120656,0.02046355791389942,0.0003,-1.6112191677093506,1.8915400505065918,-7.161640167236328,,
17.44,1559,11612,22.79167543,77,120830,120729,0.020561624318361282,0.0003,0.6609328389167786,1.9823213815689087,-6.55063009262085,,
