time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
85000,,,,,,12.375833184488359,0.001,-56.1074539307625,84908,268.7131640434265,120.45
85377,140,118.19,609,820,256.76296966000007,12.183058787518599,0.001,-55.86563467979431,85160,,
85865,139,118.35,613,824,257.08667721000006,12.112676851211056,0.001,-55.884034679782005,85652,,
86352,140,118.32,616,828,257.06850319,14.526643785108037,0.001,-56.220598220825195,86142,,
86841,139,118.35,620,832,257.12622739999995,12.95413302996802,0.001,-55.87168103172665,86628,,
87335,139,119.24,623,836,259.22673707999996,11.29476017911895,0.001,-56.31328511642197,87117,,
87500,,,,,,12.182705638822446,0.001,-56.18820673624675,87365,265.0492657959461,121.4
87817,139,119.25,630,840,259.28566824,12.173768830299377,0.001,-55.926444880167644,87605,,
88303,139,119.34,633,844,259.47692358,12.307546728947123,0.001,-56.223288113953636,88094,,
88786,139,119.27,637,848,259.36266549000004,12.421680740515392,0.001,-56.21740957895915,88574,,
89270,139,119.94,640,852,261.04983824999994,11.387473266632831,0.001,-55.91265437642082,89053,,
89752,139,119.86,643,856,260.96969475,11.848021649906778,0.001,-56.10889880940066,89536,,
90000,,,,,,12.15131351036754,0.001,-56.76472460839056,89902,260.0638386130333,117.95
90232,138,120.5,649,860,262.64694118,13.175672385199316,0.001,-55.86740618738635,90018,,
90707,138,120.32,652,864,262.38756407,12.016296003994189,0.001,-56.274020880983585,90492,,
91188,138,120.41,656,868,262.66772318999995,11.33168497467041,0.001,-56.377312372601224,90970,,
91660,138,120.23,659,872,262.40589458,10.23356539920225,0.001,-56.50486761836682,91448,,
92148,138,120.34,662,876,262.59276166999996,12.867941305889346,0.001,-56.40872826114778,91936,,
92500,,,,,,12.472977742427537,0.001,-56.66668217976888,92296,258.17874071002007,118.15
92632,138,120.29,668,880,262.50294494999997,11.787435558534437,0.001,-56.88731433499244,92420,,
93101,138,120.18,671,884,262.30419567,12.291389234730454,0.001,-56.44429316286181,92892,,
93592,138,120.31,675,888,262.52331068,10.807784591402326,0.001,-56.71684325687469,93383,,
94076,138,120.43,678,892,262.72057641,12.05337723424612,0.001,-56.39469665777488,93860,,
94561,138,121.27,682,896,264.71015937,11.584957836020706,0.001,-56.38907261552482,94345,,
