time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
37,6.46,532,-4.51518356,86,3276,2.2347235679626465,-8.169121742248535,0.39282476902008057,0.0003,-16.613954544067383,3175,,
38,6.55,536,-4.60552699,86,3308,2.101766347885132,-7.000235557556152,0.38922497630119324,0.0003,-16.750988006591797,3207,,
38,6.52,540,-4.54988774,86,3338,1.801508903503418,-7.977972984313965,0.38585910201072693,0.0003,-16.929332733154297,3237,,
38,6.48,544,-4.54577378,86,3359,1.553255558013916,-7.128116130828857,0.3835265338420868,0.0003,-17.47164535522461,3258,,
39,6.48,548,-4.54975349,86,3383,2.276841640472412,-7.538524627685547,0.3808678090572357,0.0003,-17.358402252197266,3282,,
39,6.4,552,-4.47001736,86,3400,1.9228477478027344,-6.406633377075195,0.3789907693862915,0.0003,-17.600067138671875,3299,,
39,6.36,556,-4.4788117199999995,86,3422,2.124845266342163,-7.4096150398254395,0.37655648589134216,0.0003,-17.578353881835938,3321,,
40,6.31,560,-4.47441684,86,3446,1.5870366096496582,-6.73939847946167,0.37391921877861023,0.0003,-18.1488094329834,3345,,
40,6.34,564,-4.51271871,86,3471,1.5923466682434082,-6.92631721496582,0.37119245529174805,0.0003,-17.867252349853516,3370,,
40,6.4,568,-4.50698094,86,3499,1.7568109035491943,-6.9152984619140625,0.3681432604789734,0.0003,-18.127840042114258,3398,,
40,6.33,572,-4.3954530400000005,86,3520,1.671833872795105,-6.7315778732299805,0.36585143208503723,0.0003,-18.282119750976562,3419,,
41,6.27,576,-4.30201786,86,3541,1.1634140014648438,-6.491763114929199,0.3635726869106293,0.0003,-18.57467269897461,3440,,
41,6.22,580,-4.3459996499999995,85,3567,1.5678727626800537,-5.864930152893066,0.3607601821422577,0.0003,-18.84420394897461,3466,,
41,6.26,584,-4.39021211,85,3594,1.729190707206726,-6.782986640930176,0.35785695910453796,0.0003,-19.069963455200195,3493,,
42,6.29,588,-4.38762518,85,3620,1.3622889518737793,-6.2770280838012695,0.35507088899612427,0.0003,-19.0478515625,3519,,
42,6.32,592,-4.3662506500000005,85,3647,1.2595188617706299,-6.211739540100098,0.35220324993133545,0.0003,-19.279632568359375,3546,,
42,6.43,596,-4.41846208,85,3676,1.601112723350525,-6.325643062591553,0.34916749596595764,0.0003,-18.643970489501953,3575,,
43,6.39,600,-4.44395692,85,3697,1.4104156494140625,-6.555110931396484,0.3470248579978943,0.0003,-18.907670974731445,3596,,
43,6.41,604,-4.42379001,85,3723,1.6363255977630615,-5.697483539581299,0.3444146513938904,0.0003,-18.861919403076172,3622,,
43,6.4,608,-4.4147441700000005,85,3752,1.2766859531402588,-6.089019775390625,0.34153929352760315,0.0003,-19.348806381225586,3651,,
44,6.36,612,-4.4305417600000006,85,3772,1.7892674207687378,-6.27817964553833,0.33957335352897644,0.0003,-19.028793334960938,3671,,
44,6.27,616,-4.43608051,85,3791,1.3188585042953491,-6.344380855560303,0.3377129137516022,0.0003,-19.1574764251709,3690,,
44,6.31,620,-4.488548789999999,85,3814,1.1272478103637695,-5.575484275817871,0.3354615867137909,0.0003,-19.477706909179688,3713,,
44,6.26,624,-4.39106095,85,3837,1.1039180755615234,-5.669390678405762,0.333200067281723,0.0003,-20.029130935668945,3736,,
45,6.24,628,-4.28564073,85,3862,1.6972370147705078,-5.526590347290039,0.33075132966041565,0.0003,-19.89797592163086,3761,,
45,6.17,632,-4.18009652,85,3893,0.9601121544837952,-5.7927727699279785,0.32772573828697205,0.0003,-20.052865982055664,3792,,
45,6.17,636,-4.163411110000001,85,3925,1.105729341506958,-6.053479194641113,0.3246056139469147,0.0003,-20.64838409423828,3824,,
