train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/critic_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
41450,17.272733688354492,220,50.0,-6.964252069999999,188,832,0.001,0.0680332399904728,41600,,
41650,17.311652069091796,221,50.0,-6.97491964,188,836,0.001,0.12489021524786949,41800,,
41850,17.330671005249023,,,,,,0.001,0.059739763662219045,42000,-6.853091714996845,50.0
,,222,50.0,-6.8636697700000004,188,840,,,42000,,
42050,17.383379821777343,223,50.0,-6.80418914,188,844,0.001,0.07192263573408127,42200,,
42250,17.40653160095215,224,50.0,-6.85195422,188,848,0.001,0.060115516781806946,42400,,
42450,17.42805160522461,225,50.0,-6.77721889,188,852,0.001,0.05937619507312775,42600,,
42650,17.455180740356447,226,50.0,-6.67463438,188,856,0.001,0.06195133857429028,42800,,
42850,17.476026611328123,,,,,,0.001,0.09121568560600281,43000,-7.848023206926882,50.0
,,228,50.0,-6.62639808,188,860,,,43000,,
43050,17.599297409057616,229,50.0,-6.53358922,188,864,0.001,0.13038148157298565,43200,,
43250,17.524031524658202,230,50.0,-6.406064700000002,188,868,0.001,0.05521681427955628,43400,,
43450,17.631497650146486,231,50.0,-6.40135347,188,872,0.001,0.05618357375264168,43600,,
43650,17.668184814453124,232,50.0,-6.4129026,188,876,0.001,0.06693962477147579,43800,,
43850,17.65337272644043,,,,,,0.001,0.05467735126614571,44000,-7.646237129531801,50.0
,,233,50.0,-6.476215580000002,188,880,,,44000,,
44050,17.688688735961914,234,50.0,-6.49928106,188,884,0.001,0.06426968201994895,44200,,
44250,17.74136978149414,235,50.0,-6.454084689999999,188,888,0.001,0.05593530721962452,44400,,
44450,17.75946762084961,236,50.0,-6.452012390000001,188,892,0.001,0.05909597679972649,44600,,
44650,17.88425956726074,237,50.0,-6.4754660999999984,188,896,0.001,0.06740597561001778,44800,,
44850,17.83916069030762,,,,,,0.001,0.063319111764431,45000,-6.783782560843974,50.0
,,238,50.0,-6.45071544,188,900,,,45000,,
45050,17.87631935119629,239,50.0,-6.440615359999999,188,904,0.001,0.07033365681767463,45200,,
45250,17.947408447265627,240,50.0,-6.579978580000001,188,908,0.001,0.060305375084280965,45400,,
45450,17.90986259460449,242,50.0,-6.565101100000001,188,912,0.001,0.09397181585431098,45600,,
