time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
384,1000.0,143,0.001,2609,374502,-71.76036686706543,373447,908.63672112,0.29739229775965215,,
,,,0.001,,375000,-71.6177967376709,374447,,0.2993495812937617,921.8347179859877,1000.0
388,1000.0,143,0.001,2636,378502,-70.9045210723877,377447,907.4892261400001,0.34148200115561483,,
,,,0.001,,380000,-70.14933406066895,379447,,0.419580238878727,846.611820806563,1000.0
392,1000.0,143,0.001,2665,382502,-69.25712579345704,381447,903.7506293400002,0.39914229384064676,,
,,,0.001,,385000,-69.13488764953614,384447,,0.3440433424711227,433.86593065331834,1000.0
396,1000.0,143,0.001,2694,386502,-68.93122779846192,385447,895.11114511,0.348863722294569,,
,,,0.001,,390000,-69.07280499267578,389447,,0.26681639367341997,731.8682337015867,1000.0
400,1000.0,143,,2722,390502,,,886.4980703099999,,,
404,1000.0,143,0.001,2744,394502,-68.83236209106445,393447,880.8767559,0.24542255981266498,,
,,,0.001,,395000,-68.72995729064941,394447,,0.23191545118391513,893.8734782397747,1000.0
408,1000.0,143,0.001,2772,398502,-68.64679046630859,397447,873.4284739799998,0.17149848011881114,,
,,,0.001,,400000,-68.66597875976562,399447,,0.20644338908046483,849.5855429053306,1000.0
412,1000.0,143,0.001,2804,402502,-68.47787065124511,401447,870.2903228099999,0.22060242284834386,,
,,,0.001,,405000,-68.12796615600585,404447,,0.2418557789772749,838.5302156746387,1000.0
416,1000.0,143,0.001,2834,406502,-68.0062622833252,405447,865.48227212,0.22222081356495618,,
,,,0.001,,410000,-67.55666593933105,409447,,0.23866010021418332,893.274907386303,1000.0
420,1000.0,143,,2862,410502,,,863.5698233199998,,,
424,1000.0,143,0.001,2883,414502,-67.29835708618164,413447,861.6423304599999,0.21875385700166225,,
,,,0.001,,415000,-67.33751612854005,414447,,0.24039743790775536,934.8779797226191,1000.0
428,1000.0,143,0.001,2913,418502,-67.57794679260255,417447,859.6927866999999,0.23060072170197965,,
,,,0.001,,420000,-67.68934265136718,419447,,0.2328382066562772,899.5948167741299,1000.0
432,1000.0,143,0.001,2942,422502,-67.90650212097168,421447,856.2046899000001,0.21206191069632768,,
,,,0.001,,425000,-67.98462084960937,424447,,0.24043418591469526,864.1680978924036,1000.0
436,1000.0,143,0.001,2972,426502,-68.07404470825195,425447,853.8619766100003,0.22700946024805307,,
,,,0.001,,430000,-68.09930557250976,429447,,0.22963288932293655,945.4356681138277,1000.0
440,1000.0,143,,3001,430502,,,852.8100545,,,
444,1000.0,143,0.001,3024,434502,-68.4869842224121,433447,850.9877866200001,0.19783868648111821,,
,,,0.001,,435000,-68.5582003479004,434447,,0.1746812879294157,935.7907594740391,1000.0
448,1000.0,143,0.001,3053,438502,-68.88741748046876,437447,850.06496694,0.147111107096076,,
,,,0.001,,440000,-69.08783383178711,439447,,0.14913565126806497,897.864984446764,1000.0
452,1000.0,143,0.001,3082,442502,-69.24853581237792,441447,848.1400654600001,0.14288662603870034,,
,,,0.001,,445000,-69.3468026825876,444710,,0.1713500610010932,766.6228762894868,852.0
456,992.63,143,,3107,445765,,,840.1788535500001,,,
460,992.63,143,0.001,3126,449765,-69.07585005187988,448710,837.1369321599999,0.15888225457817315,,
,,,0.001,,450000,-68.84634272766114,449710,,0.17529762195050716,824.9823721557856,1000.0
464,992.63,143,0.001,3157,453765,-67.90268324279785,452710,834.98079039,0.21860507526248693,,
,,,0.001,,455000,-67.49272459411621,454710,,0.24678704530000686,635.1736378367292,1000.0
468,992.63,143,0.001,3188,457765,-67.51547319030762,456710,828.26094422,0.22969520305842162,,
,,,0.001,,460000,-67.7072875366211,459710,,0.1767149628251791,778.1399562686681,1000.0
472,992.63,143,0.001,3217,461765,-67.80557305908204,460710,826.44609545,0.19614752769470215,,
,,,0.001,,465000,-68.05172981262207,464710,,0.1780048147365451,806.5287253573537,1000.0
476,992.63,143,,3247,465765,,,843.6967760299999,,,
480,992.63,143,0.001,3268,469765,-68.36090386962891,468710,851.2879274699997,0.14580098170414568,,
,,,0.001,,470000,-68.38154357910156,469710,,0.1711869796141982,890.6198263138533,1000.0
484,992.63,143,0.001,3298,473765,-68.41453938293456,472710,854.9869732399999,0.14436460126563908,,
,,,0.001,,475000,-68.33283877563477,474710,,0.1610098843127489,885.8183656871319,1000.0
488,992.63,143,0.001,3329,477765,-68.31236491394043,476710,854.88351371,0.1576169074587524,,
,,,0.001,,480000,-68.3569549560547,479710,,0.1357162087894976,936.6431253477931,1000.0
492,992.63,143,0.001,3358,481765,-68.33730612182617,480710,857.4738935200002,0.13721644085273146,,
,,,0.001,,485000,-68.36033808898925,484710,,0.13875200090557338,879.79170191288,1000.0
496,992.63,143,,3389,485765,,,863.5040533199998,,,
500,992.63,143,0.001,3413,489765,-68.17543894958496,488710,871.4939108499999,0.14402185041084886,,
,,,0.001,,490000,-68.22950451660157,489710,,0.1384205913692713,859.1071966052056,1000.0
504,992.63,143,0.001,3445,493765,-68.13105752563476,492710,874.7545771800001,0.15067263185977936,,
,,,0.001,,495000,-68.18855281066895,494710,,0.11571531230956315,943.7704003095627,1000.0
508,992.63,143,0.001,3474,497765,-68.21992118835449,496710,879.3726814500001,0.11330425598844886,,
,,,0.001,,500000,-68.47615541076661,499710,,0.11240204882994294,959.99358882308,1000.0
512,992.63,143,0.001,3504,501765,-68.57362210083008,500710,882.4949445600001,0.14664932773634792,,
,,,0.001,,505000,-68.87997189331055,504710,,0.12169568657502532,938.8401124417782,1000.0
516,992.63,142,,3537,505765,,,886.24137747,,,
520,992.63,143,0.001,3558,509765,-69.12449885559082,508710,887.1092893499999,0.09813760154694319,,
,,,0.001,,510000,-69.14500793457032,509710,,0.10135437207296491,895.9665161371231,1000.0
524,992.63,143,0.001,3588,513765,-69.33606541442872,512710,889.3615048399998,0.11033617348223924,,
,,,0.001,,515000,-69.4281999053955,514710,,0.09354133789241315,954.2749706178904,1000.0
528,992.63,143,0.001,3618,517765,-69.50088830566406,516710,891.33770262,0.12757756289094688,,
,,,0.001,,520000,-69.6770591430664,519710,,0.09759659723192453,953.1260223150254,1000.0
532,992.63,143,0.001,3647,521765,-69.71417373657226,520710,894.9479156,0.11124134316295385,,
,,,0.001,,525000,-69.95320556640625,524710,,0.09940171935036779,914.5462682783603,1000.0
536,992.63,142,,3677,525765,,,896.7971119200001,,,
540,992.63,143,0.001,3697,529765,-70.19273324584961,528710,898.1698400999999,0.0882101733237505,,
,,,0.001,,530000,-70.23306707763672,529710,,0.11862052132375539,940.1227201223373,1000.0
544,992.63,143,0.001,3725,533765,-70.34603163146973,532710,899.3224303100001,0.11931428026407957,,
,,,0.001,,535000,-70.43361921691894,534710,,0.11671357478015125,963.8151967227459,1000.0
548,992.63,143,0.001,3756,537765,-70.42743240356445,536710,900.3490209299999,0.09313332529738545,,
,,,0.001,,540000,-70.21695375061036,539710,,0.10980802886933089,917.5059363007546,1000.0
552,992.63,143,0.001,3787,541765,-70.11315560913086,540710,901.05954957,0.11150867275893689,,
,,,0.001,,545000,-69.80012269592285,544710,,0.1468268697336316,926.714529132843,1000.0
556,1000.0,143,,3816,545765,,,908.76372002,,,
560,1000.0,143,0.001,3836,549765,-69.20445472717284,548710,909.7570833,0.1496957199499011,,
,,,0.001,,550000,-69.10984454345703,549710,,0.1478696257546544,927.6196874886751,1000.0
564,1000.0,143,0.001,3864,553765,-69.08058511352539,552710,911.7915714699999,0.16643546951562166,,
