time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
956,175,3.53,3426,19,21.3134327,3327,2.539493978023529,0.001,-10.313916206359863,,
960,175,3.53,3441,19,21.315164629999995,3341,2.8755029439926147,0.001,-10.927812576293945,,
964,175,3.51,3454,19,21.149211550000004,3355,2.719398816426595,0.001,-10.965319633483887,,
968,175,3.5,3468,19,21.068346039999998,3368,1.2891679406166077,0.001,-11.267740249633789,,
972,175,3.5,3483,19,21.070337849999998,3383,2.3308947881062827,0.001,-8.3880033493042,,
976,175,3.49,3498,19,20.98611099,3398,2.417322814464569,0.001,-10.794934749603271,,
980,175,3.51,3514,20,21.154786249999997,3414,2.686259388923645,0.001,-9.524434089660645,,
984,175,3.5,3528,20,21.071030969999995,3429,2.0667564272880554,0.001,-10.866734981536865,,
988,175,3.48,3540,20,20.902658470000006,3441,2.116891940434774,0.001,-10.148492813110352,,
992,175,3.48,3554,20,20.902682449999997,3454,2.0463791489601135,0.001,-10.410616397857666,,
996,175,3.49,3568,20,20.98599315,3469,2.1595768133799234,0.001,-11.985883712768555,,
1000,175,3.51,3583,20,21.15479553,3483,2.7034268379211426,0.001,-9.840543270111084,,
1004,175,3.53,3597,20,21.320168950000003,3498,2.1087570190429688,0.001,-12.766332626342773,,
1008,175,3.53,3611,20,21.32054944,3512,2.167222499847412,0.001,-10.822227954864502,,
1012,175,3.51,3624,20,21.153261129999997,3525,3.4263200759887695,0.001,-10.977084159851074,,
1016,175,3.53,3640,20,21.320797430000002,3540,2.2182257771492004,0.001,-11.4981107711792,,
1020,175,3.52,3653,20,21.240925830000005,3553,1.8269517024358113,0.001,-12.352568626403809,,
1024,175,3.52,3666,20,21.23963047,3566,2.2462007204691568,0.001,-10.51610279083252,,
1028,175,3.52,3679,20,21.237840849999998,3580,2.4921460151672363,0.001,-10.335544109344482,,
1032,175,3.52,3692,21,21.237192940000003,3593,2.7227349877357483,0.001,-9.867522716522217,,
1036,175,3.5,3704,21,21.06983436,3605,2.600919008255005,0.001,-11.74190902709961,,
1040,175,3.49,3718,21,20.989783609999996,3618,2.1024958292643228,0.001,-10.80807113647461,,
1044,175,3.5,3733,21,21.07271455,3634,2.3596076369285583,0.001,-11.47168779373169,,
1048,175,3.52,3748,21,21.241734169999994,3649,2.2135199904441833,0.001,-10.385863780975342,,
1052,175,3.52,3763,21,21.242034920000005,3663,2.20097678899765,0.001,-11.13968801498413,,
1056,175,3.5,3776,21,21.07491946,3676,2.3238724867502847,0.001,-9.805473327636719,,
1060,175,3.5,3791,21,21.073517320000004,3691,2.901346802711487,0.001,-10.833584308624268,,
1064,175,3.52,3806,21,21.23905468,3707,2.3857325315475464,0.001,-11.286822319030762,,
1068,175,3.51,3819,21,21.15581953,3720,2.689155340194702,0.001,-10.892727375030518,,
1072,175,3.49,3832,21,20.98576095,3732,2.211814045906067,0.001,-9.455398082733154,,
1076,175,3.48,3846,21,20.903452529999996,3747,1.8965615034103394,0.001,-12.290645599365234,,
1080,175,3.46,3860,21,20.73516574,3760,2.0814184745152793,0.001,-10.312996864318848,,
1084,175,3.46,3874,22,20.736535710000002,3774,3.4908856550852456,0.001,-9.390827655792236,,
1088,175,3.5,3890,22,21.06972635,3790,2.7606356143951416,0.001,-11.255443096160889,,
1092,175,3.5,3904,22,21.06890018,3804,2.606601595878601,0.001,-11.011807918548584,,
1096,175,3.5,3918,22,21.06897989,3819,3.1083669662475586,0.001,-10.444418907165527,,
1100,175,3.51,3934,22,21.151692679999996,3834,2.132710486650467,0.001,-11.084962844848633,,
1104,175,3.49,3946,22,20.983538969999998,3847,2.039497454961141,0.001,-10.665375709533691,,
1108,175,3.5,3961,22,21.066735590000004,3861,1.905440330505371,0.001,-9.97587776184082,,
1112,175,3.52,3976,22,21.23213737,3876,2.687524378299713,0.001,-9.898436069488525,,
1116,176,3.51,3991,22,21.15109227,3891,2.692866861820221,0.001,-10.62785291671753,,
,,,4000,,,3902,2.18128103017807,0.001,-10.379872798919678,3.5,21.106485509872435
1120,175,3.52,4005,22,21.23425374,3906,2.222618907690048,0.001,-10.162100315093994,,
1124,175,3.52,4018,22,21.235110939999995,3918,2.4945868651072183,0.001,-11.165141105651855,,
1128,175,3.51,4030,22,21.149615670000003,3931,3.2990379333496094,0.001,-10.795266151428223,,
1132,175,3.53,4045,22,21.318211069999997,3945,2.1741053760051727,0.001,-10.316860675811768,,
1136,175,3.55,4059,23,21.48590811,3959,2.6701377034187317,0.001,-11.105828762054443,,
1140,175,3.54,4072,23,21.397068530000002,3973,2.0657251675923667,0.001,-10.288226127624512,,
1144,175,3.54,4087,23,21.396049999999995,3987,1.9982352256774902,0.001,-11.026535987854004,,
1148,175,3.52,4100,23,21.228755850000002,4001,2.256654421488444,0.001,-9.968389511108398,,
1152,175,3.49,4112,23,20.980324380000003,4013,1.8794399499893188,0.001,-12.448216438293457,,
1156,175,3.5,4126,23,21.063127160000004,4027,1.9619805812835693,0.001,-10.735841751098633,,
