time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
120,15813,1901320,126752,15.0,70.90191843,0.012928130105137825,-35.465775626046316,0.001,1901207,,
120,15813,1901380,126756,15.0,70.90179610999999,0.006390327929208676,-35.683680943080354,0.001,1901267,,
120,15814,1901440,126760,15.0,70.89324029000001,0.009203016851097345,-37.306945255824495,0.001,1901327,,
120,15814,1901500,126764,15.0,70.89913828,0.010290943241367737,-36.15772083827427,0.001,1901387,,
120,15814,1901560,126768,15.0,70.90308472000001,0.0067106152263780436,-36.78996549333845,0.001,1901447,,
120,15815,1901620,126772,15.0,70.90587238,0.007971075735986233,-35.492283957345144,0.001,1901507,,
120,15815,1901680,126776,15.0,70.90916446,0.0063190535642206665,-34.8772280556815,0.001,1901567,,
120,15815,1901740,126780,15.0,70.91077107000001,0.005725631676614285,-34.267298562186106,0.001,1901627,,
120,15816,1901800,126784,15.0,70.91614340999999,0.006177318515256047,-35.62639454432896,0.001,1901687,,
120,15816,1901860,126788,15.0,70.92237032999999,0.008029972622171044,-35.13463265555246,0.001,1901747,,
120,15816,1901920,126792,15.0,70.92448777999999,0.005943522353967031,-36.02823693411691,0.001,1901807,,
120,15817,1901980,126796,15.0,70.91968898,0.006267540343105793,-35.77376011439732,0.001,1901867,,
120,15817,1902040,126800,15.0,70.91604483,0.006923796034728488,-35.62078039986746,0.001,1901927,,
120,15817,1902100,126804,15.0,70.91893006000001,0.0082143967350324,-35.56516211373465,0.001,1901987,,
120,15818,1902160,126808,15.0,70.91399089000001,0.012035472225397826,-35.385505131312776,0.001,1902047,,
120,15818,1902220,126812,15.0,70.91763868,0.0059817572745184105,-36.44944381713867,0.001,1902107,,
120,15818,1902280,126816,15.0,70.91976474,0.0067052862296501795,-37.450396401541575,0.001,1902167,,
120,15818,1902340,126820,15.0,70.92056065,0.0062326996276775995,-35.048910413469585,0.001,1902227,,
120,15819,1902400,126824,15.0,70.92477777,0.007813020081569751,-35.60463496616909,0.001,1902287,,
120,15819,1902460,126828,15.0,70.91844827000001,0.009311572834849357,-35.10549327305385,0.001,1902347,,
120,15819,1902520,126832,15.0,70.9192223,0.005529140324021379,-35.740599496024,0.001,1902407,,
120,15820,1902580,126836,15.0,70.91694453000001,0.005634436942636966,-36.52003969464983,0.001,1902467,,
120,15820,1902640,126840,15.0,70.92473066000001,0.014318960377325614,-36.35725402832031,0.001,1902527,,
120,15820,1902700,126844,15.0,70.92728074000001,0.0066113402135670185,-34.86568341936384,0.001,1902587,,
120,15821,1902760,126848,15.0,70.92595770999999,0.010406617540866137,-35.1355470929827,0.001,1902647,,
120,15821,1902820,126852,15.0,70.92966335,0.005592608513931434,-35.702825273786274,0.001,1902707,,
120,15821,1902880,126856,15.0,70.92954254,0.0067313552523652715,-36.10937336512974,0.001,1902767,,
