time/total_timesteps,time/fps,train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
562944,83,12.083449520587921,0.001,964.77,561944,-196.42272424316405,2898.50779337,588,6731,,
565000,,11.795986698150635,0.001,,564944,-197.30899963378906,,,,3127.016186872078,1000.0
566944,83,12.731998302459717,0.001,974.69,565944,-198.66464053344725,2932.5738675099997,592,6777,,
570000,,12.77704927968979,0.001,,569944,-199.204033782959,,,,3190.4976412329825,1000.0
570944,83,,,984.31,,,2969.0494961099994,596,6828,,
574944,83,14.196446150779725,0.001,984.31,573944,-198.71651986694337,2972.9894749,600,6862,,
575000,,13.730992096424103,0.001,,574944,-200.0140917663574,,,,3199.4052061308175,1000.0
578944,83,12.386446807861327,0.001,984.31,577944,-200.39192276000978,2976.6623279899986,604,6913,,
580000,,12.27945897102356,0.001,,579944,-200.8151734008789,,,,3238.687126715202,1000.0
582944,83,11.961452800750733,0.001,984.31,581944,-202.10612664794922,3011.9785070300004,608,6963,,
585000,,11.804551448345185,0.001,,584944,-201.8757803955078,,,,2833.5822037637236,1000.0
586944,83,11.18650743150711,0.001,990.3,585944,-202.98958505249024,3039.7391997000004,612,7013,,
590000,,13.184391897678376,0.001,,589944,-203.24206622314452,,,,3259.3504190366716,1000.0
590944,83,,,990.3,,,3047.73151823,616,7064,,
594944,83,12.06525521659851,0.001,990.3,593944,-204.14586706542968,3059.1013214500003,620,7099,,
595000,,12.859331743240357,0.001,,594944,-204.56325677490236,,,,3223.404614003375,1000.0
598944,83,11.874070611476899,0.001,990.3,597944,-204.97106787109374,3098.1422749900007,624,7150,,
600000,,11.710311317443848,0.001,,599944,-205.00558572387695,,,,1773.2150315719657,903.3
602944,83,12.1924987616539,0.001,990.3,601944,-205.20701205444337,3103.8766125999996,628,7199,,
605000,,13.293627769947053,0.001,,604944,-205.09870483398439,,,,3311.0850582527696,1000.0
606944,83,12.970917247772217,0.001,990.3,605944,-204.9232219543457,3163.1219136500004,632,7249,,
610000,,12.284574587821961,0.001,,609944,-205.4158837585449,,,,3234.9408408347517,1000.0
610944,83,,,1000.0,,,3203.658561649999,636,7301,,
614944,83,12.11444790172577,0.001,1000.0,613944,-205.94425061035156,3206.25986027,640,7337,,
615000,,11.624808953285218,0.001,,614944,-206.04530017089843,,,,3170.9060998543164,1000.0
618944,83,12.19710404920578,0.001,1000.0,617944,-207.13549212646484,3215.55549906,644,7388,,
620000,,11.601035801887512,0.001,,619944,-207.10404373168944,,,,3432.117082596081,1000.0
622944,83,11.131407999992371,0.001,1000.0,621944,-207.78895474243163,3222.63725055,648,7438,,
625000,,12.019500133991242,0.001,,624944,-208.56140838623048,,,,3382.8972809061406,1000.0
626944,83,11.89734298324585,0.001,1000.0,625944,-208.78542114257812,3226.7995470200003,652,7490,,
630000,,11.185544407367706,0.001,,629944,-209.2432674560547,,,,3361.6262244053187,1000.0
630944,83,,,1000.0,,,3233.9571573,656,7541,,
634944,83,12.503522575378417,0.001,1000.0,633944,-210.32653381347657,3243.25093675,660,7578,,
635000,,11.661035425662995,0.001,,634944,-211.05898098754884,,,,3421.45550642591,1000.0
638944,83,11.608710246562957,0.001,1000.0,637944,-211.23192028808595,3253.72840166,664,7630,,
640000,,11.698388350963592,0.001,,639944,-210.5576086730957,,,,3369.1750564720483,1000.0
642944,83,11.275474285125732,0.001,1000.0,641944,-211.29971188354492,3260.752084659999,668,7682,,
645000,,10.94275673532486,0.001,,644944,-211.69584744262696,,,,3366.743777172081,1000.0
646944,83,11.185561089992524,0.001,1000.0,645944,-211.4255319824219,3272.5704838699994,672,7735,,
650000,,11.159116730213166,0.001,,649944,-211.57230676269532,,,,3385.5868172619494,1000.0
650944,83,,,1000.0,,,3279.3705453899997,676,7788,,
654944,83,10.804317434310914,0.001,1000.0,653944,-211.76259130859376,3289.27343749,680,7824,,
