rollout/ep_rew_mean,train/n_updates,train/critic_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-23.880608119999998,133166,15.030729430062431,776,168,788,32.48,133216,50.46820259094238,0.001,,
-23.54549125,133196,9.627353310585022,780,168,789,32.12,133247,49.98773670196533,0.001,,
-23.23133339,133228,19.66882882799421,784,168,789,31.94,133279,51.90251922607422,0.001,,
-23.243400119999993,133269,11.29493134362357,788,168,789,31.93,133319,48.192395528157554,0.001,,
-22.64705303,133299,11.721977829933167,792,168,789,31.19,133350,50.286192893981934,0.001,,
-15.173767719999999,133332,13.496940506829155,796,168,789,21.2,133382,49.63608932495117,0.001,,
-15.29733196,133384,11.405001735687256,800,168,790,21.32,133447,48.655520629882815,0.001,,
-15.433589800000002,133427,11.898647520277235,804,168,790,21.24,133478,50.208051681518555,0.001,,
-15.526135640000001,133457,11.137654645102364,808,168,790,21.21,133508,49.7587521870931,0.001,,
-19.43237443,134506,13.330291680574417,812,169,795,30.68,134557,49.24269454193115,0.001,,
-19.360421979999998,134544,19.58051815032959,816,169,795,30.52,134595,48.90057611465454,0.001,,
-18.84427761,134573,17.054628917149135,820,169,795,30.34,134623,47.54660669962565,0.001,,
-18.62399999,134609,12.930527031421661,824,169,796,30.38,134661,50.75160503387451,0.001,,
-18.93671883,134644,11.28240430355072,828,169,796,30.22,134693,48.62482833862305,0.001,,
-18.1201026,134697,13.358468055725098,832,169,796,30.03,134748,48.74431482950846,0.001,,
-17.900541009999998,134753,16.65600570042928,836,169,796,30.24,134803,48.902122497558594,0.001,,
-17.74097508,134782,12.706507819039482,840,169,797,29.66,134832,50.07024383544922,0.001,,
-17.861425679999996,134814,11.826716899871826,844,169,797,29.68,134865,49.22715950012207,0.001,,
-15.868098680000001,134845,15.470920085906982,848,169,797,19.59,134895,48.998154640197754,0.001,,
-15.9826225,134877,12.281844139099121,852,169,797,19.53,134927,51.016682942708336,0.001,,
-15.91676863,134915,11.999195988972982,856,169,797,19.37,134966,48.395362854003906,0.001,,
,134949,12.590913984510633,,,,,135000,49.0430064731174,0.001,-12.25811811964959,8.1
-15.89876644,134957,11.972167015075684,860,169,798,19.34,135016,50.720603942871094,0.001,,
-15.976704230000001,135006,15.08064091205597,864,169,798,19.3,135056,48.3811149597168,0.001,,
-15.777445189999998,135035,16.713447093963623,868,169,798,19.39,135097,48.14754676818848,0.001,,
-15.68949806,135077,10.753188678196498,872,169,798,19.4,135127,49.38161087036133,0.001,,
-15.630878930000003,135105,13.146616617838541,876,169,798,19.49,135165,49.872639973958336,0.001,,
-15.729804500000002,135143,13.957081854343414,880,169,799,19.47,135194,48.13043689727783,0.001,,
-15.87368711,135172,14.281009878431048,884,169,799,19.44,135223,49.31543254852295,0.001,,
-15.97159733,135238,14.000700286456517,888,169,799,19.69,135288,48.76636832101004,0.001,,
-15.88488606,135266,17.514928877353668,892,169,799,19.67,135317,48.219520568847656,0.001,,
-15.84468861,135316,12.875312805175781,896,169,799,19.85,135367,46.012245178222656,0.001,,
-15.50774431,135344,12.385046413966588,900,169,800,19.48,135395,50.43371772766113,0.001,,
-15.43456402,135377,15.057904652186803,904,169,800,19.58,135436,47.84588114420573,0.001,,
-15.396157550000003,135427,14.21835961341858,908,169,800,19.77,135485,47.41020469665527,0.001,,
-10.772560149999999,135463,17.294478961399623,912,169,800,9.58,135515,47.24757639567057,0.001,,
-10.89753904,135496,17.270039830889022,916,169,800,9.52,135547,48.88465118408203,0.001,,
-11.02017116,135525,11.539006471633911,920,169,800,9.53,135576,48.6074857711792,0.001,,
-11.207251280000001,135556,13.372825264930725,924,169,801,9.55,135616,48.73692798614502,0.001,,
-11.649533800000004,135622,13.854558257495656,928,169,801,9.8,135673,48.086772694307214,0.001,,
-12.04688273,135660,13.679931223392487,932,169,801,9.62,135710,48.649617195129395,0.001,,
-12.06753285,135693,11.325868433172053,936,169,801,9.4,135743,48.31733856201172,0.001,,
-11.998207249999998,135722,12.909943444388253,940,169,801,9.4,135772,47.945664405822754,0.001,,
-11.968588469999997,135751,10.914584815502167,944,169,802,9.36,135801,49.62603282928467,0.001,,
-13.552737410000002,136785,10.921394172467684,948,169,807,19.4,136835,49.97464836968316,0.001,,
-13.94863592,136866,14.930595350265502,952,169,807,19.9,136917,46.186178588867186,0.001,,
-13.954525700000001,136897,15.270465532938639,956,169,807,19.82,136948,46.896212577819824,0.001,,
-14.04007279,136955,13.284160137176514,960,169,807,19.9,137006,46.98988342285156,0.001,,
-14.080235660000001,136988,17.01821506023407,964,169,808,19.84,137040,45.520873069763184,0.001,,
-14.217772300000002,137021,13.547739346822103,968,169,808,19.75,137072,48.5700159072876,0.001,,
-14.316134910000002,137052,10.968736410140991,972,169,808,19.76,137103,45.17595195770264,0.001,,
-19.72478012,138076,9.99166168485369,976,169,813,29.82,138147,45.77634906768799,0.001,,
-19.72293332,138125,16.441831861223495,980,169,813,29.81,138175,47.60158030192057,0.001,,
-19.55785116,138157,11.997015833854675,984,169,813,29.85,138208,45.82574653625488,0.001,,
-19.75105354,138195,11.93847165788923,988,169,813,29.57,138245,44.47395706176758,0.001,,
-19.69330917,138231,13.135917936052595,992,169,814,29.64,138281,46.04933547973633,0.001,,
-19.69481666,138268,9.9428151845932,996,169,814,29.51,138318,46.53058910369873,0.001,,
-19.720716319999998,138308,9.766772164238823,1000,169,814,29.63,138358,44.81480916341146,0.001,,
-19.83617131,138360,11.03792701448713,1004,169,814,29.74,138410,46.67106628417969,0.001,,
-19.85255424,138390,12.687952995300293,1008,169,814,29.55,138440,44.286465644836426,0.001,,
-19.870681719999997,138421,9.37723798751831,1012,169,815,29.56,138471,44.85140380859375,0.001,,
-19.717168729999997,138449,9.47783350944519,1016,169,815,29.53,138500,44.31029764811198,0.001,,
-19.657584059999998,138480,11.833378612995148,1020,169,815,29.54,138530,47.292245864868164,0.001,,
-19.724992909999997,138511,14.230489349365234,1024,169,815,29.45,138561,45.27882080078125,0.001,,
-19.17664094,138541,12.315681755542755,1028,169,815,29.19,138592,46.44689655303955,0.001,,
-19.24519887,138588,12.320143250858083,1032,169,815,29.28,138638,46.92197121514214,0.001,,
-19.261084399999998,138621,10.794381141662598,1036,169,816,29.51,138694,45.40539836883545,0.001,,
-19.36518508,138701,10.024593194325766,1040,169,816,29.8,138752,45.21265157063802,0.001,,
-19.346941949999998,138740,12.201005492891584,1044,169,816,29.89,138790,46.35825456891741,0.001,,
-17.74410403,138784,9.825335383415222,1048,169,816,20.01,138836,44.2492094039917,0.001,,
-17.30035358,138816,11.806164145469666,1052,169,816,19.5,138867,45.59761905670166,0.001,,
-17.254610319999998,138847,12.143457353115082,1056,169,817,19.61,138909,44.70356464385986,0.001,,
-17.155264069999998,138888,10.819364547729492,1060,169,817,19.34,138940,45.90071392059326,0.001,,
-17.29101441,138936,12.208170711994171,1064,170,817,19.64,139004,46.22863229115804,0.001,,
