time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
,,,180000,,,0.5366631746292114,0.03422104,-6.380373218655587,0.0003,41.45652216076851,0.2,0.349462890625,0.8481414914131165,-0.0651557216711808,870,12.042816162109375,150.0,114.39012427657435
1043,-3.7774870700000003,172,180224,88,57.32,,,,,,,,,,,,,
1051,-0.07515726000000025,173,182272,89,52.05,0.5346435904502869,0.024236528,-6.339570525288582,0.0003,86.9576038479805,0.2,0.259716796875,0.6534640789031982,-0.06154662273474969,880,44.388702392578125,,
1059,-1.5690592199999998,173,184320,90,37.17,0.5306153297424316,0.03546319,-6.285480226576328,0.0003,47.74672417640686,0.2,0.356103515625,0.2920910120010376,-0.07104630180983804,890,22.827816009521484,,
,,,185000,,,0.5282650589942932,0.032937516,-6.240253160893917,0.0003,52.68041525483132,0.2,0.335498046875,0.4650999903678894,-0.06611320052761585,900,24.53727149963379,28.9,31.292191920103505
1069,-2.0449031200000003,174,186368,91,46.95,,,,,,,,,,,,,
1077,-0.8223683800000003,174,188416,92,48.23,0.527509331703186,0.031255864,-6.2218684807419775,0.0003,45.47064979672432,0.2,0.34765625,0.8634877502918243,-0.06553645436652004,910,31.816211700439453,,
,,,190000,,,0.5221860408782959,0.031218626,-6.167687836289406,0.0003,52.1898893892765,0.2,0.326611328125,0.8013332337141037,-0.06626171618991065,920,28.240381240844727,245.8,149.7162707956508
1088,-3.1963797099999995,175,190464,93,58.08,,,,,,,,,,,,,
1094,-6.347715520000001,175,192512,94,68.65,0.5166860222816467,0.03876906,-6.077610455453396,0.0003,28.05087707340717,0.2,0.398583984375,0.8906503468751907,-0.06854244896094315,930,17.40237808227539,,
1102,-8.589789899999998,176,194560,95,78.18,0.5140430331230164,0.038573638,-6.026204188168049,0.0003,35.060142478346826,0.2,0.380224609375,0.8687569350004196,-0.06708068776642903,940,11.714170455932617,,
,,,195000,,,0.5069973468780518,0.06892725,-5.924022004008293,0.0003,12.165151196718217,0.2,0.47294921875,0.8304101675748825,-0.06308490109222475,950,4.415523052215576,42.8,58.84416476180777
1111,-13.590570490000003,176,196608,96,97.54,,,,,,,,,,,,,
1119,-16.001129260000003,177,198656,97,107.01,0.5024018287658691,0.02953163,-5.853583317995072,0.0003,34.97964624166489,0.2,0.301025390625,0.8444397896528244,-0.06341105384053662,960,9.338700294494629,,
,,,200000,,,0.4985886812210083,0.03669603,-5.789288620650768,0.0003,20.82051847577095,0.2,0.351611328125,0.8206080943346024,-0.06393171519739553,970,7.048396587371826,166.4,125.71617782113898
1131,-16.78423818,177,200704,98,111.47,,,,,,,,,,,,,
1138,-10.34957889,178,202752,99,102.61,0.49613404273986816,0.02510964,-5.7442629635334015,0.0003,51.297579342126845,0.2,0.273779296875,0.6392278671264648,-0.06455617164901924,980,27.415212631225586,,
1145,-8.595108770000001,178,204800,100,96.28,0.49063754081726074,0.036180176,-5.6686694249510765,0.0003,33.689420101046565,0.2,0.361279296875,0.84546759724617,-0.06934314920799807,990,20.668325424194336,,
,,,205000,,,0.485359787940979,0.03673544,-5.580256122350693,0.0003,27.49496271312237,0.2,0.36767578125,0.7972033023834229,-0.06581021033925935,1000,8.83007526397705,71.4,58.379676088504496
1154,-4.868702239999999,179,206848,101,89.56,,,,,,,,,,,,,
1162,-3.5075894400000003,179,208896,102,90.0,0.48272082209587097,0.031090444,-5.526608772575855,0.0003,47.216163128614426,0.2,0.31533203125,0.7808007746934891,-0.06726156817749143,1010,11.600520133972168,,
,,,210000,,,0.47865957021713257,0.03928428,-5.471083365380764,0.0003,24.051871578395367,0.2,0.38779296875,0.7458728551864624,-0.05932094287418295,1020,8.291420936584473,71.6,68.93250234595762
1171,-4.873162009999999,179,210944,103,108.28,,,,,,,,,,,,,
1179,-5.879741120000001,180,212992,104,126.85,0.47275012731552124,0.056153655,-5.377467106282711,0.0003,16.918753768503667,0.2,0.446435546875,0.7982887029647827,-0.0640720764931757,1030,5.694089412689209,,
,,,215000,,,0.4653587341308594,0.04995046,-5.268604481220246,0.0003,13.508866769075393,0.2,0.428955078125,0.8627043217420578,-0.06767479328846093,1040,4.385228157043457,358.4,269.7993219956494
1192,-3.7235986000000003,180,215040,105,125.37,,,,,,,,,,,,,
1200,4.955666829999999,180,217088,106,107.36,0.46324050426483154,0.032863542,-5.198162902891636,0.0003,34.630994093418124,0.2,0.33515625,0.7985420823097229,-0.06667143548547756,1050,17.16691017150879,,
1208,7.24534273,181,219136,107,96.36,0.4603244960308075,0.026291179,-5.150616750121117,0.0003,56.45154820680618,0.2,0.292578125,0.5347001850605011,-0.06669356017955579,1060,27.06145477294922,,
,,,220000,,,0.45792776346206665,0.03684619,-5.105214266479015,0.0003,23.826948755979537,0.2,0.373779296875,0.822843462228775,-0.06907477315398865,1070,12.333880424499512,436.6,301.392019956524
1225,6.40450872,180,221184,108,105.42,,,,,,,,,,,,,
1233,7.234790669999999,180,223232,109,96.14,0.4520476162433624,0.059042007,-5.023147191107273,0.0003,11.577638432383537,0.2,0.45546875,0.8388355672359467,-0.06618549451522995,1080,4.223906517028809,,
,,,225000,,,0.4473649263381958,0.03996723,-4.935062755644322,0.0003,15.860131701827049,0.2,0.386767578125,0.7809100449085236,-0.06961435743723995,1090,6.260908603668213,667.5,452.10137963006565
1252,6.337082719999999,179,225280,110,115.07,,,,,,,,,,,,,
1260,4.256429029999999,180,227328,111,134.16,0.4432064890861511,0.052636094,-4.865001487731933,0.0003,18.09211798906326,0.2,0.418603515625,0.7718323171138763,-0.05335499441862339,1100,9.18858814239502,,
