time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
109,71711.22190034,1000.0,2160,103,223232,0.2,958058.1490234375,0.8588072061538696,-0.07977959234267473,-4.76837158203125e-07,1080,0.046076074,0.0003,450144.9375,-21.516385120153426,0.36318359375,,
,,,,,225000,0.2,1344305.4494140625,0.857696533203125,-0.08369196540443227,9.417533874511719e-06,1090,0.0468922,0.0003,561114.875,-21.497408443689345,0.35146484375,70059.1348558426,1000.0
110,72033.91447882,1000.0,2198,102,225280,,,,,,,,,,,,,
111,72009.73592303,1000.0,2203,103,227328,0.2,1076158.130078125,0.8555808663368225,-0.06920400107337628,0.0,1100,0.04586,0.0003,491155.90625,-21.458949714899063,0.35322265625,,
112,72071.01312968001,1000.0,2208,103,229376,0.2,1364982.328515625,0.8549466729164124,-0.07858102562022395,1.430511474609375e-06,1110,0.04725191,0.0003,624784.125,-21.43848341703415,0.351611328125,,
,,,,,230000,0.2,1393814.174609375,0.8535963296890259,-0.09620970620308071,-0.0003132820129394531,1120,0.05481832,0.0003,546858.125,-21.424115979671477,0.404541015625,70271.5099439621,1000.0
113,71835.24490746,1000.0,2244,103,231424,,,,,,,,,,,,,
114,71865.01089827,1000.0,2249,103,233472,0.2,1078607.7859375,0.8528136014938354,-0.08089991931046825,0.0,1130,0.048035216,0.0003,426673.25,-21.402215212583542,0.36826171875,,
,,,,,235000,0.2,1233396.443359375,0.8512597680091858,-0.06645617292670067,1.7881393432617188e-07,1140,0.04059819,0.0003,579167.125,-21.369539606571198,0.3279296875,69227.04609069825,1000.0
115,72038.85935753,1000.0,2286,103,235520,,,,,,,,,,,,,
116,72214.68259572,1000.0,2291,103,237568,0.2,1293583.544140625,0.849700927734375,-0.07733386629552115,-3.5762786865234375e-07,1150,0.04555896,0.0003,684368.0,-21.346005147695543,0.3453125,,
117,72385.41786848001,1000.0,2295,104,239616,0.2,1434416.7109375,0.847971498966217,-0.07399947273079306,2.384185791015625e-07,1160,0.044620764,0.0003,710721.6875,-21.309699964523315,0.322216796875,,
