time/total_timesteps,train/learning_rate,time/time_elapsed,train/policy_loss,train/value_loss,time/fps,train/entropy_loss,time/iterations,rollout/ep_len_mean,train/std,train/n_updates,train/explained_variance,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
38500,0.0007,169,0.06764724105596542,0.08823516219854355,227,1.3181785345077515,7700,297.13,0.2052028328180313,7699,-0.005418062210083008,10.63748639,,
39000,0.0007,170,-0.25699907541275024,0.013177531771361828,228,1.5427662134170532,7800,297.13,0.1995190680027008,7799,0.0008813738822937012,10.63748639,,
39500,0.0007,171,-0.11250533908605576,0.18064801394939423,229,1.7561092376708984,7900,306.87,0.19424447417259216,7899,-0.0011913776397705078,19.046929730000002,,
40000,0.0007,,0.1535460352897644,0.03180088475346565,,1.9667900800704956,,,0.18922270834445953,7999,-0.0016651153564453125,,1000.0,979.5752360165119
40000,,185,,,216,,8000,306.87,,,,19.046929730000002,,
40500,0.0007,186,0.031824029982089996,0.09319311380386353,217,2.181809663772583,8100,316.41,0.18418151140213013,8099,-0.0016486644744873047,27.877757700000004,,
41000,0.0007,187,-0.2399432212114334,0.008813063614070415,218,2.4270131587982178,8200,316.41,0.17855766415596008,8199,-0.00032448768615722656,27.877757700000004,,
41500,0.0007,188,0.11732423305511475,0.017483122646808624,219,2.6583333015441895,8300,325.46,0.17353245615959167,8299,0.00014603137969970703,37.33937191,,
42000,0.0007,189,-0.24263861775398254,0.00640138378366828,221,2.890049457550049,8400,325.46,0.16859593987464905,8399,0.0006594657897949219,37.33937191,,
42500,0.0007,190,0.19729912281036377,0.008922320790588856,222,3.1253654956817627,8500,334.71,0.1637069284915924,8499,-0.0018668174743652344,46.67898631,,
43000,0.0007,192,0.15849250555038452,0.009689382277429104,223,3.3310768604278564,8600,334.71,0.15955886244773865,8599,-0.0010868310928344727,46.67898631,,
43500,0.0007,193,0.18109656870365143,0.011617315001785755,225,3.570476531982422,8700,344.54,0.15484458208084106,8699,2.8789043426513672e-05,55.581439229999994,,
44000,0.0007,194,-0.29020166397094727,0.0042874752543866634,226,3.7956974506378174,8800,344.54,0.1505296677350998,8799,0.000258028507232666,55.581439229999994,,
44500,0.0007,195,-0.4976862967014313,0.009388302452862263,227,4.010996341705322,8900,353.97,0.1465020328760147,8899,-2.384185791015625e-05,65.07520989,,
45000,0.0007,,0.30928730964660645,0.016422275453805923,,4.244445323944092,,,0.14232581853866577,8999,-0.0004900693893432617,,1000.0,983.3044496655464
45000,,208,,,216,,9000,353.97,,,,65.07520989,,
45500,0.0007,209,0.24977369606494904,0.0055871158838272095,217,4.4461259841918945,9100,363.78,0.13879328966140747,9099,-0.0004649162292480469,74.30065060999999,,
46000,0.0007,210,-0.2551984190940857,0.0023352131247520447,218,4.682406902313232,9200,363.78,0.13473279774188995,9199,0.0007521510124206543,74.30065060999999,,
46500,0.0007,211,0.291810542345047,0.009115955792367458,219,4.900661468505859,9300,373.66,0.13110528886318207,9299,0.0006288886070251465,83.59805560000001,,
47000,0.0007,212,0.16009309887886047,0.005355565343052149,220,5.121936321258545,9400,373.66,0.12754809856414795,9399,-0.002982497215270996,83.59805560000001,,
47500,0.0007,213,-0.01777368225157261,0.0009245453402400017,222,5.349339962005615,9500,382.54,0.12394562363624573,9499,-0.0016429424285888672,93.97980003,,
48000,0.0007,215,0.2993166148662567,0.01165836863219738,223,5.573009490966797,9600,382.54,0.12053510546684265,9599,-0.0004591941833496094,93.97980003,,
48500,0.0007,216,0.04492874816060066,0.0004153825284447521,224,5.804934501647949,9700,392.04,0.11709974706172943,9699,1.1920928955078125e-07,103.82200796999997,,
49000,0.0007,217,0.32615453004837036,0.004640188999474049,225,6.021043300628662,9800,392.04,0.11398576200008392,9799,0.00016868114471435547,103.82200796999997,,
49500,0.0007,218,-0.34944066405296326,0.002797722350805998,226,6.221669673919678,9900,401.71,0.11112846434116364,9899,-0.0012917518615722656,113.52068873999998,,
50000,0.0007,,-0.4771036207675934,0.004247627686709166,,6.44082498550415,,,0.1081508919596672,9999,0.0005869865417480469,,1000.0,988.9821708858013
50000,,231,,,215,,10000,401.71,,,,113.52068873999998,,
50500,0.0007,233,0.3624137341976166,0.00356609676964581,216,6.639723300933838,10100,401.71,0.1055154949426651,10099,0.003961026668548584,132.37597277999998,,
51000,0.0007,234,0.1040564700961113,0.0015915047843009233,217,6.837416172027588,10200,401.71,0.10293102264404297,10199,-0.0004277229309082031,132.37597277999998,,
51500,0.0007,235,-0.08636337518692017,0.00033107210765592754,218,7.051336765289307,10300,411.11,0.10021787881851196,10299,-0.002263665199279785,142.33652912999997,,
52000,0.0007,236,0.021868890151381493,0.00022510290727950633,219,7.269864559173584,10400,411.11,0.09753018617630005,10399,-4.7087669372558594e-05,142.33652912999997,,
52500,0.0007,237,-0.4026857316493988,0.0023274349514395,220,7.474130153656006,10500,420.68,0.0950431078672409,10499,0.0011767148971557617,152.25686653,,
53000,0.0007,239,-0.3178233802318573,0.001984657719731331,221,7.6707444190979,10600,420.68,0.09277326613664627,10599,0.0013039112091064453,152.25686653,,
53500,0.0007,240,0.6907417178153992,0.014283514581620693,222,7.852609157562256,10700,430.26,0.09064078330993652,10699,-0.0017452239990234375,162.16677694999998,,
54000,0.0007,241,-0.02543671801686287,0.0001919443457154557,223,8.053064346313477,10800,430.26,0.08840402960777283,10799,0.0017842650413513184,162.16677694999998,,
54500,0.0007,242,-0.39418792724609375,0.0019432775443419814,224,8.280818939208984,10900,439.81,0.08593429625034332,10899,-0.001302480697631836,172.19808639,,
55000,0.0007,,-0.10930915176868439,0.0003069889498874545,,8.46395492553711,,,0.08399078994989395,10999,-0.00047528743743896484,,1000.0,989.9951255500316
55000,,255,,,215,,11000,439.81,,,,172.19808639,,
55500,0.0007,256,0.2164703607559204,0.001131452969275415,216,8.662555694580078,11100,439.81,0.08196209371089935,11099,-0.004130959510803223,190.24827873,,
56000,0.0007,258,-0.06802967935800552,9.809205221245065e-05,217,8.867239952087402,11200,439.81,0.07988610863685608,11199,-0.0038259029388427734,190.24827873,,
56500,0.0007,259,-0.1953183114528656,0.0005270559340715408,217,9.055228233337402,11300,449.47,0.07803231477737427,11299,0.001702427864074707,200.22076932,,
57000,0.0007,260,-0.11107587069272995,0.0002174221444875002,218,9.245302200317383,11400,449.47,0.07617571949958801,11399,-0.0005233287811279297,200.22076932,,
57500,0.0007,261,0.4610113203525543,0.004426953848451376,219,9.45958137512207,11500,458.25,0.07416233420372009,11499,0.0003591179847717285,210.84024082999997,,
58000,0.0007,262,0.16790272295475006,0.0010359679581597447,220,9.624216079711914,11600,458.25,0.07265296578407288,11599,0.0008080601692199707,210.84024082999997,,
58500,0.0007,263,0.11149455606937408,0.0002614374679978937,221,9.805312156677246,11700,467.7,0.07101531326770782,11699,0.0006039738655090332,220.95264047,,
59000,0.0007,265,0.349022775888443,0.0013658038806170225,222,9.987823486328125,11800,467.7,0.06944264471530914,11799,0.0004999637603759766,220.95264047,,
59500,0.0007,266,0.06283967196941376,0.0002798627538140863,223,10.194704055786133,11900,476.43,0.06767867505550385,11899,0.0037512779235839844,231.59201572999999,,
60000,0.0007,,-0.06946351379156113,8.591132063884288e-05,,10.36801815032959,,,0.06621547043323517,11999,-0.004169821739196777,,1000.0,992.2754122853279
60000,,279,,,214,,12000,476.43,,,,231.59201572999999,,
60500,0.0007,280,0.1526726931333542,0.00022574565082322806,215,10.558894157409668,12100,485.64,0.06466455012559891,12099,0.004589557647705078,242.00638636000002,,
61000,0.0007,281,0.08232726901769638,0.00036856174119748175,216,10.743185997009277,12200,485.64,0.06315787136554718,12199,0.00022393465042114258,242.00638636000002,,
61500,0.0007,282,-0.05991455540060997,7.154579361667857e-05,217,10.896587371826172,12300,495.27,0.0619385689496994,12299,-0.0016846656799316406,252.03822002,,
62000,0.0007,283,0.14531640708446503,0.0002909825707320124,218,11.060559272766113,12400,495.27,0.06071624904870987,12399,0.00045233964920043945,252.03822002,,
62500,0.0007,284,0.05789276584982872,7.289989298442379e-05,219,11.2509183883667,12500,505.04,0.05931467562913895,12499,0.0006421804428100586,262.02767283000003,,
63000,0.0007,286,-0.03626661375164986,1.051345589075936e-05,220,11.429275512695312,12600,505.04,0.057996876537799835,12599,0.006825804710388184,262.02767283000003,,
63500,0.0007,287,0.2346072643995285,0.0006644552922807634,221,11.603944778442383,12700,513.9,0.05673002824187279,12699,-0.0030465126037597656,272.67203377000004,,
64000,0.0007,288,-0.0781923159956932,0.00010536096669966355,222,11.772687911987305,12800,513.9,0.05551779270172119,12799,0.0036531686782836914,272.67203377000004,,
64500,0.0007,289,0.22840026021003723,0.000411102082580328,222,11.925427436828613,12900,523.09,0.05450208857655525,12899,0.004971563816070557,283.1086601,,
65000,0.0007,,-0.11829356104135513,0.0001211811468238011,,12.081156730651855,,,0.053443100303411484,12999,-0.0019065141677856445,,1000.0,991.5864815592765
65000,,301,,,215,,13000,523.09,,,,283.1086601,,
65500,0.0007,302,0.08196520060300827,0.00024966654018498957,216,12.255152702331543,13100,532.58,0.0523003451526165,13099,0.000447690486907959,293.25866124000004,,
66000,0.0007,303,0.09006258100271225,0.0002008574374485761,217,12.412189483642578,13200,532.58,0.05126262083649635,13199,-0.0008367300033569336,293.25866124000004,,
66500,0.0007,304,-0.034839846193790436,1.7794211089494638e-05,218,12.564165115356445,13300,542.43,0.05033308267593384,13299,0.0012590885162353516,303.16065222000003,,
67000,0.0007,305,0.06280796974897385,8.251622784882784e-05,219,12.733272552490234,13400,542.43,0.04927671700716019,13399,0.003038346767425537,303.16065222000003,,
67500,0.0007,306,-0.13963663578033447,0.00011462221300462261,219,12.895123481750488,13500,552.08,0.04825679212808609,13499,-0.0005321502685546875,313.22205817,,
