rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1000.0,58359.32077889,51,104448,870,119,685794.25,0.0003,0.2,-0.06440082064655143,0.9122209548950195,1415646.3984375,0.21455078125,500,-22.570023649930953,0.022953149,-2.0623207092285156e-05,,
,,,105000,,,804508.5,0.0003,0.2,-0.06911659529432654,0.9110912680625916,1630583.171484375,0.226708984375,510,-22.54357980489731,0.024589865,2.2649765014648438e-05,63017.76694316864,1000.0
1000.0,58876.886677179995,52,106496,906,117,,,,,,,,,,,,,
1000.0,59355.21200707002,53,108544,911,119,501210.375,0.0003,0.2,-0.07012541998119559,0.9086228013038635,1120145.841796875,0.254638671875,520,-22.506393331289292,0.025043244,3.254413604736328e-05,,
,,,110000,,,656628.9375,0.0003,0.2,-0.08422707421705126,0.9070336818695068,1503034.09453125,0.271533203125,530,-22.473562759160995,0.02953739,9.959936141967773e-05,64114.68506011963,1000.0
1000.0,60142.86039203,54,110592,947,116,,,,,,,,,,,,,
1000.0,60729.454086419995,55,112640,952,118,772055.6875,0.0003,0.2,-0.07227736414060928,0.9055019617080688,1462021.916015625,0.241064453125,540,-22.442339861392973,0.025876045,-5.161762237548828e-05,,
1000.0,61277.67216306999,56,114688,956,119,413095.0625,0.0003,0.2,-0.08016129689058289,0.9057906270027161,1027317.757421875,0.286669921875,550,-22.43535077571869,0.029141251,-1.1086463928222656e-05,,
,,,115000,,,757139.75,0.0003,0.2,-0.08422532910772133,0.9045024514198303,1555108.950390625,0.285205078125,560,-22.423697263002396,0.028417196,3.814697265625e-05,63632.88696098328,1000.0
1000.0,61882.422660719996,57,116736,990,117,,,,,,,,,,,,,
1000.0,62474.51485066,58,118784,995,119,652926.75,0.0003,0.2,-0.07153474570950494,0.9020835161209106,1354675.080078125,0.255810546875,570,-22.38566687107086,0.027300773,-2.4080276489257812e-05,,
,,,120000,,,638085.25,0.0003,0.2,-0.07327063247794285,0.9011572599411011,1345184.479296875,0.2611328125,580,-22.354932099580765,0.029552087,-0.0004636049270629883,63418.236664962766,1000.0
1000.0,63015.60446568001,59,120832,1029,117,,,,,,,,,,,,,
1000.0,63539.34032242,60,122880,1033,118,677015.1875,0.0003,0.2,-0.0712021799205104,0.9008657932281494,1154722.706640625,0.2732421875,590,-22.341626143455507,0.02772101,1.0728836059570312e-06,,
1000.0,63978.625277540006,61,124928,1038,120,534496.4375,0.0003,0.2,-0.07985710731882137,0.9006140232086182,1159771.9638671875,0.288330078125,600,-22.339509034156798,0.030112874,2.6226043701171875e-06,,
,,,125000,,,661159.875,0.0003,0.2,-0.07417789759347215,0.8987162709236145,1263189.4109375,0.273046875,610,-22.317983531951903,0.02964637,-1.1920928955078125e-06,58964.47406997681,1000.0
1000.0,64701.10312089001,62,126976,1071,118,,,,,,,,,,,,,
1000.0,65252.28992227,63,129024,1075,119,778973.25,0.0003,0.2,-0.08205314149090555,0.8980033993721008,1709901.235546875,0.296875,620,-22.29481933116913,0.030064648,2.2649765014648438e-06,,
,,,130000,,,553796.0625,0.0003,0.2,-0.07376826055697165,0.8955786824226379,1097424.65703125,0.269384765625,630,-22.25884630680084,0.028586958,-3.5762786865234375e-07,58753.38302726745,1000.0
1000.0,65863.40448960001,64,131072,1109,118,,,,,,,,,,,,,
