time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,99000,,,,-346.70574896240237,0.001,243.67403158950805,98633,1000.0,9319.747341632843
,,100000,,,,-347.75844354248045,0.001,262.8947411575317,99633,1000.0,9320.796397781372
,,101000,,,,-349.00048065185547,0.001,281.12249546051027,100633,1000.0,9320.72999382019
,,102000,,,,-350.04990728759765,0.001,284.36760485076906,101633,1000.0,9319.026242160797
676,1478,102733,847.61,7898.024029770001,69,,,,,,
,,103000,,,,-350.21190979003904,0.001,278.49492613983153,102633,1000.0,9319.84027786255
,,104000,,,,-351.4317832641602,0.001,278.98917749404904,103633,1000.0,9321.293912410736
,,105000,,,,-351.7280866088867,0.001,251.9807908706665,104633,1000.0,9319.0388463974
,,106000,,,,-352.4685718994141,0.001,254.25978744506835,105633,1000.0,9321.58268852234
680,1547,106733,884.75,8244.64443812,68,,,,,,
,,107000,,,,-354.06414373779296,0.001,257.7939037322998,106633,1000.0,9320.982369327545
,,108000,,,,-354.87718572998045,0.001,245.48910675048828,107633,1000.0,9319.75955657959
,,109000,,,,-355.2555174560547,0.001,229.81208602142334,108633,1000.0,9319.722194290161
,,110000,,,,-355.49092193603514,0.001,214.2629669418335,109633,1000.0,9318.951949882507
684,1617,110733,911.41,8493.51694549,68,,,,,,
,,111000,,,,-357.5714650878906,0.001,217.95602892303467,110633,1000.0,9319.703235054016
,,112000,,,,-357.01981610107424,0.001,216.3095736541748,111633,1000.0,9319.731367588043
,,113000,,,,-358.1068588867187,0.001,204.39742070007324,112633,1000.0,9319.860222053529
,,114000,,,,-358.930044128418,0.001,195.5420173110962,113633,1000.0,9319.800283241271
688,1686,114733,948.26,8837.398607809999,68,,,,,,
,,115000,,,,-360.26357556152345,0.001,196.48334115982055,114633,1000.0,9319.645036125183
,,116000,,,,-360.10867987060544,0.001,200.59571129608153,115633,1000.0,9317.98618001938
,,117000,,,,-361.31960943603514,0.001,226.0592907333374,116633,1000.0,9321.556766033173
,,118000,,,,-361.19687298583983,0.001,243.06513654708863,117633,1000.0,9319.634457778931
692,1754,118733,974.62,9083.37437132,67,,,,,,
,,119000,,,,-361.84332580566405,0.001,243.64374250030517,118633,1000.0,9319.65376815796
,,120000,,,,-362.02801721191406,0.001,235.26671606445314,119633,552.7,5143.28724809885
,,121000,,,,-361.85965826416015,0.001,231.81946392822266,120633,1000.0,9319.434601020814
,,122000,,,,-362.76053833007813,0.001,263.3324518356323,121633,1000.0,9320.552942371369
696,1819,122733,992.9,9253.90435037,67,,,,,,
