time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,time/fps,train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
50523,185.22526176,0.001,111,50398,-64.47992496864468,453,92.38,960,5.488442452514873,,
50917,185.28242513000004,0.001,111,50794,-63.88954043388367,456,92.42,964,3.651995660129346,,
51317,185.64062228,0.001,111,51187,-63.8422200012207,460,92.6,968,4.037776588201523,,
51701,186.81669839000003,0.001,111,51579,-64.1470720719318,463,93.13,972,4.763006354823257,,
52094,188.16156514,0.001,111,51973,-63.47980155944824,467,93.71,976,6.6711330012519765,,
52490,188.99379045,0.001,111,52361,-63.4421820640564,470,94.12,980,4.6860717571887776,,
52500,,0.001,,52463,-63.778790343041514,,,,6.533712980793972,97.9,196.7053625434637
52874,189.11669303000005,0.001,110,52751,-62.962767601013184,476,94.17,984,4.011576510547252,,
53264,189.44157564000005,0.001,110,53141,-62.70905894859165,480,94.34,988,7.21030859152476,,
53658,189.78335073,0.001,111,53534,-64.28694682218591,483,94.46,992,9.40527564652112,,
54056,189.97382506000002,0.001,111,53931,-62.50217286745707,486,94.53,996,7.447690858195226,,
54456,190.21809136,0.001,111,54330,-63.416903925876994,489,94.71,1000,7.457154412080746,,
54846,190.80990117000005,0.001,111,54728,-63.05080612182617,493,95.07,1004,6.6667696056943955,,
55000,,0.001,,54916,-62.31442969185965,,,,4.975534029842652,95.35,193.36542910039424
55226,190.54632513,0.001,110,55104,-63.64892299969991,498,95.07,1008,6.149702495022824,,
55603,190.24409338,0.001,110,55478,-62.76987270433076,501,95.05,1012,7.360368697913652,,
55996,190.22081819,0.001,111,55867,-63.11489828427633,504,95.14,1016,5.079635885854562,,
56399,190.73271832999998,0.001,111,56273,-63.134922103881834,507,95.43,1020,7.105426866229218,,
56803,192.69298099999997,0.001,111,56676,-62.41768474204868,510,96.28,1024,4.785612233794562,,
57196,194.34282474000003,0.001,111,57068,-62.42846647898356,514,96.97,1028,7.129412567863862,,
57500,,0.001,,57460,-62.1078875016193,,,,6.058042909681182,96.25,200.97999247014522
57584,196.34177918,,110,,,520,97.62,1032,,,
57964,197.32940334,0.001,110,57839,-62.34988249109146,523,97.91,1036,5.723410067406107,,
58342,197.67722288000004,0.001,110,58222,-63.06045881907145,526,97.83,1040,3.97792278851072,,
58723,198.11889221,0.001,110,58599,-62.49015725177267,529,97.82,1044,4.321985521624165,,
59103,198.32402983,0.001,111,58982,-62.37501420366003,532,97.72,1048,4.6072048291246945,,
59482,198.63442935999998,0.001,111,59360,-61.68377161026001,535,97.55,1052,5.039477946883753,,
59861,198.7102591,0.001,111,59739,-61.88673448562622,538,97.39,1056,6.982205558568239,,
