time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
194560,95,349,336.5418283000001,70.24,556,0.0003,0.02049099,940,0.922063410282135,0.2,-22.695246851444246,106.62405395507812,0.137744140625,0.861876830458641,398.29545788764955,-0.04548484514525626,,
195000,,,,,,0.0003,0.017689832,950,0.9220080971717834,0.2,-22.69643384218216,124.58917999267578,0.144873046875,0.8848530426621437,347.8357909202576,-0.045958129328209904,68.5,351.06794663071634
196608,96,348,339.0855830399999,70.79,563,,,,,,,,,,,,,
198656,97,348,337.98251652999994,70.09,569,0.0003,0.01647805,960,0.9213181138038635,0.2,-22.689574152231216,148.23207092285156,0.12939453125,0.8722861409187317,418.36512794494627,-0.04316020642290823,,
200000,,,,,,0.0003,0.019448234,970,0.9206583499908447,0.2,-22.679439270496367,197.61062622070312,0.14033203125,0.8697334080934525,406.067630147934,-0.04281096794875339,71.5,365.2740773782134
200704,98,347,349.89492857000005,72.96,578,,,,,,,,,,,,,
202752,99,346,349.56948307999994,73.55,584,0.0003,0.014742266,980,0.9198749661445618,0.2,-22.665904700756073,121.16419219970703,0.10009765625,0.8433514684438705,458.10781092643737,-0.03540734499983955,,
204800,100,346,354.02391907,74.67,590,0.0003,0.017262217,990,0.9192065000534058,0.2,-22.6497751057148,153.09716796875,0.13798828125,0.8777648508548737,405.3942636966705,-0.04355119949323125,,
205000,,,,,,0.0003,0.0146955745,1000,0.9170873761177063,0.2,-22.622185790538786,168.92283630371094,0.11435546875,0.8553057610988617,483.5948583602905,-0.04064491030585486,65.5,338.521802559495
206848,101,345,359.95571252999997,75.82,598,,,,,,,,,,,,,
208896,102,345,351.1605841200001,73.81,603,0.0003,0.01964624,1010,0.9168296456336975,0.2,-22.600003284215926,137.25531005859375,0.146240234375,0.8633063733577728,359.77655053138733,-0.04198253923095763,,
210000,,,,,,0.0003,0.015385957,1020,0.9161038994789124,0.2,-22.590418136119844,120.95440673828125,0.1197265625,0.8605338037014008,488.4599516391754,-0.041302851744694634,64.35,329.52579184714705
210944,103,344,347.28083505,72.92,612,,,,,,,,,,,,,
212992,104,344,333.77854356999995,70.06,619,0.0003,0.015640672,1030,0.9161887168884277,0.2,-22.58464202284813,140.20669555664062,0.128125,0.8920267522335052,357.9779023170471,-0.041316189445205966,,
215000,,,,,,0.0003,0.020449052,1040,0.9163826704025269,0.2,-22.58630922436714,91.56060028076172,0.155517578125,0.887287326157093,315.70811729431153,-0.04451453986985143,70.6,359.9355617493391
215040,105,342,329.32725143999994,68.58,627,,,,,,,,,,,,,
217088,106,342,337.88092963,70.67,634,0.0003,0.02088901,1050,0.9164620041847229,0.2,-22.590610057115555,120.326904296875,0.16474609375,0.8582869172096252,409.6719042778015,-0.046166183085006196,,
219136,107,342,357.84378530000004,74.88,639,0.0003,0.017817829,1060,0.9165586233139038,0.2,-22.589204341173172,123.67972564697266,0.13662109375,0.8463513255119324,440.2683523654938,-0.04139408034097869,,
220000,,,,,,0.0003,0.018589035,1070,0.9165248870849609,0.2,-22.590281307697296,174.0907440185547,0.151025390625,0.8467404991388321,428.34981122016904,-0.0447301686857827,69.95,366.60318593382834
221184,108,341,356.43145216000005,74.91,648,,,,,,,,,,,,,
223232,109,340,349.53663114000005,73.76,654,0.0003,0.01913937,1080,0.9156453013420105,0.2,-22.581970405578613,160.42820739746094,0.143701171875,0.8527967482805252,389.9323457717895,-0.04441879817022709,,
225000,,,,,,0.0003,0.020307567,1090,0.9155724048614502,0.2,-22.573474699258803,134.6480712890625,0.170068359375,0.8961290344595909,316.28204946517945,-0.04759494345926214,68.35,358.6845526268706
225280,110,339,339.57624437,71.37,663,,,,,,,,,,,,,
227328,111,339,333.93940108000004,70.23,670,0.0003,0.01971754,1100,0.9156917333602905,0.2,-22.575273090600966,174.3010711669922,0.155712890625,0.8748224526643753,393.756502199173,-0.04550536654132884,,
229376,112,339,343.11070571000005,71.38,675,0.0003,0.019317783,1110,0.9156249761581421,0.2,-22.57331834435463,111.20609283447266,0.155517578125,0.8936226144433022,326.8389054298401,-0.04472767351835501,,
230000,,,,,,0.0003,0.019877287,1120,0.9149210453033447,0.2,-22.567965656518936,146.74862670898438,0.160888671875,0.897371731698513,278.0711298704147,-0.044060531380819154,62.25,330.51377883031967
231424,113,338,345.01174227999996,71.55,683,,,,,,,,,,,,,
233472,114,338,337.9372498300001,69.25,689,0.0003,0.022847164,1130,0.9142225980758667,0.2,-22.55392579436302,118.1415023803711,0.153173828125,0.8754903301596642,338.152899646759,-0.04551293964905199,,
235000,,,,,,0.0003,0.021399751,1140,0.9134553670883179,0.2,-22.539755111932756,94.46051025390625,0.17373046875,0.9031780734658241,288.9953342914581,-0.04836662514717318,70.75,372.3099714189768
235520,115,337,348.7802747999999,71.57,698,,,,,,,,,,,,,
237568,116,336,350.24083841,72.59,705,0.0003,0.020747744,1150,0.9126539826393127,0.2,-22.522428452968597,106.99241638183594,0.17060546875,0.8836240842938423,304.3087746143341,-0.04843331997399218,,
239616,117,337,352.74980542000003,73.29,710,0.0003,0.019216303,1160,0.9115092754364014,0.2,-22.50421998500824,163.8011016845703,0.15263671875,0.8652391582727432,381.7393682956696,-0.04170822860323824,,
240000,,,,,,0.0003,0.019444088,1170,0.9107668399810791,0.2,-22.486055028438567,111.79705047607422,0.167822265625,0.8624358475208282,378.9153025150299,-0.043705226795282215,67.9,359.7411089576781
241664,118,336,369.91536070999996,76.68,718,,,,,,,,,,,,,
243712,119,336,364.29452791000006,75.63,724,0.0003,0.019272227,1180,0.9091593027114868,0.2,-22.460522103309632,157.87904357910156,0.14326171875,0.891768679022789,339.798158121109,-0.04256247033481486,,
