time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
164,16676,22.02,37.715187410000006,101,764,16563,0.4837124801200369,0.001,-16.051716284318402,,
164,16763,22.01,37.70562632,101,768,16651,0.5967509082772515,0.001,-15.863798835060813,,
164,16851,22.0,37.67382847,102,772,16738,0.5396641099994833,0.001,-15.715499184348367,,
164,16939,22.03,37.720896110000005,102,776,16826,0.5193258957429365,0.001,-15.939835288307883,,
164,17028,22.03,37.71937845,103,780,16914,0.5493825427863909,0.001,-16.071447372436523,,
164,17116,22.03,37.730454640000005,103,784,17004,0.5000807085762853,0.001,-16.01139243443807,,
164,17203,22.01,37.70061388,104,788,17090,0.5951925047806331,0.001,-16.55058305913752,,
164,17289,21.98,37.65836497,104,792,17177,0.4966831586577676,0.001,-15.985407742587002,,
164,17376,21.98,37.65800731,105,796,17263,0.5673564303488958,0.001,-16.106916427612305,,
164,17465,21.99,37.678104090000005,106,800,17352,0.5360984368757769,0.001,-15.699694633483887,,
,17500,,,,,17395,0.5796343953836531,0.001,-15.914729499816895,22.05,37.899296537041664
164,17554,22.0,37.7078094,106,804,17441,0.7174132686594258,0.001,-15.600828604264693,,
164,17642,22.0,37.70241242,107,808,17530,0.5862032676284964,0.001,-16.437728188254617,,
164,17729,21.98,37.670523970000005,107,812,17616,0.6994237845594232,0.001,-16.152436689897016,,
164,17817,21.99,37.68482921,108,816,17704,0.5888246541673486,0.001,-15.661769606850363,,
164,17906,22.0,37.68573598,109,820,17793,0.761195803230459,0.001,-16.068924036892977,,
164,17994,22.01,37.68992769,109,824,17880,0.6266898065805435,0.001,-16.168898409063164,,
164,18082,22.0,37.67514311,109,828,17969,0.5121982991695404,0.001,-15.533052184365012,,
164,18170,22.0,37.66977781,110,832,18057,0.5246651587278947,0.001,-16.122459845109418,,
164,18258,22.01,37.67600966,111,836,18145,0.6516914935339064,0.001,-15.987188625335694,,
164,18346,22.02,37.69701615,111,840,18233,0.5495312159711664,0.001,-16.632991790771484,,
164,18435,22.02,37.692288530000006,112,844,18322,0.5077831298112869,0.001,-16.229284980080344,,
164,18524,22.03,37.71819357,112,848,18410,0.5232191018082879,0.001,-16.56939801302823,,
164,18613,22.04,37.745977319999994,113,852,18499,0.9754819138483568,0.001,-15.650677334178578,,
164,18700,22.02,37.720482929999996,113,856,18587,1.0864541360310145,0.001,-16.535016822814942,,
164,18740,21.53,36.644027099999995,114,860,18643,0.6493749171495438,0.001,-16.548240661621094,,
164,18764,20.88,35.211234399999995,114,864,18667,0.7447277208169302,0.001,-21.406833012898762,,
164,18788,20.25,33.8040708,114,868,18691,10.746118207772573,0.001,-20.70827039082845,,
164,18812,19.61,32.394223170000004,114,872,18715,16.279932538668316,0.001,-23.59698232014974,,
164,18836,18.97,30.969027339999997,114,876,18739,9.295857469240824,0.001,-18.128122965494793,,
164,18860,18.32,29.531122739999997,114,880,18763,7.716671387354533,0.001,-23.19702084859212,,
164,18884,17.68,28.103835460000006,114,884,18787,8.682816425959269,0.001,-23.012521107991535,,
164,18908,17.05,26.699941589999995,115,888,18811,7.617455959320068,0.001,-21.563392639160156,,
164,18932,16.43,25.304690460000003,115,892,18835,3.012761970361074,0.001,-19.704715092976887,,
164,18956,15.8,23.89933574,115,896,18859,3.9309525887171426,0.001,-23.48657735188802,,
164,18980,15.15,22.459416299999997,115,900,18883,3.745174686113993,0.001,-21.50259780883789,,
164,19004,14.5,21.016236269999993,115,904,18907,2.8442325989405313,0.001,-21.129727045694988,,
164,19028,13.86,19.602327289999998,115,908,18931,2.7721900145212808,0.001,-21.133228937784832,,
164,19052,13.23,18.204175629999998,116,912,18955,2.8985594511032104,0.001,-20.035210291544598,,
164,19076,12.59,16.78504404,116,916,18979,1.8298814694086711,0.001,-19.913131713867188,,
164,19100,11.94,15.355933740000003,116,920,19003,2.7727173368136087,0.001,-20.68201510111491,,
164,19124,11.3,13.93856327,116,924,19027,2.198838194211324,0.001,-19.786128997802734,,
164,19148,10.66,12.51700929,116,928,19051,1.6123919089635212,0.001,-19.97987937927246,,
164,19172,10.02,11.096914479999999,116,932,19075,2.0734877983729043,0.001,-19.226547241210938,,
164,19196,9.38,9.68423195,116,936,19099,1.7089989185333252,0.001,-19.3458989461263,,
164,19220,8.74,8.258535680000001,116,940,19123,1.2624155580997467,0.001,-19.757545471191406,,
164,19244,8.09,6.818396330000001,117,944,19147,1.6234599351882935,0.001,-17.338869094848633,,
164,19268,7.44,5.37406578,117,948,19171,1.236977795759837,0.001,-18.96734555562337,,
164,19292,6.79,3.932267280000001,117,952,19195,1.562830885251363,0.001,-17.94200897216797,,
164,19316,6.16,2.5239915,117,956,19219,1.6390551328659058,0.001,-17.908554712931316,,
164,19340,6.0,2.1618234299999997,117,960,19243,1.3730534712473552,0.001,-17.599105834960938,,
164,19364,6.0,2.16247452,117,964,19267,1.252234399318695,0.001,-18.262120564778645,,
164,19388,6.0,2.16261067,117,968,19291,1.1156559387842815,0.001,-18.52578290303548,,
164,19412,6.0,2.1613409100000003,118,972,19315,1.4462266564369202,0.001,-17.367794672648113,,
