rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,0.3601360321044922,0.32461249828338623,594899,595000,0.023193828761577606,,,-92.05107116699219,,0.0003,1462.2878130496015,1000.0
1090.4399602400001,50,-0.49738389253616333,0.38146400451660156,596218,596319,0.023188013583421707,11860,660,-91.68866729736328,993.58,0.0003,,
,,0.9573326110839844,0.4016958475112915,599899,600000,0.02261267602443695,,,-93.02708435058594,,0.0003,1314.7209374168888,1000.0
1104.5655222100002,50,-0.11264246702194214,0.3759227395057678,600218,600319,0.02292858064174652,11943,664,-92.9238510131836,993.58,0.0003,,
1109.45677567,50,0.5794677138328552,1.6264519691467285,604218,604319,0.023097015917301178,12005,668,-96.3503646850586,993.58,0.0003,,
,,0.17958980798721313,1.4518864154815674,604899,605000,0.023327043280005455,,,-95.84229278564453,,0.0003,-55.333335887920114,1000.0
1065.0592198100003,50,-0.4338011145591736,0.5526446104049683,607811,607912,0.023919161409139633,12079,672,-98.25604248046875,989.51,0.0003,,
,,-0.03428327292203903,1.7478644847869873,609899,610000,0.024902919307351112,,,-98.92515563964844,,0.0003,768.237584289012,1000.0
1047.8654295200001,50,-0.26503515243530273,0.8744014501571655,611212,611313,0.024234026670455933,12153,676,-98.97882080078125,983.52,0.0003,,
,,-0.11560586094856262,1.015173077583313,614899,615000,0.019236983731389046,,,-99.42581176757812,,0.0003,860.63222278459,1000.0
1043.85529193,50,-0.027950257062911987,1.3768315315246582,615008,615109,0.01932482235133648,12232,680,-100.2390365600586,981.48,0.0003,,
1040.59120606,50,1.1625146865844727,1.0408202409744263,619008,619109,0.02535184472799301,12293,684,-103.38693237304688,981.48,0.0003,,
,,-0.6034912467002869,0.9778271913528442,619899,620000,0.026382381096482277,,,-104.91242980957031,,0.0003,766.6052612765692,1000.0
1037.88712087,50,-0.08683693408966064,0.9596978425979614,623008,623109,0.024047458544373512,12376,688,-103.22479248046875,981.48,0.0003,,
,,0.2545229494571686,0.694548487663269,624899,625000,0.020114801824092865,,,-102.12760925292969,,0.0003,688.9617285086191,951.2
1031.7880404000002,50,-0.6486587524414062,0.4453932046890259,627008,627109,0.02187812514603138,12456,692,-102.72866821289062,981.48,0.0003,,
,,0.49065572023391724,0.4535570442676544,629899,630000,0.02500288374722004,,,-101.79682922363281,,0.0003,980.0839647152403,1000.0
1023.7619474899999,50,-0.7399186491966248,0.7209888696670532,631008,631109,0.025010189041495323,12539,696,-102.30014038085938,981.48,0.0003,,
,,-0.7843877077102661,0.4814383387565613,634899,635000,0.0261082723736763,,,-102.30133056640625,,0.0003,1360.3573130473437,1000.0
1035.9317347699998,50,0.4704377055168152,1.2184232473373413,635008,635109,0.02615915983915329,12622,700,-102.49110412597656,987.9,0.0003,,
1033.1560047400003,50,0.7179244756698608,2.4054791927337646,639008,639109,0.0249891709536314,12684,704,-101.96326446533203,987.9,0.0003,,
,,-0.5974782109260559,0.48045235872268677,639899,640000,0.025210421532392502,,,-101.384765625,,0.0003,1122.5495497215538,1000.0
1037.18602664,50,0.04720035195350647,0.32239246368408203,643008,643109,0.025209451094269753,12766,708,-103.19886779785156,987.9,0.0003,,
,,0.6770169734954834,0.45674964785575867,644899,645000,0.02570926398038864,,,-102.69854736328125,,0.0003,1458.2560284001288,1000.0
1033.81936518,50,0.12954077124595642,0.4862484633922577,646830,646931,0.026453081518411636,12847,712,-102.18408203125,986.12,0.0003,,
,,0.771106481552124,1.0437350273132324,649899,650000,0.023928562179207802,,,-103.18406677246094,,0.0003,1475.3243580769747,1000.0
1037.87774804,50,0.2982601225376129,1.0129907131195068,650830,650931,0.02461240440607071,12928,716,-103.08222961425781,986.12,0.0003,,
1028.63242511,50,-0.02891141176223755,1.2220252752304077,654042,654143,0.027709130197763443,12979,720,-104.31332397460938,978.24,0.0003,,
,,-0.9872713088989258,1.5475879907608032,654899,655000,0.028643464669585228,,,-105.07881164550781,,0.0003,1523.962590594776,1000.0
1026.04336424,50,-0.6510987281799316,1.0390195846557617,658042,658143,0.03170137479901314,13064,724,-106.43650817871094,978.24,0.0003,,
,,-0.019862577319145203,1.4948923587799072,659899,660000,0.03015201725065708,,,-105.9433364868164,,0.0003,1121.3960619108752,1000.0
1011.83422753,50,-0.7272523641586304,0.8795328736305237,661697,661798,0.02945345640182495,13143,728,-107.15914916992188,974.79,0.0003,,
,,-0.25554847717285156,1.0312761068344116,664899,665000,0.027468809857964516,,,-107.99243927001953,,0.0003,1667.0215922882314,999.5
996.0305776900001,50,0.3355976343154907,0.6555973291397095,665697,665798,0.028483973816037178,13229,732,-108.91738891601562,974.79,0.0003,,
992.5507259899999,50,0.3503183126449585,0.7796742916107178,669697,669798,0.027279561385512352,13293,736,-108.88896942138672,974.79,0.0003,,
,,1.0099451541900635,2.492464542388916,669899,670000,0.027165181934833527,,,-107.31942749023438,,0.0003,1606.1322755277156,1000.0
995.21439132,50,-0.2815001606941223,0.8630861043930054,673697,673798,0.028477637097239494,13375,740,-108.62686157226562,974.79,0.0003,,
,,-0.6433057188987732,1.005181074142456,674899,675000,0.028860293328762054,,,-106.70081329345703,,0.0003,1683.8336735386401,1000.0
1003.61132306,50,-0.2693578004837036,0.9379819631576538,677697,677798,0.02956041507422924,13454,744,-109.35993957519531,974.79,0.0003,,
,,-0.43788325786590576,0.7791503667831421,679899,680000,0.028505297377705574,,,-108.69483947753906,,0.0003,1079.523277418688,1000.0
1009.3627199999999,50,0.14979499578475952,0.6367108821868896,681697,681798,0.02910984680056572,13534,748,-110.02760314941406,974.79,0.0003,,
,,-1.0055187940597534,1.168735384941101,684899,685000,0.02956542745232582,,,-109.81231689453125,,0.0003,1782.1499713500962,1000.0
1029.9807021000001,50,-0.2122916579246521,1.6436853408813477,685697,685798,0.029782062396407127,13617,752,-109.4417495727539,974.79,0.0003,,
