time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
964,63.36667346000001,13562,14.0,69,194,0.2979389075189829,13458,-31.485128947666713,0.001,,
968,63.371787010000006,13618,14.0,70,194,0.24099765584937163,13514,-32.06387083871024,0.001,,
972,63.36995954000002,13674,14.0,70,194,0.220233148762158,13570,-31.737291063581193,0.001,,
976,63.371003040000005,13730,14.0,70,194,0.4327578693628311,13626,-31.94969585963658,0.001,,
980,63.36925548999999,13786,14.0,71,194,0.3706501770232405,13682,-32.78672872270857,0.001,,
984,63.371593110000006,13842,14.0,71,193,0.14687599148601294,13738,-32.05494907924107,0.001,,
988,63.370688380000004,13898,14.0,71,193,0.5116584178592477,13794,-31.672488076346262,0.001,,
992,63.372344749999996,13954,14.0,71,193,0.30772408417293,13850,-32.11932127816336,0.001,,
996,63.38084206999999,14010,14.0,72,193,0.15530615885342872,13906,-31.491261890956334,0.001,,
1000,63.38357655,14066,14.0,72,194,0.2992605540369238,13962,-31.414550508771622,0.001,,
1004,63.38407527,14122,14.0,72,194,0.2762614879757166,14018,-31.068366731916154,0.001,,
1008,63.38200930999999,14178,14.0,73,194,0.4402266485350473,14074,-31.720455169677734,0.001,,
1012,63.38188614,14234,14.0,73,194,0.15418979498956883,14130,-31.921488898141043,0.001,,
1016,63.37924018,14290,14.0,73,194,0.1101151986845902,14186,-31.921798978533065,0.001,,
1020,63.38245504,14346,14.0,73,194,0.22119805682450533,14242,-31.41440691266741,0.001,,
1024,63.377774519999996,14402,14.0,74,194,0.29028029473764555,14298,-31.318258830479213,0.001,,
1028,63.37693163000001,14458,14.0,74,194,0.19523983475353038,14354,-33.10815565926688,0.001,,
1032,63.37955112,14514,14.0,74,194,0.12866960519126483,14410,-32.86242457798549,0.001,,
1036,63.383095510000004,14570,14.0,75,194,0.13475815499467508,14466,-32.48174912588937,0.001,,
1040,63.38590354,14626,14.0,75,194,0.18521759286522865,14522,-33.11538396562849,0.001,,
1044,63.380085449999996,14682,14.0,75,194,0.14896203178380216,14578,-33.42774091448103,0.001,,
1048,63.381174630000004,14738,14.0,75,194,0.14756374273981368,14634,-32.92569269452776,0.001,,
1052,63.38391381,14794,14.0,76,194,0.2379733876192144,14690,-31.124214717320033,0.001,,
1056,63.38301040000001,14850,14.0,76,194,0.2514448847089495,14746,-32.6344484601702,0.001,,
1060,63.38198883000001,14906,14.0,76,194,0.08066120796969958,14802,-32.509826115199495,0.001,,
1064,63.38661664999999,14962,14.0,77,194,0.12902057703052247,14858,-33.23294748578753,0.001,,
,,15000,,,,0.08065093175641128,14900,-31.956343787057058,0.001,14.0,63.383593785762784
1068,63.381670189999994,15018,14.0,77,193,0.13545097610247986,14914,-32.900419507707866,0.001,,
1072,63.38086479999999,15074,14.0,77,193,0.07042278189744268,14970,-32.76115962437221,0.001,,
1076,63.380705,15130,14.0,78,193,0.09419566233243261,15026,-32.395194734845845,0.001,,
1080,63.38109309000001,15186,14.0,78,193,0.11165528185665607,15082,-31.929678235735214,0.001,,
1084,63.37760576999998,15242,14.0,78,193,0.09971469507685729,15138,-31.82773917061942,0.001,,
1088,63.37899032999999,15298,14.0,79,193,0.18037836705999716,15194,-32.32587569100516,0.001,,
1092,63.381911769999995,15354,14.0,79,193,0.08782123907336167,15250,-31.38339642116002,0.001,,
1096,63.382078760000006,15410,14.0,79,193,0.14077326229640416,15306,-32.58751514979771,0.001,,
1100,63.38242800000001,15466,14.0,79,193,0.31624167279473375,15362,-31.828299931117467,0.001,,
1104,63.38121692,15522,14.0,80,193,0.2793126417590039,15418,-32.185293197631836,0.001,,
1108,63.37995964000001,15578,14.0,80,193,0.38661734546933857,15474,-33.32362692696707,0.001,,
1112,63.37912011000001,15634,14.0,80,193,0.09354768467268773,15530,-32.99652780805315,0.001,,
1116,63.37974201000001,15690,14.0,81,193,0.2778052905840533,15586,-32.11139488220215,0.001,,
1120,63.37846377999999,15746,14.0,81,193,0.10877169668674469,15642,-31.603885650634766,0.001,,
1124,63.38053573000001,15802,14.0,81,193,0.20012473900403296,15698,-33.66592516217913,0.001,,
