time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
104740,9348,16.52,1381,75,18.88007401,1.3177437782287598,-0.03471049666404724,104639,0.020899539813399315,-5.412658214569092,0.0003,,
104815,9352,16.52,1382,75,19.0015129,1.7442253828048706,-1.9788665771484375,104714,0.02083035744726658,-5.644092559814453,0.0003,,
104866,9356,16.55,1383,75,19.184026030000002,1.4883091449737549,-0.4750264883041382,104765,0.02086442895233631,-5.834896087646484,0.0003,,
104949,9360,16.59,1384,75,19.350733870000003,1.590749740600586,-0.22884422540664673,104848,0.020779646933078766,-6.0347747802734375,0.0003,,
105000,,,,,,1.3174560070037842,-2.0952327251434326,104899,0.020672300830483437,-5.77030086517334,0.0003,21.266857895068824,17.95
105032,9364,16.97,1386,75,19.687081139999997,1.4505417346954346,-0.08506011962890625,104931,0.020638592541217804,-5.501540184020996,0.0003,,
105110,9368,16.9,1387,75,19.39169249,1.484474539756775,2.878427505493164,105009,0.02074318192899227,-5.790899753570557,0.0003,,
105182,9372,17.13,1388,75,19.96701739,1.4580132961273193,0.40410053730010986,105081,0.020853593945503235,-5.595510482788086,0.0003,,
105250,9376,17.16,1389,75,19.802504329999998,1.4014008045196533,1.7013758420944214,105149,0.02082947827875614,-6.201420307159424,0.0003,,
105306,9380,16.94,1390,75,19.478872109999998,1.404033899307251,3.4950575828552246,105205,0.02092823013663292,-6.351724624633789,0.0003,,
105362,9384,16.86,1390,75,19.32660948,1.2961657047271729,1.0238350629806519,105261,0.020885521546006203,-6.371916770935059,0.0003,,
105427,9388,16.87,1391,75,19.34286122,1.2985310554504395,-1.5516610145568848,105326,0.020899560302495956,-5.814582824707031,0.0003,,
105497,9392,16.86,1392,75,19.5316665,1.5057281255722046,1.9362189769744873,105396,0.020751848816871643,-6.066720008850098,0.0003,,
