rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,,,89000,,,0.001,88028,3.410299201101065,-75.33593971252441,1000.0,1000.0
,,,90000,,,0.001,89028,2.63417543181777,-75.79806410217284,1000.0,1000.0
,,,91000,,,0.001,90028,1.6031330604180694,-76.15098236083985,1000.0,1000.0
,,,92000,,,0.001,91028,2.458520654037595,-76.54792419433593,1000.0,1000.0
750.62,752,830,92127,750.62,110,,,,,,
,,,93000,,,0.001,92355,4.450387723948977,-76.8053112381075,1000.0,1000.0
,,,94000,,,0.001,93355,3.770360604137182,-76.87543060302734,1000.0,1000.0
,,,95000,,,0.001,94355,4.439278983384371,-77.32920378112793,1000.0,1000.0
778.07,756,866,95454,778.07,110,,,,,,
,,,96000,,,0.001,95355,4.5371416714340445,-77.81344412231445,1000.0,1000.0
,,,97000,,,0.001,96355,3.336842559233308,-78.21087913513183,1000.0,1000.0
,,,98000,,,0.001,97355,5.209409867942333,-78.40699592590332,1000.0,1000.0
803.93,760,908,98698,803.93,108,0.001,98355,8.102098532944918,-78.52930535888672,,
,,,99000,,,0.001,98780,6.603277239516295,-78.91687674050803,333.4,333.4
808.05,764,917,99677,808.05,108,0.001,99367,9.35015036518337,-78.47386786773914,,
,,,100000,,,0.001,99798,11.137867944619872,-78.33569280450995,194.3,194.3
,,,101000,,,0.001,99994,14.203894294646322,-78.17910159364038,1000.0,1000.0
818.97,768,933,101321,818.97,108,0.001,100994,9.630220885753632,-78.44900215148925,,
,,,102000,,,0.001,101551,6.473849459440875,-78.43235667158918,1000.0,1000.0
,,,103000,,,0.001,102551,5.508173764705658,-78.35025326538086,1000.0,1000.0
,,,104000,,,0.001,103551,8.164466167002915,-78.28541949462891,1000.0,1000.0
846.33,772,960,104650,846.33,108,,,,,,
,,,105000,,,0.001,104551,7.885625345766544,-78.15327032470704,1000.0,1000.0
,,,106000,,,0.001,105551,6.591937464296818,-78.19764024353027,1000.0,1000.0
,,,107000,,,0.001,106551,5.8542572245895865,-78.61561125183106,1000.0,1000.0
,,,108000,,,0.001,107551,10.524519957572222,-78.82329081726074,1000.0,1000.0
878.05,776,1002,108650,878.05,108,,,,,,
,,,109000,,,0.001,108551,9.357853076457978,-78.83809759521485,1000.0,1000.0
,,,110000,,,0.001,109551,8.01104020345211,-78.93921333312989,1000.0,1000.0
,,,111000,,,0.001,110551,8.862550353467464,-78.98354786682128,1000.0,1000.0
,,,112000,,,0.001,111551,7.428900736838579,-79.02989082336425,1000.0,1000.0
903.8,780,1046,112650,903.8,107,,,,,,
,,,113000,,,0.001,112551,8.33089983922243,-78.97408656311035,1000.0,1000.0
,,,114000,,,0.001,113551,7.926155724883079,-79.20003016662598,1000.0,1000.0
,,,115000,,,0.001,114551,10.220112354040145,-79.36857275390625,1000.0,1000.0
,,,116000,,,0.001,115551,8.736544253766537,-79.4789810180664,1000.0,1000.0
912.24,784,1092,116650,912.24,106,,,,,,
,,,117000,,,0.001,116551,3.4519068089574576,-79.83598376464843,1000.0,1000.0
,,,118000,,,0.001,117551,7.464178452581168,-79.84147943115235,1000.0,1000.0
,,,119000,,,0.001,118551,9.067409936487675,-79.82790882873535,1000.0,1000.0
,,,120000,,,0.001,119551,7.891343208730221,-79.74232307434082,1000.0,1000.0
920.51,788,1135,120650,920.51,106,,,,,,
,,,121000,,,0.001,120551,6.982727675408125,-80.1505782623291,1000.0,1000.0
,,,122000,,,0.001,121551,4.981520522087813,-80.32408999633789,1000.0,1000.0
,,,123000,,,0.001,122551,4.308781718581915,-80.55816734313964,1000.0,1000.0
,,,124000,,,0.001,123551,10.408406157910823,-80.68332791137695,1000.0,1000.0
920.51,792,1179,124650,920.51,105,,,,,,
,,,125000,,,0.001,124551,10.572093949764968,-80.55820741271972,1000.0,1000.0
,,,126000,,,0.001,125551,17.071552142858504,-80.79379661560058,1000.0,1000.0
,,,127000,,,0.001,126551,19.10367086660862,-80.88087138366699,1000.0,1000.0
,,,128000,,,0.001,127551,18.07697263920307,-80.6125906829834,1000.0,1000.0
920.51,796,1224,128650,920.51,105,,,,,,
