train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,314986,0.1168788557574153,,,,315000,-74.65360243225098,,,955.6305817186833,1000.0
0.001,315986,0.06721359182335436,324,992.19,3484,316986,-74.63879112243653,663.49459178,90,,
0.001,319986,0.06501858933083714,,,,320000,-74.69498231506347,,,946.8343745291234,1000.0
,,,328,992.19,3532,320986,,664.3142922800001,90,,
0.001,323986,0.12657083905488253,332,992.19,3561,324986,-74.78769146728516,665.39455147,91,,
0.001,324986,0.1642133774664253,,,,325000,-74.77577738952637,,,923.9513272166253,1000.0
0.001,327986,0.1745557869784534,336,992.19,3605,328986,-74.79475944519044,665.9798769399999,91,,
0.001,329986,0.10334100711345673,,,,330000,-74.78831498718262,,,905.4748936414719,1000.0
0.001,331986,0.22449991624988616,340,992.19,3649,332986,-74.79604454040528,666.9710039500001,91,,
0.001,334986,0.08551265801489354,,,,335000,-74.76412271118164,,,917.5607398152351,1000.0
0.001,335986,0.10389603073894978,344,992.19,3695,336986,-74.76267379760742,667.32711847,91,,
0.001,339986,0.09889741469919681,,,,340000,-74.80897703552246,,,929.683292990923,1000.0
,,,348,992.19,3741,340986,,667.4611918100001,91,,
0.001,343986,0.0824129497744143,352,992.19,3772,344986,-74.88035975646973,667.9065974100001,91,,
0.001,344986,0.0770031708534807,,,,345000,-74.91312356567383,,,934.0187408268451,1000.0
0.001,347986,0.07599678294733167,356,992.19,3818,348986,-74.971994430542,668.47728395,91,,
0.001,349986,0.06831356110423803,,,,350000,-75.01366648864746,,,923.5840071618557,1000.0
0.001,351986,0.060827887374907734,360,992.19,3864,352986,-75.07420738220215,669.2030652299999,91,,
0.001,354986,0.11094515392370521,,,,355000,-75.05370721435547,,,920.8557362616062,1000.0
0.001,355986,0.10614540134556591,364,992.19,3909,356986,-75.02427528381348,668.95489729,91,,
0.001,359986,0.20488373926840722,,,,360000,-75.06418742370606,,,914.6976388454437,1000.0
,,,368,992.19,3955,360986,,668.8215766100001,91,,
0.001,363986,0.1902791979163885,372,992.19,3985,364986,-75.03640910339355,668.66426956,91,,
0.001,364986,0.08597394959628582,,,,365000,-75.01258224487304,,,909.773196977377,1000.0
0.001,367986,0.1517337749451399,376,992.19,4030,368986,-74.96378076171875,668.2556001099999,91,,
0.001,369986,0.09564626497775316,,,,370000,-74.9172924194336,,,871.3755787074566,1000.0
0.001,371986,0.14021323542669414,380,992.19,4076,372986,-74.93915069580078,667.99529353,91,,
0.001,374986,0.058444821778684854,,,,375000,-75.02363452148437,,,917.423823183775,1000.0
0.001,375986,0.0740755863711238,384,1000.0,4122,376986,-75.0390179901123,673.8188059400001,91,,
0.001,379986,0.11469674902968109,,,,380000,-75.0089861755371,,,931.6599651634693,1000.0
,,,388,1000.0,4169,380986,,674.50768456,91,,
0.001,383986,0.23373689633980393,392,1000.0,4202,384986,-74.93327856445312,674.6237083699999,91,,
0.001,384986,0.1845263230241835,,,,385000,-74.90003971862792,,,906.1055438339711,1000.0
0.001,387986,0.1438880849406123,396,1000.0,4251,388986,-74.77915461730957,674.12455805,91,,
0.001,389986,0.07874049309082329,,,,390000,-74.7723090057373,,,946.5384418129921,1000.0
0.001,391986,0.1435220163408667,400,1000.0,4300,392986,-74.79934252929688,673.7523670300001,91,,
0.001,394986,0.10403177223540842,,,,395000,-74.80965550231933,,,890.5374953866005,1000.0
0.001,395986,0.09126689951308072,404,1000.0,4351,396986,-74.78798307800292,673.7080825300001,91,,
0.001,399986,0.09523207844607531,,,,400000,-74.8326343536377,,,935.7099474728108,1000.0
,,,408,1000.0,4399,400986,,674.4230970199999,91,,
0.001,403986,0.05928307164274156,412,1000.0,4432,404986,-74.86296232604981,673.88821644,91,,
0.001,404986,0.1082881593517959,,,,405000,-74.86899423217774,,,892.8213497042656,1000.0
0.001,407911,0.2294376158360392,416,999.25,4479,408911,-74.85242527770995,672.85504088,91,,
0.001,409911,0.07354952467978,,,,410000,-74.8692081451416,,,910.07829387784,1000.0
0.001,411911,0.10242877961136401,420,999.25,4527,412911,-74.89633515930176,672.9595176899999,91,,
0.001,414911,0.07027411203831434,,,,415000,-74.99141526794433,,,918.7643310010433,1000.0
0.001,415911,0.08653838612139225,424,999.25,4576,416911,-74.99480825805664,673.49731952,91,,
0.001,419549,0.27392349200947996,,,,420000,-75.09670711983708,,,902.7464802920819,1000.0
,,,428,995.63,4621,420549,,670.4598186200002,91,,
0.001,422788,0.07398318344106276,432,988.02,4643,423788,-75.09252934949151,665.66542441,91,,
0.001,424788,0.0900614950992167,,,,425000,-75.09998338317871,,,949.4032910406589,1000.0
0.001,426788,0.16630908570997416,436,988.02,4682,427788,-75.07614018249512,665.50380153,91,,
0.001,429788,0.15324231754243373,,,,430000,-74.98167050170899,,,913.1324991643429,1000.0
0.001,430788,0.10725094455480576,440,988.02,4729,431788,-74.96233404541016,665.3330264,91,,
0.001,434788,0.23048363775387407,,,,435000,-74.80449899291992,,,920.9571867525577,1000.0
,,,444,988.02,4775,435788,,665.0187768500001,91,,
0.001,438788,0.09472864638827741,448,988.02,4805,439788,-74.74929383850098,665.3291460100002,91,,
0.001,439788,0.1957602565102279,,,,440000,-74.78091975402832,,,943.7685350477695,1000.0
0.001,442788,0.10886653037741781,452,988.02,4852,443788,-74.76719871520996,665.4156557099999,91,,
0.001,444788,0.15780312965624035,,,,445000,-74.80342684936524,,,911.8537660181522,1000.0
0.001,446788,0.30771489632502197,456,988.02,4897,447788,-74.74177597045899,664.6178551,91,,
0.001,449788,0.07978526290506124,,,,450000,-74.59661015319824,,,948.1052584588527,1000.0
0.001,450788,0.12224513451941312,460,988.02,4941,451788,-74.60243493652344,663.7372626000001,91,,
0.001,454788,0.16732002984359862,,,,455000,-74.48135884094238,,,932.0367205440998,1000.0
,,,464,988.02,4988,455788,,663.16217336,91,,
0.001,458788,0.20947067998722196,468,988.02,5019,459788,-74.59718415832519,664.56403423,91,,
0.001,459788,0.07491726410761476,,,,460000,-74.60077838134765,,,925.4340972125531,1000.0
0.001,462788,0.3068941695149988,472,988.02,5068,463788,-74.62627978515626,664.49034969,91,,
0.001,464788,0.29277674549259247,,,,465000,-74.63382350158692,,,923.3826956450939,1000.0
0.001,466788,0.2106276315636933,476,988.02,5120,467788,-74.56960639953613,664.0274519,91,,
0.001,469788,0.30942243576981127,,,,470000,-74.59356266784668,,,948.5267608582974,1000.0
0.001,470788,0.15044278820976614,480,988.02,5176,471788,-74.56648974609375,664.2255027200001,91,,
0.001,474788,0.31527401705272495,,,,475000,-74.53833178710937,,,888.6673064708709,1000.0
,,,484,988.02,5228,475788,,663.86248657,90,,
0.001,478788,0.07169697213917971,488,988.02,5262,479788,-74.5515664215088,663.85844123,91,,
0.001,479788,0.1619825726598501,,,,480000,-74.58824139404297,,,914.2257358491421,1000.0
0.001,482788,0.4243926991149783,492,988.02,5312,483788,-74.62095704650879,663.35562127,91,,
0.001,484788,0.21412927845865487,,,,485000,-74.37806649780273,,,921.3614081025123,1000.0
0.001,486453,0.20712661888450384,496,984.67,5360,487453,-74.3751958770752,660.65211862,90,,
0.001,489453,0.06998284586332738,,,,490000,-74.49680796813965,,,945.4073872625828,1000.0
0.001,490453,0.39942857661657033,500,980.36,5411,491022,-74.5149642791748,658.68005834,90,,
0.001,494022,0.2841665111090988,,,,495000,-74.60266493225097,,,922.6907384216786,1000.0
,,,504,980.36,5459,495022,,658.91311319,90,,
0.001,498022,0.2033378833401948,508,980.36,5494,499022,-74.56550775146485,658.28891517,90,,
0.001,499022,0.10099071164615453,,,,500000,-74.58011280822754,,,966.1531057834625,1000.0
0.001,502022,0.33583518611826,512,980.36,5545,503022,-74.62752656555176,658.46446643,90,,
0.001,504022,0.23583691376820207,,,,505000,-74.5609298400879,,,930.1916105270386,1000.0
0.001,506022,0.16992810134217143,516,981.11,5595,507022,-74.59967184448242,658.9939783499999,90,,
0.001,509022,0.3051945218890905,,,,510000,-74.56663479614258,,,947.8682100474834,1000.0
0.001,510022,0.29769882327131925,520,981.11,5644,511022,-74.54111782836914,658.4822131999999,90,,
0.001,514022,0.20072405464574694,,,,515000,-74.44159951782227,,,969.2397190213203,1000.0
,,,524,981.11,5693,515022,,658.5190742999999,90,,
0.001,518022,0.21053226683475076,528,984.73,5725,519022,-74.4123984527588,661.5341949999998,90,,
0.001,519022,0.28395128487050536,,,,520000,-74.47293490600586,,,945.6452006042003,1000.0
0.001,522022,0.17912392042018474,532,992.34,5774,523022,-74.49341300964356,665.59513387,90,,
0.001,524022,0.10145029018074274,,,,525000,-74.527646484375,,,964.093682128191,1000.0
0.001,526022,0.19768820553831756,536,992.34,5823,527022,-74.58352272033692,666.2588802,90,,
0.001,529022,0.18011693505197762,,,,530000,-74.63781364440918,,,936.083406829834,1000.0
0.001,530022,0.09395812307856977,540,992.34,5874,531022,-74.68431225585938,667.3435224600001,90,,
0.001,534022,0.38634363983199,,,,535000,-74.75675215148925,,,920.0399527966977,1000.0
,,,544,992.34,5925,535022,,667.9104777599999,90,,
0.001,537943,0.10341274165734649,548,991.55,5958,538943,-74.74427973937988,667.1616985800001,90,,
0.001,539943,0.2911318526081741,,,,540000,-74.71296632385254,,,939.2463405311107,1000.0
0.001,541943,0.23758257223665713,552,991.55,6010,542943,-74.64193946838378,666.4782147899999,90,,
0.001,544943,0.20512361540272833,,,,545000,-74.59368717956544,,,961.8230878055095,1000.0
0.001,545943,0.4076055782176554,556,991.55,6062,546943,-74.5836421661377,667.3190882799998,90,,
0.001,549943,0.21405379317700862,,,,550000,-74.45369319152832,,,943.4410440921783,1000.0
,,,560,991.55,6113,550943,,666.99041178,90,,
0.001,553943,0.1262098391726613,564,991.55,6147,554943,-74.35548500061036,667.67543785,90,,
0.001,554943,0.28434816662594675,,,,555000,-74.37230505371093,,,935.8221928477287,1000.0
0.001,557943,0.1611350943353027,568,991.55,6197,558943,-74.31723594665527,666.8759819800001,90,,
0.001,559943,0.14925456689298153,,,,560000,-74.3705732574463,,,931.9229295909405,1000.0
0.001,561132,0.25548295670375226,572,983.44,6241,562132,-74.38991194152833,661.5747323800001,90,,
0.001,564132,0.2841223072465509,,,,565000,-74.41292114257813,,,891.8209333479405,1000.0
0.001,565132,0.3012123994268477,576,983.44,6295,566132,-74.39670375061036,662.22514383,89,,
0.001,569132,0.31697248202562334,,,,570000,-74.3336689300537,,,961.5444296300411,1000.0
,,,580,983.44,6353,570132,,662.2001241800001,89,,
0.001,572253,0.45572367536649105,584,974.65,6382,573253,-74.27947563171386,655.6846176899999,89,,
0.001,574253,0.21137572975829244,,,,575000,-74.26687077331543,,,938.7973516583443,1000.0
0.001,576253,0.23749230093695223,588,974.65,6437,577253,-74.22538609313965,655.7398415199999,89,,
0.001,579253,0.2511686630025506,,,,580000,-74.4357523803711,,,899.7950314700604,1000.0
0.001,580253,0.26226303912326693,592,974.65,6490,581253,-74.45092388916015,657.64771721,89,,
0.001,584253,0.2214765198342502,,,,585000,-74.59908894348145,,,953.03824467659,1000.0
,,,596,978.0,6544,585253,,661.4238973299999,89,,
0.001,588253,0.36623892093077304,600,982.31,6579,589253,-74.57090579223633,663.2951617300001,89,,
0.001,589253,0.4522613042593002,,,,590000,-74.51369581604004,,,955.2834729850292,1000.0
0.001,592011,0.11333156004175544,604,979.89,6628,593011,-74.53367498779296,661.19696748,89,,
0.001,594011,0.11817766718752683,,,,595000,-74.5798422241211,,,953.9921594619751,1000.0
0.001,596011,0.2772355698123574,608,979.89,6680,597011,-74.62622941589356,661.7885913799998,89,,
0.001,599011,0.23465974747389556,,,,600000,-74.60247030639648,,,937.058834797144,1000.0
0.001,600011,0.15734109944850205,612,979.89,6732,601011,-74.60753306579589,661.48429557,89,,
0.001,604011,0.2405979350656271,,,,605000,-74.74273957824707,,,933.6233026921749,1000.0
,,,616,979.89,6784,605011,,662.00815504,89,,
0.001,608011,0.24337532967887818,620,979.89,6819,609011,-74.93372727966309,662.91862608,89,,
0.001,609011,0.20352734758332372,,,,610000,-74.96300653076172,,,968.2115072190761,1000.0
0.001,612011,0.25672428924962876,624,974.42,6869,612464,-75.17561473083497,659.9052111900002,89,,
0.001,614464,0.4041494614891708,,,,615000,-75.30196075439453,,,956.3984996378422,1000.0
0.001,615464,0.24248528411239387,628,964.84,6918,615506,-75.31968872070313,654.1010913499999,88,,
0.001,618506,0.5109374558515847,632,964.84,6953,619506,-75.2902367401123,655.3956075100001,89,,
0.001,619506,0.2320712123885751,,,,620000,-75.29419650268555,,,968.1588215887547,1000.0
0.001,622506,0.3227453175894916,636,964.84,7007,623506,-75.39920611572266,655.8518795199999,88,,
0.001,624506,0.32748185451328754,,,,625000,-75.46204977416993,,,930.7091766893864,1000.0
0.001,626506,0.26547983681038023,640,964.84,7062,627506,-75.43754272460937,655.5642787900001,88,,
0.001,629506,0.21303734074532985,,,,630000,-75.40855416870117,,,969.2863981306552,1000.0
0.001,630506,0.2592454560659826,644,964.84,7117,631506,-75.41378860473633,656.0474222,88,,
0.001,634506,0.26410085191205146,,,,635000,-75.39841720581055,,,941.5180140554905,1000.0
,,,648,965.63,7169,635506,,657.12619928,88,,
0.001,638506,0.3050947027951479,652,965.63,7205,639506,-75.34208808898926,658.3254600299999,88,,
0.001,639506,0.3047986627444625,,,,640000,-75.33292010498047,,,944.0449811160564,1000.0
0.001,642506,0.4452906500697136,656,965.63,7258,643506,-75.32048587036132,657.85305277,88,,
0.001,644506,0.29427937618270517,,,,645000,-75.11565428161622,,,917.4974187493324,1000.0
0.001,646506,0.31872804843634367,660,965.63,7310,647506,-75.04299075317383,657.98209233,88,,
0.001,649506,0.4398187883868814,,,,650000,-75.03365118408203,,,965.852155482769,1000.0
0.001,650506,0.41871246534958484,664,965.63,7362,651506,-75.10226768493652,658.6100244899999,88,,
0.001,654506,0.33367574610561135,,,,655000,-74.22965730285645,,,828.0682797670364,1000.0
,,,668,965.63,7415,655506,,654.51177825,88,,
0.001,658506,0.2887661251798272,672,973.74,7450,659506,-74.10237216186523,656.4206099500001,88,,
