time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1028,61.977663310000004,14087,13.96,125,111,3.186767475945609,13983,-30.404939651489258,0.001,,
1032,61.96728915,14143,13.96,126,111,2.975653418472835,14039,-29.68375641959054,0.001,,
1036,62.080002599999986,14199,13.95,126,111,1.9667789765766688,14095,-31.47980226789202,0.001,,
1040,61.96465307,14253,13.91,127,111,2.570496235574995,14150,-31.00949614388602,0.001,,
1044,62.02779662999999,14309,13.9,127,111,1.953221619129181,14205,-31.10366657802037,0.001,,
1048,62.08602688999999,14364,13.89,128,111,2.505300445216043,14260,-30.77615465436663,0.001,,
1052,62.09991678,14418,13.87,129,111,1.9750019993100847,14315,-32.201316833496094,0.001,,
1056,62.09549838,14470,13.83,129,111,3.1361820927033057,14367,-30.596821467081707,0.001,,
1060,61.84955739999999,14524,13.79,130,111,2.4543843406897325,14420,-31.34013502938407,0.001,,
1064,61.69415697,14579,13.78,130,111,2.1536922179735623,14475,-30.555150985717773,0.001,,
1068,61.42113467,14632,13.75,130,111,2.029702140734746,14529,-30.850374221801758,0.001,,
1072,61.17002734,14685,13.72,131,111,1.8162371149429908,14582,-30.681161335536412,0.001,,
1076,61.05836794999999,14739,13.7,131,111,1.7563465375166674,14635,-30.302227020263672,0.001,,
1080,60.89963306,14793,13.69,132,111,1.8049520254135132,14690,-30.08093316214425,0.001,,
1084,60.73045651999999,14846,13.67,132,111,1.625325831083151,14742,-31.199118205479213,0.001,,
1088,60.65015134,14901,13.68,133,111,2.16881309236799,14797,-30.113342830113,0.001,,
1092,60.61629852,14956,13.68,133,111,1.6936060877946706,14852,-30.452192578996932,0.001,,
,,15000,,,,1.9768867918423243,14906,-30.195261001586914,0.001,13.25,56.81987258195877
1096,60.44200986,15010,13.66,134,111,,,,,,
1100,60.25389291,15064,13.65,135,111,2.3599326695714677,14961,-30.235720225742885,0.001,,
1104,60.07874519,15118,13.64,135,111,2.0707618731718798,15015,-30.576542854309082,0.001,,
1108,59.8414199,15172,13.62,136,111,1.8090571623582106,15068,-30.74744633265904,0.001,,
1112,59.65502561000001,15226,13.61,136,111,2.1737916128976003,15122,-31.78377342224121,0.001,,
1116,59.62109452,15281,13.61,137,111,2.4370202847889493,15178,-31.218549455915177,0.001,,
1120,59.55277365999999,15335,13.6,137,111,2.1639676644251895,15231,-30.867743810017902,0.001,,
1124,59.31604060000001,15388,13.57,138,111,1.9633174623761858,15285,-30.470299312046595,0.001,,
1128,59.07879780000001,15442,13.55,138,111,2.0984304887907848,15338,-30.97230393545968,0.001,,
1132,58.77038786000001,15494,13.51,139,111,1.828974228638869,15391,-30.299113273620605,0.001,,
