eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
,65536,,32,289,226,50.0,-35.05461813,,,,,,,,,,,
50.0,66000,-24.258163898438216,,,,,,-0.018446592171676456,0.950417272746563,0.189697265625,-0.43061219044029714,0.29569220542907715,320,0.18941041827201843,0.2,0.0003,0.017332159,0.6343119038268924
50.0,67000,-24.258163898438216,,,,,,,,,,,,,,,,
,67584,,33,289,233,50.0,-31.534138780000003,,,,,,,,,,,
50.0,68000,-19.511281057447196,,,,,,-0.01716240963723976,0.9073867648839951,0.193798828125,-0.3339915156364441,0.2822530269622803,330,0.21867474913597107,0.2,0.0003,0.01747797,0.5454437769949436
50.0,69000,-19.511281057447196,,,,,,,,,,,,,,,,
,69632,,34,289,240,50.0,-27.685530300000003,,,,,,,,,,,
50.0,70000,-15.340260419994593,,,,,,-0.01579530461167451,0.8184015154838562,0.219384765625,-0.24269518591463565,0.26931846141815186,340,0.34686750173568726,0.2,0.0003,0.019917332,0.7320747840218246
50.0,71000,-15.340260419994593,,,,,,,,,,,,,,,,
,71680,,35,289,247,50.0,-24.74646028,,,,,,,,,,,
50.0,72000,-12.719911631569266,,,,,,-0.017510577623033895,0.8427463322877884,0.19736328125,-0.15283401161432267,0.2567548453807831,350,0.3133997619152069,0.2,0.0003,0.01738262,0.5295587839558721
50.0,73000,-12.719911631569266,,,,,,,,,,,,,,,,
,73728,,36,289,255,50.0,-21.62667137,,,,,,,,,,,
50.0,74000,-11.42742817401886,,,,,,-0.016915316146332772,0.6714966297149658,0.2177734375,-0.05368191786110401,0.24405279755592346,360,0.2839430868625641,0.2,0.0003,0.019514952,0.7953024842776358
50.0,75000,-11.42742817401886,,,,,,,,,,,,,,,,
,75776,,37,288,262,50.0,-19.25511423,,,,,,,,,,,
50.0,76000,-10.927970375679433,,,,,,-0.01806579253752716,0.7629826068878174,0.195751953125,0.044639472663402555,0.23311570286750793,370,0.2505607604980469,0.2,0.0003,0.019059047,0.5828982014209032
50.0,77000,-10.927970375679433,,,,,,,,,,,,,,,,
,77824,,38,288,269,50.0,-17.35099409,,,,,,,,,,,
50.0,78000,-10.416436536051332,,,,,,-0.01929603693424724,0.8079447746276855,0.2185546875,0.14035567305982113,0.22158145904541016,380,0.22907786071300507,0.2,0.0003,0.01820987,0.5456478487700224
50.0,79000,-10.416436536051332,,,,,,,,,,,,,,,,
,79872,,39,288,277,50.0,-16.1015315,,,,,,,,,,,
50.0,80000,-10.011890359665268,,,,,,-0.015757599819335156,0.7995849996805191,0.185205078125,0.23003331162035465,0.2123730629682541,390,0.2327730357646942,0.2,0.0003,0.017817773,0.6063920767046511
50.0,81000,-10.011890359665268,,,,,,,,,,,,,,,,
,81920,,40,287,284,50.0,-15.356941130000003,,,,,,,,,,,
50.0,82000,-9.868170356086921,,,,,,-0.016358831271645613,0.8426117897033691,0.184375,0.3081157349050045,0.20427939295768738,400,0.2857838571071625,0.2,0.0003,0.0169133,0.5449008657597005
50.0,83000,-9.868170356086921,,,,,,,,,,,,,,,,
,83968,,41,288,291,50.0,-14.636346439999997,,,,,,,,,,,
50.0,84000,-9.837989275855943,,,,,,-0.013043787333299407,0.8559257239103317,0.14560546875,0.3922194577753544,0.19529485702514648,410,0.20324966311454773,0.2,0.0003,0.015503472,0.43913142317906023
50.0,85000,-9.837989275855943,,,,,,,,,,,,,,,,
50.0,86000,-9.837989275855943,,,,,,,,,,,,,,,,
,86016,,42,287,299,50.0,-14.057718609999997,,,,,,,,,,,
50.0,87000,-9.72894392577,,,,,,-0.012033604973112233,0.8395626544952393,0.163525390625,0.4690126899629831,0.18902912735939026,420,0.17998884618282318,0.2,0.0003,0.015279446,0.46851748544722793
50.0,88000,-9.72894392577,,,,,,,,,,,,,,,,
,88064,,43,287,306,50.0,-13.378018329999998,,,,,,,,,,,
50.0,89000,-9.747213958902284,,,,,,-0.006759612611494959,0.8495183736085892,0.136181640625,0.5415974631905556,0.18152855336666107,430,0.14104633033275604,0.2,0.0003,0.013982294,0.3892638825811446
50.0,90000,-9.747213958902284,,,,,,,,,,,,,,,,
,90112,,44,286,314,50.0,-12.91221339,,,,,,,,,,,
50.0,91000,-9.72449882151559,,,,,,-0.006351483197067864,0.8905334174633026,0.124609375,0.625811392813921,0.17371037602424622,440,0.1321549117565155,0.2,0.0003,0.012626136,0.2649985821917653
50.0,92000,-9.72449882151559,,,,,,,,,,,,,,,,
,92160,,45,286,321,50.0,-12.927790629999997,,,,,,,,,,,
50.0,93000,-9.717460461240261,,,,,,-0.008357666502706706,0.8734811693429947,0.123681640625,0.700661688297987,0.1680748462677002,450,0.12807434797286987,0.2,0.0003,0.010551973,0.27066505448892714
50.0,94000,-9.717460461240261,,,,,,,,,,,,,,,,
,94208,,46,286,329,50.0,-12.750187129999999,,,,,,,,,,,
50.0,95000,-9.779742266982794,,,,,,-0.00526824971602764,0.876037023961544,0.16435546875,0.7648137226700783,0.1625438928604126,460,0.09053906798362732,0.2,0.0003,0.01408584,0.24834330333396792
50.0,96000,-9.779742266982794,,,,,,,,,,,,,,,,
,96256,,47,285,337,50.0,-12.19178325,,,,,,,,,,,
50.0,97000,-9.82152880690992,,,,,,-0.008000273231300526,0.8746931403875351,0.151513671875,0.8343377437442541,0.1574617624282837,470,0.09117575734853745,0.2,0.0003,0.011878299,0.2279427973087877
50.0,98000,-9.82152880690992,,,,,,,,,,,,,,,,
,98304,,48,285,344,50.0,-12.174232860000002,,,,,,,,,,,
50.0,99000,-9.807942831516266,,,,,,-0.0031105356640182434,0.9212994948029518,0.12587890625,0.8983839314430953,0.15188097953796387,480,0.042595017701387405,0.2,0.0003,0.014934139,0.1693729653954506
50.0,100000,-9.807942831516266,,,,,,,,,,,,,,,,
,100352,,49,285,351,50.0,-11.91344515,,,,,,,,,,,
50.0,101000,-9.749092581681907,,,,,,-0.004273410009045619,0.894578292965889,0.131982421875,0.9630167730152607,0.14775019884109497,490,0.056633517146110535,0.2,0.0003,0.010786521,0.18648467359598725
50.0,102000,-9.749092581681907,,,,,,,,,,,,,,,,
