time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,130000,,,,0.001,-176.36038247132913,45.70507096177854,129449,587.9,1976.2786489248276
847,1012.10603772,130007,1120,153,314.43,,,,,,
854,1030.5481578200001,131216,1124,153,319.02,0.001,-177.59595280544013,30.35106567806668,130779,,
,,132500,,,,0.001,-177.35500782292064,57.145455803914636,131455,690.7,2329.382242298126
877,1099.2453076000002,133967,1128,152,338.57,0.001,-180.0028456941657,43.291218447029046,132891,,
,,135000,,,,0.001,-181.34358240763348,41.69024726360458,134543,819.95,2667.6032246083023
902,1130.7982451199998,135931,1132,150,347.49,0.001,-181.6863883972168,38.82676220464707,135543,,
909,1142.5334773200002,137341,1136,150,350.86,0.001,-184.31255914027395,31.129892877336435,136853,,
,,137500,,,,0.001,-183.49624641456796,35.475756355266476,137251,419.1,1420.028339806199
924,1161.29572071,138874,1140,150,355.97,0.001,-184.49870262709746,40.206935297944916,138313,,
,,140000,,,,0.001,-185.96820431518555,36.37680646324158,139784,747.5,2401.8131115943193
949,1219.7490063199998,141783,1144,149,374.17,0.001,-186.7238466474745,26.089091696309712,140945,,
,,142500,,,,0.001,-187.0849728752585,24.18480642823612,142033,729.05,2288.224816954136
970,1229.7262386400002,143153,1148,147,378.23,0.001,-188.6432831008713,45.7345894903041,142803,,
977,1223.86466044,144310,1152,147,377.97,0.001,-189.57908701013636,48.49175884105541,143980,,
,,145000,,,,0.001,-189.44027619442699,38.585891568711034,144715,336.2,902.4160382121802
987,1211.6618980499998,145563,1156,147,376.31,0.001,-190.33270047405574,40.29566128169124,144968,,
994,1181.90436157,146627,1160,147,364.43,0.001,-191.21664483206612,40.34540645179846,146310,,
,,147500,,,,0.001,-192.04120932016463,43.89695274057735,147170,463.8,1497.3510565280915
1008,1195.1789007500001,148141,1164,146,367.33,0.001,-192.00989220126363,40.62625849206841,147734,,
1014,1202.29608204,149305,1168,147,368.72,0.001,-193.67107441269349,37.24145801899045,148929,,
,,150000,,,,0.001,-193.6569953964142,44.148763468728134,149849,251.6,860.882437518239
1025,1226.8732534500002,151211,1172,147,376.55,0.001,-193.37574498793657,53.50443559534409,150121,,
,,152500,,,,0.001,-195.60435264341294,48.93055740734826,152368,286.45,998.1676431655884
1042,1249.0046724,153122,1176,146,383.1,0.001,-195.806570633598,30.12615292166975,152645,,
,,155000,,,,0.001,-196.4137123384624,38.63937222541227,154665,536.0,1833.353527712822
1061,1284.8302201800002,155298,1180,146,392.74,,,,,,
