time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
130000,,,,,,630,0.8764726296067238,0.326025390625,-0.057851988708716814,0.2,7.667059258371592,-6.328922665119171,0.0003,0.03603169,0.5311914682388306,3.688791513442993,184.1,136.88945452049376
131072,64,415,-29.778120599999998,315,116.1,,,,,,,,,,,,,
133120,65,419,-25.19023402,316,111.3,640,0.823267787694931,0.3755859375,-0.05931482015294023,0.2,5.697782809659839,-6.184053333103657,0.0003,0.03704842,0.5219945907592773,2.5713815689086914,,
135000,,,,,,650,0.6889467239379883,0.282470703125,-0.061748955713119356,0.2,9.0518128991127,-6.089175114035607,0.0003,0.02772104,0.5158596038818359,3.7786264419555664,288.3,217.26345883756875
135168,66,427,-23.51669898,316,111.07,,,,,,,,,,,,,
137216,67,431,-24.71673831,317,130.72,660,0.8735360354185104,0.40712890625,-0.06619228604104137,0.2,4.606028479710221,-5.965589186549186,0.0003,0.04636569,0.5072942972183228,1.4781612157821655,,
139264,68,436,-20.828089340000005,319,128.17,670,0.8880426660180092,0.416455078125,-0.0700640033435775,0.2,3.4248866230249404,-5.788014963269234,0.0003,0.04578487,0.4963454306125641,1.3941327333450317,,
140000,,,,,,680,0.6584335267543793,0.288916015625,-0.06197082439321093,0.2,4.4945372059941295,-5.651110701262951,0.0003,0.030887827,0.48777925968170166,1.5586321353912354,238.0,184.34542477950453
141312,69,443,-17.003047060000004,318,127.33,,,,,,,,,,,,,
143360,70,447,-11.66125141,320,115.48,690,0.8141341954469681,0.40029296875,-0.07279743260005489,0.2,2.7314912930130957,-5.4781088590621945,0.0003,0.049705535,0.47738951444625854,1.0415680408477783,,
145000,,,,,,700,0.7957252413034439,0.3560546875,-0.06824986986466683,0.2,3.395967448875308,-5.332554653286934,0.0003,0.036050722,0.46836286783218384,1.3318102359771729,351.9,279.6725724093616
145408,71,455,-9.39315732,319,122.66,,,,,,,,,,,,,
147456,72,459,-4.21075201,320,103.11,710,-0.40316689014434814,0.353662109375,-0.06862282739020883,0.2,2.5177057083696126,-5.162358912825584,0.0003,0.041250102,0.45822250843048096,0.7866808772087097,,
149504,73,464,-2.2636416399999995,322,123.43,720,0.7403798997402191,0.401025390625,-0.07224849227641243,0.2,2.082801734469831,-4.985273355245591,0.0003,0.045738716,0.44829732179641724,0.7188157439231873,,
150000,,,,,,730,0.3330264687538147,0.402490234375,-0.07347280560061335,0.2,1.9080843849107623,-4.788113023340702,0.0003,0.04828862,0.4367438852787018,0.8107447624206543,443.0,361.88237704187634
151552,74,472,0.48850375999999984,320,142.5,,,,,,,,,,,,,
153600,75,476,5.31466086,322,135.91,740,0.10438889265060425,0.386083984375,-0.07210415360459592,0.2,1.614378785341978,-4.594648186862469,0.0003,0.049453825,0.4262545704841614,0.480898380279541,,
