rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
63.02,66,564,148,63.02,9946,0.001,9757,-17.98461506817792,0.38424663668548736,,
,,,,,10000,0.001,9847,-18.09918064541287,0.41579542482892673,81.6,81.6
63.25,69,568,147,63.25,10229,0.001,10055,-18.43691958803119,0.3498634059927357,,
62.99,70,572,147,62.99,10464,0.001,10307,-18.868549346923828,0.4613343132659793,,
63.62,72,576,147,63.62,10735,0.001,10561,-19.071555455525715,0.49317931094721185,,
63.9,74,580,147,63.9,10985,0.001,10831,-19.405395235334122,0.5251824108132145,,
,,,,,11000,0.001,10886,-19.689549922943115,0.5348305639895525,54.7,54.7
64.11,76,584,147,64.11,11232,0.001,11069,-19.65284652709961,0.36278173645011713,,
64.23,77,588,147,64.23,11470,0.001,11315,-20.092586320022058,0.5366473494697426,,
64.48,79,592,147,64.48,11704,0.001,11547,-20.577886036464147,0.5001870680012201,,
64.83,80,596,147,64.83,11950,0.001,11780,-20.430574285572973,0.6518678108328267,,
,,,,,12000,0.001,11851,-20.534867586408343,0.39328851960074734,65.6,65.6
64.95,82,600,147,64.95,12200,0.001,12043,-21.150090217590332,0.6496786699863151,,
65.11,84,604,147,65.11,12439,0.001,12284,-21.17994706770953,0.4415433461319155,,
65.21,85,608,147,65.21,12671,0.001,12514,-21.354298909505207,0.5141619638850291,,
65.3,87,612,148,65.3,12916,0.001,12755,-21.636780560016632,0.4259371798252687,,
,,,,,13000,0.001,12881,-22.000043630599976,0.5685084116412327,60.0,60.0
65.48,88,616,148,65.48,13165,0.001,13005,-22.168310991923015,0.489837498938451,,
65.38,90,620,148,65.38,13416,0.001,13255,-22.19034844636917,0.49744094014167783,,
65.72,91,624,148,65.72,13671,0.001,13510,-22.623626093710623,0.7425005847557646,,
66.28,93,628,148,66.28,13957,0.001,13785,-22.86253057943808,0.510907199737188,,
,,,,,14000,0.001,13858,-22.496365572955156,0.5699114536177622,66.5,66.5
66.5,95,632,148,66.5,14234,0.001,14066,-23.25784000597502,0.5235829510291418,,
66.79,97,636,148,66.79,14521,0.001,14351,-23.297820065472578,0.6034942142168681,,
67.35,99,640,148,67.35,14823,0.001,14646,-24.073526329464382,0.7008598034440632,,
,,,,,15000,0.001,14883,-23.95978802128842,0.47428393886460884,79.0,79.0
67.82,101,644,148,67.82,15148,0.001,14964,-23.840305514451934,0.507078343519458,,
68.15,103,648,149,68.15,15523,0.001,15312,-24.696238584296648,0.5274170999263608,,
68.64,106,652,149,68.64,15887,0.001,15696,-25.071470856666565,0.4214899023063481,,
,,,,,16000,0.001,15872,-25.134318442571733,0.5292771552645025,96.2,96.2
68.86,108,656,149,68.86,16258,0.001,16060,-25.406700797702957,0.5839599516693053,,
70.31,111,660,149,70.31,16665,0.001,16454,-25.891557330176944,0.620522956532168,,
,,,,,17000,0.001,16803,-26.257651571500098,0.5630531999744287,117.2,117.2
71.94,114,664,149,71.94,17140,0.001,16919,-26.292853059439825,0.6775396484239348,,
74.47,118,668,149,74.47,17676,0.001,17469,-26.988032392553382,0.5597130614239098,,
,,,,,18000,0.001,17763,-27.594426247381396,0.7112465781229799,201.6,201.6
80.46,123,672,150,80.46,18510,0.001,18150,-27.95963389223272,0.4913183861327442,,
,,,,,19000,0.001,18892,-29.07479178905487,0.6021010185789875,169.9,169.9
84.97,128,676,149,84.97,19232,,,,,,
87.93,132,680,149,87.93,19778,0.001,19569,-30.251641878267613,0.6268365826570627,,
,,,,,20000,0.001,19791,-30.367857388087682,0.6803318896064801,128.3,128.3
,,,,,21000,0.001,19918,-30.468254655599594,0.5715006124081574,916.5,916.5
99.17,144,684,146,99.17,21149,0.001,20918,-31.52836236190796,0.799489796936512,,
,,,,,22000,0.001,21219,-32.32214341844831,0.87559566686492,1000.0,1000.0
,,,,,23000,0.001,22219,-33.29534130477905,0.9225186040401459,1000.0,1000.0
,,,,,24000,0.001,23219,-34.853013408660885,1.0585563524365424,1000.0,1000.0
128.48,167,688,145,128.48,24318,,,,,,
,,,,,25000,0.001,24706,-37.33747615188849,1.0857796534681712,263.6,263.6
,,,,,26000,0.001,25007,-37.81859937032064,0.9763907965433558,1000.0,1000.0
,,,,,27000,0.001,26007,-39.358115264892575,1.161137704849243,1000.0,1000.0
154.02,191,692,141,154.02,27106,,,,,,
,,,,,28000,0.001,27007,-41.2475408782959,1.2040321248024701,1000.0,1000.0
,,,,,29000,0.001,28007,-43.16642441558838,1.113642537921667,1000.0,1000.0
,,,,,30000,0.001,29007,-44.83067034912109,1.2869474744945764,1000.0,1000.0
,,,,,31000,0.001,30007,-46.65543978118897,1.2199591435194015,1000.0,1000.0
