rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
67.09,87,456,178176,325.70548626999994,390,0.9487767219543457,860,0.8528899550437927,0.0003,0.132568359375,0.017536549,0.2,-23.203901565074922,-0.043170039213146084,458.0609990596771,161.97743225097656,,
,,,180000,,,0.9481000304222107,870,0.846433699131012,0.0003,0.126708984375,0.018017793,0.2,-23.19005079269409,-0.04290841947949957,424.45152630805967,143.9244842529297,253.4868838518858,50.05
69.3,88,462,180224,336.34681965000004,389,,,,,,,,,,,,,
70.26,89,467,182272,342.41159175,390,0.9473168849945068,880,0.8537200838327408,0.0003,0.13359375,0.01711379,0.2,-23.176890742778777,-0.04299297551915515,399.02179155349734,152.0164337158203,,
70.11,90,471,184320,339.9596628,390,0.9476025700569153,890,0.8626593798398972,0.0003,0.137646484375,0.016343096,0.2,-23.173011821508407,-0.04436898281564936,408.5745695590973,129.75698852539062,,
,,,185000,,,0.9471166133880615,900,0.8231188654899597,0.0003,0.124853515625,0.016773991,0.2,-23.170248210430145,-0.042356016353005545,514.4712937355041,303.11041259765625,261.52707974612713,51.0
70.65,91,477,186368,341.9823529899999,390,,,,,,,,,,,,,
71.63,92,482,188416,346.23729861999993,390,0.946212112903595,910,0.8567406386137009,0.0003,0.141650390625,0.018601868,0.2,-23.158532571792602,-0.04560999720124528,362.38294410705566,129.47813415527344,,
,,,190000,,,0.9462662935256958,920,0.8758548945188522,0.0003,0.13984375,0.015615974,0.2,-23.1506520986557,-0.044894616102101284,386.5751312732697,193.6783905029297,265.5374519363046,52.1
72.5,93,488,190464,349.42659131999994,389,,,,,,,,,,,,,
71.27,94,493,192512,347.80988632000003,390,0.9466903805732727,930,0.8573018610477448,0.0003,0.1130859375,0.0133430185,0.2,-23.15364001393318,-0.03721127846511081,445.94513473510744,326.83148193359375,,
69.62,95,498,194560,340.21644467,390,0.9462482333183289,940,0.8420037627220154,0.0003,0.1181640625,0.014806692,0.2,-23.153138411045074,-0.04119711686798837,478.7696144104004,166.98464965820312,,
,,,195000,,,0.9454240202903748,950,0.8671603351831436,0.0003,0.128662109375,0.0169706,0.2,-23.14127016067505,-0.041329075145768,376.3743952274323,207.30686950683594,272.7389757230878,52.75
68.62,96,504,196608,337.39279009999996,389,,,,,,,,,,,,,
70.0,97,508,198656,341.41815569999994,390,0.9459182620048523,960,0.865954652428627,0.0003,0.132568359375,0.016374065,0.2,-23.139309924840926,-0.041490301163867115,399.014984703064,88.93272399902344,,
,,,200000,,,0.9453661441802979,970,0.8568043112754822,0.0003,0.128759765625,0.019035209,0.2,-23.13720017671585,-0.041657224152004346,408.32160658836364,206.7600860595703,260.3987186670303,51.35
68.81,98,514,200704,336.52114978,389,,,,,,,,,,,,,
72.24,99,519,202752,352.87760368999994,390,0.944101870059967,980,0.8680002391338348,0.0003,0.145751953125,0.017497003,0.2,-23.119862073659895,-0.04367120772367343,377.127649307251,183.43649291992188,,
71.87,100,524,204800,349.23163111,390,0.9436382055282593,990,0.8544448018074036,0.0003,0.126953125,0.014428962,0.2,-23.10598990917206,-0.04121754234365653,441.67071957588195,159.6376953125,,
,,,205000,,,0.943011999130249,1000,0.8684168010950089,0.0003,0.1109375,0.015459364,0.2,-23.095827567577363,-0.041362910240422934,430.5732320785522,259.9381408691406,296.27182293385266,58.1
73.49,101,530,206848,356.51298007,389,,,,,,,,,,,,,
71.33,102,535,208896,347.19785448000005,390,0.9425265192985535,1010,0.8570174872875214,0.0003,0.126171875,0.015814286,0.2,-23.086097800731658,-0.03972654752724338,399.5671528339386,180.85667419433594,,
,,,210000,,,0.9417383670806885,1020,0.8798056170344353,0.0003,0.159375,0.019475207,0.2,-23.075382441282272,-0.04606421781063545,373.8787217140198,129.8473663330078,285.5557669386268,56.3
68.15,103,541,210944,333.30321484,389,,,,,,,,,,,,,
65.66,104,545,212992,323.68903836000004,390,0.9413543939590454,1030,0.8969062864780426,0.0003,0.159619140625,0.020543255,0.2,-23.06677822470665,-0.048650178741081615,289.2822849750519,75.68215942382812,,
,,,215000,,,0.941378653049469,1040,0.8940431773662567,0.0003,0.128076171875,0.016107704,0.2,-23.060356241464614,-0.04185840535210446,326.91695108413694,110.0099868774414,288.381262399815,54.85
65.92,105,551,215040,321.00059791,389,,,,,,,,,,,,,
66.18,106,556,217088,321.82748404,390,0.9412842988967896,1050,0.8676512986421585,0.0003,0.123974609375,0.016530462,0.2,-23.06065974831581,-0.039622054505161944,400.3565968036652,146.72142028808594,,
67.92,107,561,219136,331.47509517,390,0.9405584931373596,1060,0.8718697726726532,0.0003,0.14873046875,0.021286245,0.2,-23.050027722120284,-0.042669021378969774,337.7834196805954,116.92423248291016,,
