time/fps,time/time_elapsed,train/actor_loss,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
115,343,17.74150634765625,792,39600,50.0,39450,0.060172775909304616,0.001,-5.46290077,,
115,344,17.793110427856444,796,39800,50.0,39650,0.051174294725060465,0.001,-5.518012329999998,,
,,17.869279251098632,,40000,,39850,0.051993879824876785,0.001,,50.0,-6.60918475
115,347,,800,40000,50.0,,,,-5.45906513,,
115,348,17.93059066772461,804,40200,50.0,40050,0.07763319939374924,0.001,-5.375660029999999,,
115,349,17.90638412475586,808,40400,50.0,40250,0.05246292520314455,0.001,-5.4775658599999995,,
,,17.91397201538086,,40500,,40350,0.05606804333627224,0.001,,50.0,-5.9651957
115,351,17.969652252197264,812,40600,50.0,40450,0.051942292265594006,0.001,-5.53227847,,
115,353,17.990694046020508,816,40800,50.0,40650,0.05904995620250702,0.001,-5.58313467,,
,,18.03330192565918,,41000,,40850,0.0554356611520052,0.001,,50.0,-6.4240619
115,355,,820,41000,50.0,,,,-5.619950220000001,,
115,357,18.099344329833983,824,41200,50.0,41050,0.061085871160030364,0.001,-5.676945420000001,,
115,358,18.03821044921875,828,41400,50.0,41250,0.05168532282114029,0.001,-5.768178629999999,,
,,18.137935714721678,,41500,,41350,0.06101155836135149,0.001,,50.0,-6.784893800000001
115,361,18.163167877197267,832,41600,50.0,41450,0.05714652076363563,0.001,-5.7516861399999994,,
115,362,18.159933853149415,836,41800,50.0,41650,0.05200903616845608,0.001,-5.83314834,,
,,18.138608169555663,,42000,,41850,0.05504682295024395,0.001,,50.0,-6.39030105
114,365,,840,42000,50.0,,,,-5.910121600000001,,
115,366,18.209151611328124,844,42200,50.0,42050,0.04884658992290497,0.001,-5.839438490000001,,
115,368,18.268723907470704,848,42400,50.0,42250,0.06231189034879207,0.001,-5.801912339999999,,
,,18.265872344970703,,42500,,42350,0.10229143738746643,0.001,,50.0,-6.3769634
114,370,18.25050178527832,852,42600,50.0,42450,0.056446697115898135,0.001,-5.7614554700000005,,
115,371,18.296554489135744,856,42800,50.0,42650,0.05692226275801659,0.001,-5.7837577399999995,,
,,18.358037185668945,,43000,,42850,0.04933830142021179,0.001,,50.0,-6.31556445
114,374,,860,43000,50.0,,,,-5.677188129999999,,
114,375,18.399504623413087,864,43200,50.0,43050,0.05869983278214932,0.001,-5.772823139999999,,
115,377,18.37418571472168,868,43400,50.0,43250,0.0531002576649189,0.001,-5.699509570000001,,
,,18.410495529174806,,43500,,43350,0.07598852664232254,0.001,,50.0,-5.885981299999999
114,379,18.41676010131836,872,43600,50.0,43450,0.05184133548289537,0.001,-5.743020739999999,,
114,381,18.449395904541017,876,43800,50.0,43650,0.2169033731520176,0.001,-5.7654724,,
,,18.47983917236328,,44000,,43850,0.047792277559638024,0.001,,50.0,-6.7642152
114,383,,880,44000,50.0,,,,-5.866453909999999,,
114,385,18.468011016845704,884,44200,50.0,44050,0.05061598859727383,0.001,-5.83676617,,
