rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_reward,eval/mean_ep_length
,,220000,,,,0.012061724,-13.983266109228135,0.0003,0.2,1070,1309.9287109375,0.7268516719341278,0.9815497398376465,-0.025263448571786286,0.08798828125,1906.0114694595336,1537.185335668549,277.2
929.8333719899998,898,221184,168.65,246,108,,,,,,,,,,,,,
949.26853457,904,223232,171.68,246,109,0.011106278,-13.984168723225594,0.0003,0.2,1080,516.6649169921875,0.7443806827068329,0.9816791415214539,-0.021777383977314456,0.085546875,1970.8216480255128,,
,,225000,,,,0.01604109,-13.985150852799416,0.0003,0.2,1090,930.0940551757812,0.6633788049221039,0.9815896153450012,-0.023896683362545447,0.125537109375,2158.543208312988,1486.62112321835,270.35
952.3399687000002,916,225280,171.74,245,110,,,,,,,,,,,,,
916.2177066700001,922,227328,165.87,246,111,0.0142888,-13.97852065861225,0.0003,0.2,1100,908.0839233398438,0.6223046779632568,0.9803433418273926,-0.021216828864999114,0.094677734375,2318.606088447571,,
903.6517897099999,927,229376,163.72,247,112,0.014192536,-13.969990766048431,0.0003,0.2,1110,657.585205078125,0.7043763995170593,0.9799482226371765,-0.024740683689014987,0.104638671875,2032.4894758224486,,
,,230000,,,,0.016867867,-13.965341472625733,0.0003,0.2,1120,364.8498229980469,0.7770313322544098,0.9794050455093384,-0.022961955433129334,0.12490234375,1793.4810529708861,1753.0216031208633,315.55
894.51073861,941,231424,161.97,245,113,,,,,,,,,,,,,
909.6792627200002,947,233472,164.48,246,114,0.0137285795,-13.95436958670616,0.0003,0.2,1130,708.3585205078125,0.772381529211998,0.9778234362602234,-0.02377205635420978,0.1091796875,1775.963331604004,,
,,235000,,,,0.011064045,-13.94649516940117,0.0003,0.2,1140,525.5476684570312,0.6847672760486603,0.9779674410820007,-0.024500423471909016,0.0935546875,1999.811476135254,1546.5986233148724,284.2
935.1496840000001,961,235520,168.85,245,115,,,,,,,,,,,,,
953.3426479300001,966,237568,171.84,245,116,0.016425582,-13.945950058102607,0.0003,0.2,1150,502.0752258300781,0.7236442565917969,0.9776152968406677,-0.020738857120159084,0.108056640625,1683.1858516693114,,
922.3140133600001,972,239616,166.26,246,117,0.012983892,-13.941175377368927,0.0003,0.2,1160,578.2913818359375,0.7674434185028076,0.9770650863647461,-0.028312018694123253,0.098193359375,1639.5888900756836,,
,,240000,,,,0.016477935,-13.93718867301941,0.0003,0.2,1170,364.50537109375,0.7701710164546967,0.9767941832542419,-0.026301336522737983,0.10986328125,1546.724290752411,1945.5803505793215,349.9
