time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
66,612,56,-3.5208024,3780,5.94,1.0642502307891846,-19.769092559814453,0.0003,3679,-6.6611480712890625,0.33804669976234436,,
66,616,57,-3.5245219100000007,3799,5.85,1.2278096675872803,-19.629714965820312,0.0003,3698,-6.028918743133545,0.33614394068717957,,
66,620,57,-3.502504890000001,3818,5.75,1.4300596714019775,-19.879518508911133,0.0003,3717,-6.163102626800537,0.3342638909816742,,
66,624,57,-3.427932770000001,3840,5.61,1.0948705673217773,-20.086870193481445,0.0003,3739,-5.380109786987305,0.332107812166214,,
66,628,58,-3.4203785399999997,3864,5.66,1.0727919340133667,-19.628437042236328,0.0003,3763,-5.776185035705566,0.32978612184524536,,
66,632,58,-3.3436549700000007,3890,5.69,1.0546337366104126,-19.806774139404297,0.0003,3789,-5.455930709838867,0.32730984687805176,,
66,636,59,-3.33330669,3924,5.74,0.9352529644966125,-20.054161071777344,0.0003,3823,-5.341495037078857,0.32408782839775085,,
66,640,59,-3.30302016,3944,5.75,1.3590593338012695,-20.191783905029297,0.0003,3843,-5.68541955947876,0.3222004175186157,,
66,644,59,-3.3184525099999997,3967,5.79,0.975224494934082,-20.53988265991211,0.0003,3866,-5.607966423034668,0.3200387954711914,,
66,648,60,-3.2636634900000003,3994,5.86,1.081838607788086,-20.749988555908203,0.0003,3893,-5.5009918212890625,0.3175172209739685,,
66,652,60,-3.1927248499999994,4017,5.87,1.1353635787963867,-20.420969009399414,0.0003,3916,-5.685629844665527,0.3153831958770752,,
66,656,60,-3.167352619999999,4037,5.8,0.9062118530273438,-20.85383415222168,0.0003,3936,-5.4132890701293945,0.3135336637496948,,
66,660,61,-3.1877470500000005,4064,5.87,0.8370078206062317,-21.344955444335938,0.0003,3963,-5.3651957511901855,0.3110203146934509,,
66,664,61,-3.2058284999999995,4091,5.88,0.9460635185241699,-21.526878356933594,0.0003,3990,-5.325535774230957,0.30850592255592346,,
66,668,61,-3.1924399699999992,4113,5.85,0.8473199605941772,-21.746034622192383,0.0003,4012,-5.220439434051514,0.30647844076156616,,
66,672,62,-3.189364699999999,4139,5.88,0.9836965799331665,-21.862205505371094,0.0003,4038,-5.1386003494262695,0.30409520864486694,,
66,676,62,-3.1594354699999996,4162,5.89,1.162091612815857,-22.198514938354492,0.0003,4061,-5.1934709548950195,0.301993727684021,,
66,680,63,-3.17053041,4184,5.89,0.8661375045776367,-21.976350784301758,0.0003,4083,-5.012638092041016,0.299996018409729,,
66,684,63,-3.10600988,4218,5.96,0.7898513674736023,-22.350467681884766,0.0003,4117,-5.023070812225342,0.29694002866744995,,
66,688,63,-3.09439874,4239,5.95,0.8257028460502625,-22.329708099365234,0.0003,4138,-4.780409812927246,0.29506757855415344,,
66,692,64,-2.99428864,4264,5.99,0.7662233114242554,-22.233489990234375,0.0003,4163,-4.788252830505371,0.29284852743148804,,
66,696,64,-2.9492115399999994,4284,5.97,0.8491015434265137,-23.009248733520508,0.0003,4183,-4.502802848815918,0.2910884916782379,,
66,700,64,-2.9443532799999996,4307,6.01,0.871986985206604,-22.568470001220703,0.0003,4206,-4.354301452636719,0.2890706956386566,,
66,704,65,-2.8598434899999994,4330,5.95,0.7835516333580017,-23.1015682220459,0.0003,4229,-4.616057395935059,0.28707408905029297,,
66,708,65,-2.7863073699999994,4353,5.98,1.0322608947753906,-23.094846725463867,0.0003,4252,-4.919844150543213,0.285089373588562,,
66,712,66,-2.7960563999999994,4381,6.01,0.7880029082298279,-23.182899475097656,0.0003,4280,-4.620754241943359,0.2826925814151764,,
66,716,66,-2.8557488399999995,4405,6.06,1.058371663093567,-23.517589569091797,0.0003,4304,-4.0031561851501465,0.28066569566726685,,
66,720,66,-2.8595984,4438,6.2,0.7489876747131348,-23.535991668701172,0.0003,4337,-4.402993202209473,0.27789413928985596,,
66,724,67,-2.8317725699999996,4473,6.33,0.6990930438041687,-23.86899185180664,0.0003,4372,-4.065432548522949,0.2749846875667572,,
66,728,67,-2.76412807,4493,6.29,0.7656065225601196,-23.999677658081055,0.0003,4392,-4.428074836730957,0.27334070205688477,,
66,732,68,-2.76662275,4515,6.25,0.9058263301849365,-24.226116180419922,0.0003,4414,-4.236227989196777,0.2715466618537903,,
66,736,68,-2.6951008399999994,4535,6.11,0.8328536748886108,-23.816001892089844,0.0003,4434,-4.322518825531006,0.2699204385280609,,
66,740,68,-2.6577357399999992,4556,6.12,0.549746036529541,-24.075782775878906,0.0003,4455,-4.171012878417969,0.26823288202285767,,
66,744,69,-2.6144238299999993,4575,6.08,0.7247260212898254,-24.274845123291016,0.0003,4474,-3.9136791229248047,0.2667180597782135,,
66,748,69,-2.6247766099999996,4613,6.19,0.6272333860397339,-24.371641159057617,0.0003,4512,-4.325624942779541,0.2637069821357727,,
66,752,69,-2.6494679399999996,4632,6.15,0.7474600076675415,-24.11420440673828,0.0003,4531,-3.957517623901367,0.2622130811214447,,
66,756,70,-2.6616682600000003,4651,6.14,0.5785135626792908,-24.048906326293945,0.0003,4550,-3.8850090503692627,0.2607327103614807,,
66,760,70,-2.6159651299999997,4685,6.21,0.5956093668937683,-24.443876266479492,0.0003,4584,-3.878167152404785,0.25810739398002625,,
66,764,71,-2.5231201899999993,4708,6.17,0.6645712852478027,-24.95421600341797,0.0003,4607,-3.5504918098449707,0.2563467025756836,,
66,768,71,-2.49178753,4735,6.22,0.5212377309799194,-24.86121940612793,0.0003,4634,-3.669677972793579,0.25429627299308777,,
66,772,71,-2.46395579,4760,6.21,0.6412413716316223,-25.18181037902832,0.0003,4659,-3.7525413036346436,0.252410352230072,,
66,776,72,-2.41169024,4784,6.22,0.5567018389701843,-25.131637573242188,0.0003,4683,-3.914360284805298,0.25061339139938354,,
66,780,72,-2.34813088,4808,6.24,0.572018563747406,-25.492610931396484,0.0003,4707,-3.814826011657715,0.24882787466049194,,
66,784,73,-2.2890258699999997,4836,6.18,0.5334373712539673,-25.590112686157227,0.0003,4735,-3.6608359813690186,0.24676074087619781,,
66,788,73,-2.2161968899999995,4858,6.19,0.5622900724411011,-25.238849639892578,0.0003,4757,-3.646653175354004,0.24515144526958466,,
66,792,73,-2.23863936,4878,6.14,0.4586133062839508,-25.586193084716797,0.0003,4777,-3.6342854499816895,0.2437000572681427,,
66,796,74,-2.2575505400000004,4899,6.15,0.5884345173835754,-25.90012550354004,0.0003,4798,-3.7883105278015137,0.2421860694885254,,
66,800,74,-2.26656199,4929,6.22,0.49957966804504395,-25.75539207458496,0.0003,4828,-3.7115566730499268,0.24003447592258453,,
66,804,74,-2.26865224,4954,6.24,0.5777932405471802,-25.522478103637695,0.0003,4853,-4.040981292724609,0.23825739324092865,,
66,808,75,-2.314846,4980,6.27,0.8313584327697754,-25.947925567626953,0.0003,4879,-3.3206369876861572,0.23642419278621674,,
