rollout/ep_len_mean,train/n_updates,time/time_elapsed,time/fps,time/episodes,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,309899,,,,0.015034443698823452,0.0003,,0.11303628236055374,310000,0.48445573449134827,-75.7830581665039,960.1129695971497,1000.0
984.97,310211,7992,38,336,0.015054759569466114,0.0003,892.8476598,0.20765185356140137,310312,0.05808766186237335,-75.60781860351562,,
984.97,314211,8042,39,340,0.015287812799215317,0.0003,894.4721078900001,0.18030470609664917,314312,-0.4604891538619995,-75.35276794433594,,
,314899,,,,0.014781945385038853,0.0003,,0.19006216526031494,315000,0.40369921922683716,-75.99613952636719,935.579206098488,1000.0
984.97,318211,8114,39,344,0.015380563214421272,0.0003,893.4156527099999,0.1333719938993454,318312,1.1277053356170654,-76.22357177734375,,
,319899,,,,0.014624875970184803,0.0003,,0.12589776515960693,320000,0.5164083242416382,-76.26399230957031,956.663014944084,1000.0
984.97,322211,8189,39,348,0.015147223137319088,0.0003,892.4624754199999,0.21074490249156952,322312,-0.003428339958190918,-75.85154724121094,,
,324899,,,,0.01520272996276617,0.0003,,0.16762764751911163,325000,1.3137590885162354,-76.68434143066406,841.6612322004745,901.9
994.5,326211,8262,39,352,0.015554957091808319,0.0003,900.1440218300003,0.1413145214319229,326312,-1.1597644090652466,-76.0269775390625,,
984.63,329224,8305,39,356,0.01503213495016098,0.0003,891.9576467400002,0.17118561267852783,329325,-0.9536811113357544,-76.23756408691406,,
,329899,,,,0.015356549061834812,0.0003,,0.15296980738639832,330000,-0.7087211608886719,-76.67121124267578,958.4862085901201,1000.0
984.63,333224,8381,39,360,0.014910026453435421,0.0003,893.1021449799998,0.168141707777977,333325,0.4863191843032837,-76.98529052734375,,
,334899,,,,0.014610824175179005,0.0003,,0.10630395263433456,335000,-0.19501379132270813,-76.32070922851562,946.0933568536304,1000.0
984.63,337224,8456,39,364,0.014924459159374237,0.0003,894.4742701900001,0.18638025224208832,337325,1.3913315534591675,-75.96826171875,,
,339899,,,,0.015115656889975071,0.0003,,0.13507500290870667,340000,0.11122623085975647,-76.38175964355469,957.2500202509575,1000.0
975.94,340355,8518,39,368,0.015104833990335464,0.0003,886.9010736400003,0.11578202247619629,340456,0.6146305799484253,-76.95740509033203,,
975.94,344355,8576,40,372,0.015866132453083992,0.0003,887.9910080500001,0.16498742997646332,344456,0.08865515887737274,-76.69535064697266,,
,344899,,,,0.015389506705105305,0.0003,,0.11395715177059174,345000,-0.5260398387908936,-76.68740844726562,933.2730096085463,1000.0
975.94,348355,8649,40,376,0.014625252224504948,0.0003,889.5894964099998,0.1275089681148529,348456,1.2088626623153687,-76.74891662597656,,
,349899,,,,0.015070352703332901,0.0003,,0.16962388157844543,350000,-0.22107812762260437,-76.83467864990234,968.3222566286684,1000.0
975.94,352355,8720,40,380,0.014915836043655872,0.0003,893.03176046,0.14122895896434784,352456,1.885995626449585,-77.09550476074219,,
,354899,,,,0.014645330607891083,0.0003,,0.11780625581741333,355000,0.9521608948707581,-77.16567993164062,953.4783558495343,1000.0
975.94,356355,8792,40,384,0.01467959675937891,0.0003,894.7188756999999,0.061307892203330994,356456,-1.1372523307800293,-77.4391098022461,,
,359899,,,,0.013881188817322254,0.0003,,0.21222755312919617,360000,-0.21543607115745544,-77.61744689941406,960.0825147723779,1000.0
975.94,360355,8863,40,388,0.014686331152915955,0.0003,897.5807479999999,0.12288225442171097,360456,-0.7410073280334473,-77.36890411376953,,
981.44,364355,8916,40,392,0.014014202170073986,0.0003,904.43398628,0.12140004336833954,364456,-0.09627891331911087,-78.01295471191406,,
,364899,,,,0.014338887296617031,0.0003,,0.11014646291732788,365000,0.9233071208000183,-78.08177947998047,956.1441964723169,1000.0
981.44,368355,8986,41,396,0.014074018225073814,0.0003,905.0364786299999,0.13616609573364258,368456,-0.8394296169281006,-77.6185531616211,,
,369899,,,,0.014473941177129745,0.0003,,0.13056378066539764,370000,-0.29598307609558105,-78.56897735595703,968.0713315240107,1000.0
981.44,372355,9050,41,400,0.013791789300739765,0.0003,907.0037537100001,0.13661879301071167,372456,-0.19298706948757172,-78.45579528808594,,
,374899,,,,0.01457787211984396,0.0003,,0.09893396496772766,375000,-0.23823195695877075,-78.76425170898438,954.6972535949201,1000.0
981.44,376355,9108,41,404,0.014417450875043869,0.0003,907.3886772099999,0.1993809938430786,376456,-0.9570689797401428,-78.49764251708984,,
,379899,,,,0.013998828828334808,0.0003,,0.16168886423110962,380000,0.7206101417541504,-79.00704956054688,965.8979171236977,1000.0
981.44,380355,9167,41,408,0.014236388728022575,0.0003,909.54158054,0.13635830581188202,380456,-1.5287094116210938,-79.01925659179688,,
981.44,384355,9212,41,412,0.013235731050372124,0.0003,911.8730325099999,0.10131070017814636,384456,0.8787879943847656,-79.3165283203125,,
,384899,,,,0.013827617280185223,0.0003,,0.21605850756168365,385000,1.6197909116744995,-79.12080383300781,970.6952353275381,1000.0
971.7,387381,9261,41,416,0.012557273730635643,0.0003,904.2666731200001,0.2971333861351013,387482,1.9626728296279907,-79.24017333984375,,
,389899,,,,0.01323653757572174,0.0003,,0.1269627809524536,390000,-1.059022307395935,-79.79446411132812,942.1939287375659,1000.0
971.7,391381,9321,41,420,0.013431238941848278,0.0003,906.47851504,0.06472975760698318,391482,0.3026018738746643,-79.90946960449219,,
,394899,,,,0.01351876463741064,0.0003,,0.14830748736858368,395000,-0.22460053861141205,-79.97245788574219,834.4677544360981,902.5
971.7,395381,9380,42,424,0.013537324033677578,0.0003,909.0630745000002,0.1760748028755188,395482,0.8897720575332642,-80.198486328125,,
971.7,399381,9425,42,428,0.014048928394913673,0.0003,911.0301585700003,0.1387307345867157,399482,1.3194935321807861,-80.18998718261719,,
,399899,,,,0.014020746573805809,0.0003,,0.1473854035139084,400000,0.63983154296875,-80.78157806396484,981.8491139461287,1000.0
971.7,403381,9486,42,432,0.013988186605274677,0.0003,916.9027192299999,0.18568293750286102,403482,-0.204680398106575,-80.17288208007812,,
,404899,,,,0.014163091778755188,0.0003,,0.16891233623027802,405000,0.6696418523788452,-80.27955627441406,1065.2527026949451,1000.0
971.7,407381,9550,42,436,0.01545935682952404,0.0003,921.9341381399998,0.15562713146209717,407482,-3.067337989807129,-80.29293823242188,,
,409899,,,,0.014987423084676266,0.0003,,0.31075769662857056,410000,0.10939475893974304,-80.43096923828125,1137.9005001295359,1000.0
971.7,411381,9611,42,440,0.015938296914100647,0.0003,925.0181477499999,0.19602367281913757,411482,0.4063331186771393,-80.58956146240234,,
,414899,,,,0.015444023534655571,0.0003,,0.25144845247268677,415000,-0.4682702422142029,-80.88055419921875,998.8147947048768,1000.0
971.7,415381,9672,42,444,0.015825359150767326,0.0003,931.4376683199998,0.1576533019542694,415482,-0.25044769048690796,-80.92832946777344,,
971.7,419381,9718,43,448,0.015933440998196602,0.0003,937.18661891,0.10524185746908188,419482,-0.13970541954040527,-81.56996154785156,,
,419899,,,,0.015417659655213356,0.0003,,0.3277331292629242,420000,-0.06833790987730026,-81.50247955322266,969.1354251593351,1000.0
971.7,423381,9777,43,452,0.017022961750626564,0.0003,946.8184553000001,0.21898235380649567,423482,-2.729574680328369,-81.90107727050781,,
,424899,,,,0.01719963364303112,0.0003,,0.1849888563156128,425000,-0.0040184855461120605,-82.19868469238281,1148.4163428228348,1000.0
981.57,427381,9839,43,456,0.016114935278892517,0.0003,957.3009661300001,0.26546710729599,427482,1.0215864181518555,-82.53788757324219,,
,429899,,,,0.018446851521730423,0.0003,,0.16414718329906464,430000,0.23483800888061523,-83.05152130126953,1133.9549069244415,1000.0
