time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
188,1222800,6480,60.41902703999999,12.78,96060,0.5984011521706214,1222689,-32.87399196624756,0.001,,
188,1222852,6481,60.50868203000001,12.8,96064,0.741538955615117,1222741,-30.85574213663737,0.001,,
188,1222904,6481,60.556378339999995,12.81,96068,0.7042618141724513,1222793,-31.090017636617024,0.001,,
188,1222952,6481,60.50300231999999,12.8,96072,0.6571882652739683,1222842,-31.335604031880695,0.001,,
188,1223003,6482,60.50490377999999,12.8,96076,0.762044736972222,1222893,-31.549933115641277,0.001,,
188,1223054,6482,60.50953466,12.8,96080,0.6557178182097582,1222943,-31.524077733357746,0.001,,
188,1223104,6482,60.46278292,12.79,96084,0.7448899919788042,1222993,-29.599180539449055,0.001,,
188,1223155,6482,60.50640999,12.8,96088,0.6955342269860781,1223044,-30.906235013689315,0.001,,
188,1223207,6483,60.55113865000001,12.81,96092,0.5382162974430964,1223096,-31.638646262032644,0.001,,
188,1223256,6483,60.45849517,12.79,96096,0.5417678046684998,1223146,-30.239417484828405,0.001,,
188,1223306,6483,60.36050313999999,12.77,96100,0.5566146075725555,1223195,-31.135132789611816,0.001,,
188,1223358,6483,60.35502301999999,12.77,96104,0.6878910798292893,1223247,-30.66870911916097,0.001,,
188,1223409,6484,60.35160461,12.77,96108,0.7501072321946805,1223299,-30.38167158762614,0.001,,
188,1223459,6484,60.25943487000001,12.75,96112,0.6798027828335762,1223348,-31.136778831481934,0.001,,
188,1223511,6484,60.260665329999995,12.75,96116,0.7142000014965351,1223400,-30.749806812831334,0.001,,
188,1223561,6484,60.16775883,12.73,96120,0.5723077803850174,1223450,-32.08595498402914,0.001,,
188,1223611,6485,60.120875109999986,12.72,96124,0.7834806671509376,1223501,-29.144357681274414,0.001,,
188,1223663,6485,60.11942030999999,12.72,96128,0.5333082836407882,1223552,-31.344052723475865,0.001,,
188,1223713,6485,60.0307045,12.7,96132,0.6653849287674978,1223603,-31.506930033365887,0.001,,
188,1223765,6485,60.128057640000016,12.72,96136,0.539391509615458,1223654,-31.26057161603655,0.001,,
188,1223815,6486,60.12765252,12.72,96140,0.7263818704164945,1223705,-31.516960461934406,0.001,,
188,1223866,6486,60.132112989999996,12.72,96144,0.7805379457198657,1223755,-31.949781099955242,0.001,,
188,1223917,6486,60.127665560000004,12.72,96148,0.6843481247241681,1223806,-30.36570930480957,0.001,,
188,1223968,6487,60.08179064000001,12.71,96152,0.5968569975632888,1223857,-29.899595260620117,0.001,,
188,1224019,6487,60.08287274,12.71,96156,0.602365023146073,1223908,-31.81188201904297,0.001,,
188,1224069,6487,59.985220440000006,12.69,96160,0.7981492590445739,1223958,-30.02091407775879,0.001,,
188,1224120,6487,59.94350009,12.68,96164,0.6602083857242877,1224010,-31.65406826564244,0.001,,
188,1224172,6488,59.94179413,12.68,96168,0.542647143969169,1224061,-31.487609545389812,0.001,,
188,1224222,6488,60.03913154999999,12.7,96172,0.5540101459393134,1224112,-30.38766588483538,0.001,,
188,1224274,6488,60.0829386,12.71,96176,0.8571957212228042,1224163,-31.03452777862549,0.001,,
188,1224326,6488,60.12365555000001,12.72,96180,0.7402262521477846,1224215,-29.989189465840656,0.001,,
188,1224377,6489,60.174038089999996,12.73,96184,0.5655511394143105,1224266,-31.484122276306152,0.001,,
188,1224428,6489,60.17581913,12.73,96188,0.7966046233971914,1224317,-30.66116174062093,0.001,,
188,1224480,6489,60.17891908000001,12.73,96192,0.8025174209704766,1224369,-31.709768613179524,0.001,,
188,1224531,6489,60.267713529999995,12.75,96196,0.6100490941451147,1224421,-31.219083468119305,0.001,,
188,1224582,6490,60.317017050000004,12.76,96200,0.6487060573238593,1224472,-31.484708786010742,0.001,,
188,1224634,6490,60.32133074,12.76,96204,0.6097611303512867,1224523,-31.682329177856445,0.001,,
188,1224686,6490,60.37170593999999,12.77,96208,0.7045911286885922,1224575,-30.362745602925617,0.001,,
188,1224736,6490,60.370967269999994,12.77,96212,0.6746844666508528,1224626,-31.190689631870814,0.001,,
188,1224787,6491,60.32069307,12.76,96216,0.5627658367156982,1224676,-32.27046421595982,0.001,,
188,1224838,6491,60.36844777,12.77,96220,0.7235134977560777,1224727,-30.9123051961263,0.001,,
188,1224889,6491,60.41710429,12.78,96224,0.8311626796539013,1224778,-30.941294261387416,0.001,,
188,1224939,6491,60.32230820999999,12.76,96228,0.6707621675271255,1224829,-30.65242354075114,0.001,,
188,1224990,6492,60.36616048999999,12.77,96232,0.6529416155356628,1224880,-30.498762130737305,0.001,,
,1225000,,,,,0.5349516222874323,1224892,-30.65796120961507,0.001,12.65,59.80986139774323
188,1225041,6492,60.320591969999995,12.76,96236,0.7522289879046954,1224930,-30.59939193725586,0.001,,
188,1225092,6492,60.36782563999999,12.77,96240,0.7364417910575867,1224981,-30.92217445373535,0.001,,
188,1225144,6493,60.41861802999999,12.78,96244,0.6863703956970801,1225033,-31.561312039693195,0.001,,
188,1225194,6493,60.37582769999999,12.77,96248,0.6035462386595706,1225083,-31.083697001139324,0.001,,
188,1225244,6493,60.325983539999996,12.76,96252,0.6894137461980184,1225134,-31.61916446685791,0.001,,
188,1225294,6493,60.27562844000001,12.75,96256,0.6336613985208365,1225183,-31.019975980122883,0.001,,
188,1225345,6494,60.319228779999996,12.76,96260,0.5969984668951768,1225234,-30.93346050807408,0.001,,
188,1225396,6494,60.31691283,12.76,96264,0.671262433895698,1225285,-31.115306854248047,0.001,,
188,1225445,6494,60.17844185,12.73,96268,0.6323608228793511,1225335,-30.96165943145752,0.001,,
188,1225497,6494,60.27394159000001,12.75,96272,0.901254300887768,1225386,-30.308587210518972,0.001,,
188,1225549,6495,60.27317969000001,12.75,96276,0.6380353168799326,1225438,-30.906618935721262,0.001,,
188,1225600,6495,60.230238189999994,12.74,96280,0.672867169460425,1225489,-29.842148462931316,0.001,,
188,1225651,6495,60.22571192,12.74,96284,0.632906585931778,1225540,-32.21586963108608,0.001,,
188,1225701,6495,60.178246739999985,12.73,96288,0.6441006259276316,1225591,-30.96626154581706,0.001,,
188,1225752,6496,60.12870535000001,12.72,96292,0.6807520935932795,1225641,-30.84941291809082,0.001,,
188,1225803,6496,60.12968002,12.72,96296,0.6180377999941508,1225692,-31.46829827626546,0.001,,
188,1225854,6496,60.129347839999994,12.72,96300,0.5945271230660952,1225743,-31.3595609664917,0.001,,
188,1225902,6496,59.93723362,12.68,96304,0.7483363151550293,1225792,-30.728053092956543,0.001,,
188,1225953,6497,59.88856329,12.67,96308,0.6164495669878446,1225842,-31.16013526916504,0.001,,
188,1226003,6497,59.890005190000004,12.67,96312,0.7343152600985307,1225893,-31.8684237798055,0.001,,
188,1226055,6497,59.93873759,12.68,96316,0.6570577621459961,1225944,-31.572076525006974,0.001,,
188,1226107,6497,59.98663823,12.69,96320,0.7984939022706106,1225996,-29.559079033987864,0.001,,
188,1226156,6498,59.89384808,12.67,96324,0.6708574042870448,1226046,-31.351677213396346,0.001,,
