time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
688,240.89,98799,143,-270.12483562,532,98621,0.001,-34.39110833627206,1.9165630208121405,,
694,231.51,99938,143,-259.43028975,536,99802,0.001,-34.64699083709717,2.0416387574076653,,
,,100000,,,,99844,0.001,-34.9724364507766,2.2510853012402854,305.71195918243103,1000.0
709,231.39,101098,142,-258.63826502,540,100962,0.001,-35.12131521606445,1.8919020117521286,,
715,240.62,102315,142,-268.68053304,544,102135,0.001,-35.44714624786377,2.0253444657325743,,
718,249.4,103466,144,-278.12032517000006,548,102372,0.001,-35.64640426635742,1.9374695663098935,,
,,105000,,,,104396,0.001,-36.13516426086426,1.9565683801968892,491.09409902729897,1000.0
742,247.85,105533,142,-275.52952632000006,552,105396,0.001,-36.635158378601076,1.8383152385354042,,
748,238.87,106734,142,-265.35683111,556,106607,0.001,-37.54164939091123,2.111661231723325,,
749,238.84,106916,142,-265.13619618,560,106797,0.001,-36.91995366414388,1.7662515915357149,,
756,245.59,109143,144,-272.21237899999994,564,108049,0.001,-37.77860782020971,1.77973452053572,,
,,110000,,,,109316,0.001,-38.15089872609014,1.7814021350249,486.837378721367,1000.0
772,245.45,110410,142,-271.93041740999996,568,,,,,,
783,245.91,111712,142,-272.28932623,572,111561,0.001,-39.09062994851006,1.9569952681146818,,
784,245.52,111940,142,-271.40434695,576,111804,0.001,-39.062795639038086,1.886674193235544,,
785,244.58,112151,142,-270.03937371,580,112016,0.001,-39.20448303222656,1.8701334015319222,,
787,245.74,112677,143,-271.33138250999997,584,112299,0.001,-39.25407155354818,1.920523634323707,,
795,255.17,113933,143,-281.363462,588,113770,0.001,-39.498031204223636,1.9948440402746201,,
796,245.51,114182,143,-270.55706783,592,114064,0.001,-39.46846940782335,2.3770559827486673,,
798,237.43,114479,143,-261.6542224699999,596,114319,0.001,-39.87719837824503,2.1042222453623403,,
,,115000,,,,114636,0.001,-39.7244649887085,1.98572236597538,525.7694173869007,1000.0
810,248.02,115730,142,-272.78060323,600,,,,,,
816,249.22,116228,142,-274.16434161999996,604,115986,0.001,-40.25102554591356,2.208698901600308,,
817,237.09,116409,142,-260.53871857,608,116291,0.001,-40.05713314480252,1.967981133196089,,
819,236.61,117541,143,-260.48500338,612,116447,0.001,-40.89116716384888,2.2103664726018906,,
825,237.76,117870,142,-261.9252219,616,117744,0.001,-40.74032396589007,2.5683108040264675,,
830,249.01,119248,143,-274.19936363,620,118835,0.001,-41.005600929260254,1.9721347490946453,,
,,120000,,,,119154,0.001,-41.09434130191803,2.210535392118472,542.9268164003676,1000.0
852,258.22,121298,142,-284.19937129,624,121175,0.001,-41.64446570587158,2.0766116318106653,,
855,233.04,121844,142,-257.06481834000004,628,121704,0.001,-41.96587371826172,2.0563005793769404,,
861,242.6,123059,142,-267.25923474,632,122817,0.001,-41.87682689319957,2.098465946587649,,
862,233.76,123314,142,-257.98174112,636,123186,0.001,-42.03286566557708,2.091135247989937,,
868,233.19,124417,143,-257.53050337999997,640,124303,0.001,-42.51509463500977,2.2511057579517364,,
,,125000,,,,124323,0.001,-43.09428100585937,1.9525304019451142,523.8279391577765,1000.0
884,231.43,125458,141,-255.13108843,644,125333,0.001,-43.31167268753052,1.7344212391797234,,
885,222.19,125685,141,-245.10493165000003,648,125556,0.001,-43.05105609893799,2.386836073337457,,
886,204.5,125983,142,-226.26491890999995,652,125731,0.001,-42.88901164613921,1.9910785966906055,,
892,204.13,127147,142,-225.67585398,656,126961,0.001,-43.04458537292481,2.2785813261270524,,
895,215.07,128423,143,-237.5389714,660,127329,0.001,-43.355797823737646,1.9947870281689308,,
900,194.53,128596,142,-215.17236971000003,664,128460,0.001,-43.32820472717285,2.0256890535354612,,
906,194.28,129838,143,-214.82421526,668,129699,0.001,-43.620630704439606,2.2378245760232973,,
,,130000,,,,129897,0.001,-43.74665514628092,2.110489191468229,482.99448865694285,1000.0
917,183.2,130032,141,-202.52063540000003,672,,,,,,
919,184.19,130359,141,-203.88744190000006,676,130201,0.001,-43.798136462336004,2.3366771208273396,,
919,184.69,130620,141,-204.46150111999998,680,130366,0.001,-43.572479248046875,2.2519642636179924,,
926,190.95,131772,142,-211.06121095999998,684,131666,0.001,-43.888367988586424,2.3000465718507765,,
928,189.32,132865,143,-209.29946600999995,688,131771,0.001,-44.10212912926307,2.255114992459615,,
937,198.3,134012,142,-219.46610472,692,133819,0.001,-43.098332214355466,2.1946361390027134,,
939,198.3,134309,142,-219.40323729999997,696,134095,0.001,-44.6284854888916,2.15863166676193,,
,,135000,,,,134291,0.001,-44.12220048904419,3.2479559042874504,570.2628539466765,1000.0
950,196.55,135385,142,-217.69722783,700,,,,,,
955,193.29,135557,141,-213.72398330999997,704,135443,0.001,-44.753543090820315,2.987037952740987,,
957,194.44,135853,141,-214.95039806999998,708,135663,0.001,-44.64641197054994,2.4572744614937725,,
958,185.05,136046,141,-204.25615288999995,712,135881,0.001,-45.28959767958697,2.615919663625605,,
959,183.52,136222,141,-202.32519348999998,716,136086,0.001,-44.535110875179896,2.84849519792356,,
960,171.68,136416,142,-189.42379882999998,720,136225,0.001,-44.28096923828125,2.351804280281067,,
966,162.1,137508,142,-179.13343383000003,724,137398,0.001,-44.79814747401646,3.0504004868065437,,
967,158.87,137731,142,-175.59141681,728,137590,0.001,-44.80637155577194,2.7097761034965515,,
973,159.28,138987,142,-175.98411331000003,732,138851,0.001,-45.1726536470301,2.89155796893592,,
974,158.34,139148,142,-174.95888422999997,736,139033,0.001,-45.29781723022461,3.028530571460724,,
976,151.11,139528,142,-167.2497694,740,139399,0.001,-45.191740601151075,3.1298338907574297,,
977,142.69,139727,142,-158.16626348000003,744,139581,0.001,-45.233514240809846,3.0402909318606057,,
978,141.84,139869,142,-157.08778899,748,139749,0.001,-45.130004144484,2.8878318955821376,,
,,140000,,,,139839,0.001,-45.13868761062622,2.6895967554301023,618.9503124308773,1000.0
993,152.11,141194,142,-168.29565294,752,140897,0.001,-44.91159018154802,2.9638616689320267,,
1000,152.43,142390,142,-168.80220934000002,756,142274,0.001,-45.442158164978025,3.1282237462997435,,
1001,142.37,142660,142,-158.07972526999998,760,142461,0.001,-45.415417129929004,3.105865217543937,,
1003,143.98,142994,142,-159.77269088,764,142805,0.001,-45.8169363462008,3.4003423938326014,,
1005,133.95,143233,142,-148.90483782,768,143067,0.001,-45.769472969902885,3.5486465104638714,,
1006,133.78,143410,142,-148.70014665,772,143255,0.001,-45.527116620862806,3.1610372193654377,,
1007,133.88,143747,142,-148.79146380999998,776,143547,0.001,-44.7861618373705,3.565997276617133,,
1008,133.58,143978,142,-148.52916934,780,143747,0.001,-46.045684814453125,3.7600756125016646,,
