time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/critic_loss
524,978.61,4277,506496,603.1587845600002,118,0.001,,,-70.74402629089356,505448,0.5864611042439938
,,,510000,,,0.001,865.6279321432114,1000.0,-70.66640878295898,509448,0.6243942889943719
528,978.61,4314,510496,602.1455763299999,118,,,,,,
532,985.09,4339,514496,603.8921122800001,118,0.001,,,-70.49911608886718,513448,0.4943368940204382
,,,515000,,,0.001,888.923707485199,1000.0,-70.4319942779541,514448,0.6515931836292148
536,989.79,4375,518496,601.10793014,118,0.001,,,-70.37612486267089,517448,0.7314054439291358
,,,520000,,,0.001,877.845631068945,1000.0,-70.38639318847656,519448,0.5968721673339605
540,989.79,4411,522496,602.2994353299999,118,0.001,,,-70.24035441589355,521448,0.6141621680110693
,,,525000,,,0.001,917.555990511179,1000.0,-70.1797249262234,524317,0.5478132933172449
544,988.48,4446,526365,601.84339839,118,0.001,,,-70.25263920593262,525317,0.5925877677202225
,,,530000,,,0.001,836.4500414609909,1000.0,-70.11023501586914,529317,0.5325001205801964
548,988.48,4484,530365,601.39292037,118,,,,,,
552,988.48,4508,534365,599.2166620200001,118,0.001,,,-70.09023043823242,533317,0.5506389770433306
,,,535000,,,0.001,896.9036685824394,1000.0,-70.04705833435058,534317,0.516332349948585
556,988.48,4545,538365,595.14078949,118,0.001,,,-70.19433856201172,537317,0.6459768387973308
,,,540000,,,0.001,903.1746099293232,1000.0,-70.15857006835938,539317,0.5412998073771595
560,988.48,4580,542365,594.9248314,118,0.001,,,-70.12723606872558,541317,0.6245099914222956
,,,545000,,,0.001,953.0705611884594,1000.0,-70.03283288574218,544317,0.599731211796403
564,991.43,4617,546365,601.8124647,118,0.001,,,-70.13637483215332,545317,0.5411792211681604
,,,550000,,,0.001,901.7890992641449,1000.0,-70.18189010620117,549317,0.7052552066743374
568,991.43,4655,550365,601.66373308,118,,,,,,
572,991.43,4680,554365,600.66589166,118,0.001,,,-70.2119306640625,553317,0.5230228348150849
,,,555000,,,0.001,883.7541601181031,1000.0,-70.10041925048829,554317,0.496453211940825
576,991.43,4717,558365,600.30943686,118,0.001,,,-70.19100378417968,557317,0.5391847082152963
,,,560000,,,0.001,939.0317031919956,1000.0,-70.30610989798144,559105,0.5166015982117296
580,989.31,4754,562153,598.41201425,118,0.001,,,-70.18371795654296,561105,0.5041989481598139
,,,565000,,,0.001,845.2527488470078,1000.0,-70.27188394165039,564105,0.7267083720639348
584,996.57,4792,566153,619.5667521099999,118,0.001,,,-70.22429109191894,565105,0.5709144835025072
,,,570000,,,0.001,917.400627553463,1000.0,-70.29877482604981,569105,0.7714326625689865
588,996.57,4833,570153,618.94909302,117,,,,,,
