train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-189.64413715880593,910.7,3315,0.001,572,2716.56475273,147,486869,487924,24.453536269105513,,
-188.06797416842713,,,0.001,,,,489064,490000,25.202888439863155,2940.780029011611,944.4
-189.35293542480468,912.54,3340,0.001,576,2729.1607530900005,147,490064,491119,27.438723403930663,,
-190.1206512145996,,,0.001,,,,494064,495000,27.49004421901703,3270.072885371582,991.6
,912.54,3370,,580,2735.6290678299997,146,,495119,,,
-191.27499227320894,911.36,3384,0.001,584,2739.9960666099996,147,496761,497816,25.83773493259511,,
-190.85358193196964,,,0.001,,,,499693,500000,25.580424363009406,3251.8746692427435,1000.0
-192.08736264038086,919.59,3414,0.001,588,2781.4482891599996,146,500693,501748,26.946773959159852,,
-192.60494012451173,,,0.001,,,,504693,505000,25.98324855709076,3055.6429032629358,916.3
,923.46,3442,,592,2809.35751487,146,,505349,,,
-192.93860470581055,923.46,3462,0.001,596,2799.4135155999998,147,508294,509349,27.220050044059754,,
-192.85875256347657,,,0.001,,,,509294,510000,26.5852863111496,3176.44783501029,1000.0
-193.20662966918945,928.75,3492,0.001,600,2824.468619070001,147,512294,513349,25.479580555438996,,
-194.22943878173828,,,0.001,,,,514294,515000,27.8932798871994,3026.8223702082296,981.1
-194.4903851623535,928.75,3521,0.001,604,2857.7853673400004,146,516294,517349,25.738549201011658,,
-195.6608607788086,,,0.001,,,,519294,520000,23.545429175376892,3165.2596341189173,972.1
-195.3247225341797,928.75,3551,0.001,608,2915.4413229599995,146,520294,521349,24.538849493980408,,
-196.37410250854492,,,0.001,,,,524294,525000,26.30954506397247,3225.52918118923,1000.0
,925.32,3580,,612,2931.20700367,146,,525006,,,
-197.42117712402344,927.01,3600,0.001,616,2911.6584475699997,146,527951,529006,25.179098600387572,,
-196.90582348632813,,,0.001,,,,528951,530000,26.20667545700073,2751.553954148386,822.3
-198.04012701416016,928.39,3628,0.001,620,2895.0080281900005,146,531951,533006,25.429758511543273,,
-197.43601907348634,,,0.001,,,,534760,535000,27.161737637519835,3365.854011113383,1000.0
,916.48,3651,,624,2860.8876916199997,146,,535815,,,
-198.3545714416504,916.07,3668,0.001,628,2871.1017776199997,146,537918,538973,30.498323850631714,,
-198.90925491333007,,,0.001,,,,539918,540000,27.61929128265381,2662.7770782970592,867.0
-199.28629721069336,916.07,3697,0.001,632,2876.52857758,146,541918,542973,27.583473484992982,,
-199.34885900878905,,,0.001,,,,544415,545000,27.970050104141237,3042.5183489646324,1000.0
-200.67078524780274,916.87,3724,0.001,636,2892.053990320001,146,545415,546470,27.576441832542418,,
-200.5466152038574,,,0.001,,,,549415,550000,28.300747871398926,2834.195479829004,829.8
,922.1,3752,,640,2954.61620617,146,,550470,,,
-201.13851693725587,922.1,3774,0.001,644,2962.95949663,146,553415,554470,28.442842540740966,,
