train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,,,,,0.22737228965759276,309843,310000,-60.78437802886963,,1000.0,878.2809282287956
0.001,328,1000.0,887.2127214,2343,0.221853939704597,312843,313843,-60.96261286926269,133,,
0.001,,,,,0.2248632834777236,314843,315000,-61.142794235229495,,1000.0,930.7534323222935
0.001,332,1000.0,887.8399031700001,2372,0.21676267890632153,316843,317843,-61.29922194671631,133,,
0.001,,,,,0.23475250738114117,319843,320000,-61.62456991577148,,1000.0,973.9979651320725
0.001,336,1000.0,886.82713557,2401,0.24054909828305243,320843,321843,-61.67063845062256,134,,
0.001,,,,,0.2518953385278583,324843,325000,-61.96177082824707,,1000.0,890.4490847244858
,340,1000.0,888.1170434899999,2429,,,325843,,134,,
0.001,344,1000.0,888.35747682,2450,0.30503152836114167,328843,329843,-62.09297074127197,134,,
0.001,,,,,0.32967230926454066,329843,330000,-62.110510383605956,,1000.0,903.4183755610138
0.001,348,1000.0,880.1304565199998,2481,0.37311526595801114,332843,333843,-62.06782032012939,134,,
0.001,,,,,0.40168286362290384,334843,335000,-62.03393482208252,,1000.0,897.2135031029582
0.001,352,1000.0,879.6062998299999,2513,0.5376684210598469,336843,337843,-62.19996102142334,134,,
0.001,,,,,1.0390206012129783,339843,340000,-62.277571487426755,,1000.0,690.237069365164
0.001,356,1000.0,842.1982685999999,2544,1.2152720930576324,340843,341843,-62.411940391540526,134,,
0.001,,,,,2.7907120209932326,344843,345000,-58.488261138916016,,685.3,-815.9023713464136
,360,1000.0,748.90319048,2572,,,345843,,134,,
0.001,364,991.11,681.4895872900001,2589,3.4357512437105178,347954,348954,-53.166090988159176,134,,
0.001,,,,,4.961106508493423,349954,350000,-53.3706187133789,,801.3,-717.8605481615756
0.001,368,991.11,588.87136885,2617,5.777286104917526,351954,352954,-51.81754758453369,134,,
0.001,,,,,4.762669406175613,354965,355000,-53.500501441955564,,1000.0,-83.53285025993246
,372,981.22,548.3316624500001,2643,,,355965,,134,,
0.001,376,981.22,490.1313168700001,2665,4.092093806147576,358965,359965,-52.22239572906494,135,,
0.001,,,,,3.5218450278043747,359965,360000,-50.640613571166995,,713.5,225.4822816926986
0.001,380,981.22,484.3501174800001,2693,3.062849308013916,362965,363965,-48.396649185180664,135,,
0.001,,,,,3.422534341931343,364965,365000,-47.164916755676266,,901.7,746.8161424207501
0.001,384,981.22,470.69452955,2723,2.714800590455532,366965,367965,-46.63097306060791,135,,
0.001,,,,,2.1008569920659066,369965,370000,-45.07322489929199,,907.6,309.04890581611545
0.001,388,981.22,462.49262122,2752,2.0146488687992097,370965,371965,-44.44651226043701,135,,
0.001,,,,,1.720035865008831,374965,375000,-41.225690002441404,,1000.0,525.7350558155216
,392,981.22,435.4943279,2783,,,375965,,135,,
0.001,396,981.22,421.0283599799999,2805,1.7778485182523727,378965,379965,-40.40985040283203,135,,
0.001,,,,,1.7858640369772911,379965,380000,-39.89859843444824,,1000.0,696.8929295505397
0.001,400,981.22,418.55508869,2837,1.792771488249302,382965,383965,-39.22102362060547,135,,
0.001,,,,,1.577886883676052,384965,385000,-39.69580862426758,,1000.0,814.9131254246458
0.001,404,981.22,400.9417350199999,2869,1.5560238664150239,386965,387965,-39.81424121856689,135,,
0.001,,,,,1.3079402379989624,389965,390000,-40.470705131530764,,1000.0,838.6723089069128
0.001,408,981.22,394.49314641000007,2900,1.3079967538118362,390965,391965,-40.48525849151611,135,,
0.001,,,,,1.464698443889618,394965,395000,-40.308850440979,,925.6,739.1392010119744
,412,981.22,385.73410938999996,2930,,,395965,,135,,
0.001,416,981.22,371.68297047,2951,2.0657743586301804,398965,399965,-38.41338401794434,135,,
0.001,,,,,1.9110635265111924,399965,400000,-38.354369491577145,,1000.0,535.3624846627936
0.001,420,981.22,362.64377614999995,2982,1.6397569886446,402965,403965,-37.553769004821774,135,,
0.001,,,,,1.347264870941639,404965,405000,-38.48652947998047,,1000.0,681.5420225759968
0.001,424,981.22,354.1738275799999,3013,1.045084039479494,406965,407965,-39.58238341522217,135,,
0.001,,,,,0.9683193701505661,409965,410000,-40.404774864196774,,1000.0,807.0485625691712
0.001,428,981.22,346.40019134999994,3044,0.8438401879370212,410965,411965,-40.57980529022217,135,,
0.001,,,,,0.7913193004131317,414965,415000,-41.21704661560059,,1000.0,747.3172461377457
,432,981.22,343.67931701000003,3075,,,415965,,135,,
0.001,436,981.22,338.74810139,3096,0.6408959845006466,418965,419965,-41.9919789276123,135,,
0.001,,,,,0.6317484112679959,419965,420000,-42.31303617858887,,1000.0,704.6180859147571
0.001,440,981.22,337.92355785,3127,0.610962405025959,422965,423965,-43.0027341003418,135,,
0.001,,,,,0.5825749690979719,424965,425000,-43.36474560546875,,1000.0,943.8668288066983
0.001,444,981.22,329.86630145,3158,0.5736983647495508,426965,427965,-43.715740837097165,135,,
0.001,,,,,0.5063061531037092,429965,430000,-44.51718558502197,,1000.0,879.8431060530245
0.001,448,981.22,334.19503051,3189,0.5148746096044778,430965,431965,-44.77631818389892,135,,
0.001,,,,,0.4811374756395817,434965,435000,-45.81657608795166,,1000.0,919.119252115488
,452,981.22,336.31676672000003,3220,,,435965,,135,,
0.001,456,981.22,373.88784767,3242,0.43146320401132104,438965,439965,-47.14275999450684,135,,
0.001,,,,,0.4674989142417908,439965,440000,-47.33320636749268,,1000.0,894.31949681025
0.001,460,981.22,468.84446928000006,3273,0.47578199361264706,442965,443965,-48.06264140319824,135,,
0.001,,,,,0.5291497185826302,444965,445000,-48.385063735961914,,1000.0,890.2689687378704
0.001,464,990.11,536.9861433400001,3303,0.4971503161340952,446965,447965,-48.68590460968018,135,,
