time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
50,5531,920,20.79,192.87926493999998,110,-67.87227925387296,0.001,7.8571843677096895,5399,,
51,5645,924,21.45,199.00044130000003,110,-69.40162973818572,0.001,8.067228379456893,5522,,
51,5748,928,22.0,204.09358614999996,110,-69.66838954045222,0.001,7.422671356201172,5628,,
52,5860,932,22.41,207.86263636,111,-69.9064826965332,0.001,7.120341132668888,5726,,
53,5943,936,22.36,207.38543118,111,-73.88110282204367,0.001,8.890093553633918,5814,,
,6000,,,,,-71.57401911417644,0.001,10.253934745788575,5889,28.4,263.2231872558594
54,6035,940,22.68,210.34909167,111,-71.40112709999084,0.001,12.13449893459197,5920,,
55,6137,944,23.08,214.03764213000002,111,-73.90086619059245,0.001,10.171588878631592,6019,,
55,6244,948,23.56,218.49914351999996,111,-74.42298253377278,0.001,10.523407649993896,6127,,
56,6341,952,24.01,222.6601252,112,-75.5812245686849,0.001,9.923589833577473,6218,,
57,6449,956,23.92,221.77007942,112,-77.24927847726005,0.001,11.310314934829186,6331,,
58,6541,960,23.96,222.11432003000002,112,-76.15530395507812,0.001,13.73489931857947,6418,,
59,6662,964,24.43,226.48450900000003,112,-77.9408692580003,0.001,13.51799152447627,6525,,
60,6787,968,24.82,230.09628355999996,113,-78.827527663287,0.001,12.906532413819257,6659,,
60,6896,972,25.21,233.70072831999997,113,-78.35429239273071,0.001,13.005247946708433,6774,,
,7000,,,,,-79.11635360717773,0.001,14.196424722671509,6868,34.8,323.55714054107665
62,7009,976,25.26,234.14039148,112,,,,,,
63,7108,980,25.24,233.93372481999998,112,-82.9755630493164,0.001,13.757570823033651,6985,,
64,7246,984,25.57,236.98367969999998,112,-79.97499148050944,0.001,16.26224723815918,7117,,
65,7357,988,25.85,239.58192418,112,-81.31102511757298,0.001,16.284752569700544,7234,,
66,7525,992,26.37,244.43790830999998,112,-82.68104732737822,0.001,15.261901098139147,7394,,
68,7672,996,26.91,249.46569768000006,112,-89.2105278968811,0.001,16.570028245449066,7549,,
69,7786,1000,27.41,254.1229939,112,-84.21687698364258,0.001,18.43349414883238,7673,,
70,7893,1004,27.52,255.12736907,112,-85.94794394753195,0.001,19.891322135925293,7778,,
,8000,,,,,-87.90690231323242,0.001,17.89005744934082,7857,36.9,342.9982210159302
71,8047,1008,28.17,261.1833439,112,-87.96105408668518,0.001,18.86014360189438,7921,,
73,8201,1012,28.91,268.09168054,112,-86.00800164540608,0.001,18.986056844393413,8072,,
74,8370,1016,29.71,275.56220185999996,112,-90.78847903297061,0.001,21.76904582977295,8243,,
75,8506,1020,29.75,275.96113144,112,-93.46312408447265,0.001,18.03423407872518,8375,,
76,8612,1024,29.67,275.23167144,112,-92.17091042654855,0.001,21.553341388702393,8487,,
77,8753,1028,30.05,278.79943199,113,-90.79608154296875,0.001,20.19989562034607,8608,,
78,8913,1032,30.53,283.32064254,113,-95.27616204155817,0.001,26.871274126900566,8784,,
,9000,,,,,-93.01185989379883,0.001,23.131749493735178,8877,38.2,355.2202622413635
