time/total_timesteps,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
485648,124,,3901,,1000.0,500,,917.39981672,,,
489648,124,-75.31293809509278,3923,0.10506274105794727,1000.0,504,0.001,918.90520862,488648,,
490000,,-75.39254122924805,,0.10525883869454265,,,0.001,,489648,975.0644318878651,1000.0
493648,124,-75.38917788696288,3956,0.10224330323189497,1000.0,508,0.001,919.1032110400001,492648,,
495000,,-75.3291088104248,,0.10630203253775836,,,0.001,,494648,976.3586253404617,1000.0
497648,124,-75.36291168212891,3989,0.11384134773910046,1000.0,512,0.001,919.2721798099999,496648,,
500000,,-75.44412908935547,,0.1202560008969158,,,0.001,,499648,969.0641179800034,1000.0
501648,124,-75.50763423156738,4023,0.12035606970824302,1000.0,516,0.001,919.5118724999999,500648,,
505000,,-75.55190104675293,,0.09284515154361725,,,0.001,,504648,971.6902993917465,1000.0
505648,124,,4056,,1000.0,520,,919.60077632,,,
509648,124,-75.51364895629882,4079,0.12873391942679882,1000.0,524,0.001,920.03690374,508648,,
510000,,-75.52698443603515,,0.10822080153413118,,,0.001,,509648,971.4652872741223,1000.0
513648,124,-75.50828346252442,4113,0.10531765730679035,1000.0,528,0.001,920.1607518100001,512648,,
515000,,-75.5792279510498,,0.11352620328404009,,,0.001,,514648,958.4963356286287,1000.0
517648,124,-75.59620246887206,4146,0.11459293906390668,1000.0,532,0.001,920.16022671,516648,,
520000,,-75.65989340209961,,0.11598458760417998,,,0.001,,519648,979.5209595322609,1000.0
521648,124,-75.6533211517334,4180,0.10852551854960621,1000.0,536,0.001,920.5801269099998,520648,,
525000,,-75.60184725952148,,0.11333115911111236,,,0.001,,524648,960.1066365659237,1000.0
525648,124,,4214,,1000.0,540,,921.5138901899998,,,
529648,124,-75.60763127136231,4237,0.11928220359422266,1000.0,544,0.001,921.82179363,528648,,
530000,,-75.62814181518554,,0.1431859291214496,,,0.001,,529648,960.5484929084778,1000.0
533648,124,-75.62445231628418,4270,0.11178831994161009,1000.0,548,0.001,921.72934424,532648,,
535000,,-75.65100326538087,,0.13295044448040425,,,0.001,,534648,982.2340748727322,1000.0
537648,124,-75.60237265014648,4303,0.10972546932287514,1000.0,552,0.001,921.7510920200001,536648,,
540000,,-75.66328576660156,,0.12135394466854632,,,0.001,,539648,964.2809562385082,1000.0
541648,124,-75.62742645263671,4337,0.10143403656408191,1000.0,556,0.001,922.1469384799999,540648,,
545000,,-75.75152258300781,,0.09931177085824311,,,0.001,,544648,972.9156863629818,1000.0
545648,124,,4370,,1000.0,560,,922.4221045599999,,,
549648,125,-75.7964524230957,4393,0.10254469012655318,1000.0,564,0.001,922.8114244,548648,,
550000,,-75.72018913269044,,0.11523717698454856,,,0.001,,549648,974.10476526618,1000.0
553648,125,-75.7327017211914,4426,0.09161503803543747,1000.0,568,0.001,922.98594255,552648,,
555000,,-75.72398089599609,,0.1196786819472909,,,0.001,,554648,969.0234239161015,1000.0
557648,125,-75.84773208618164,4459,0.10560736921429634,1000.0,572,0.001,923.2302922599999,556648,,
560000,,-75.80116227722168,,0.09843579817004502,,,0.001,,559648,979.4915279328823,1000.0
561648,125,-75.76598892211913,4493,0.12987285042181612,1000.0,576,0.001,923.35906487,560648,,
565000,,-75.78508430480957,,0.12264471039362251,,,0.001,,564648,972.3562568902969,1000.0
565648,124,,4527,,1000.0,580,,923.8636241399998,,,
569648,125,-75.82185450744629,4550,0.11164795828796924,1000.0,584,0.001,924.0811353,568648,,
570000,,-75.7571943206787,,0.1048101967368275,,,0.001,,569648,972.82260607481,1000.0
573648,125,-75.84163003540039,4583,0.09695011410117149,1000.0,588,0.001,923.9748545900001,572648,,
575000,,-75.97807302856445,,0.12742057062499226,,,0.001,,574648,958.9613496422768,1000.0
577648,125,-75.98170768737793,4616,0.11257976234890521,1000.0,592,0.001,924.13207349,576648,,
