time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_ep_length,train/std,eval/mean_reward,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
714752,5339,349,488.77,1778.3592932899999,133,0.9964711680077016,3480,0.0003,-0.006602994547574781,0.228076171875,9.453848662972451,,0.3803281784057617,,-1.351956019923091,0.031473726,0.2,2.851496934890747
715000,,,,,,0.9259045571088791,3490,0.0003,-0.007106837228639052,0.121142578125,398.7743693679571,583.95,0.38160738348960876,2175.9130526602266,-1.3381660770624877,0.009437488,0.2,20.175273895263672
716800,5353,350,494.5,1799.69060979,133,,,,,,,,,,,,,
717500,,,,,,0.993803673889488,3500,0.0003,-0.008267490548314526,0.192236328125,14.489673678576946,1000.0,0.3795701265335083,3521.2872414857147,-1.3353308614343404,0.016257536,0.2,5.061176300048828
718848,5372,351,487.27,1774.61544753,133,,,,,,,,,,,,,
720000,,,,,,0.9962794249877334,3510,0.0003,-0.005033913018996828,0.274755859375,12.04053703173995,1000.0,0.3788050413131714,3517.041915398836,-1.3229653753340245,0.027410677,0.2,2.585803508758545
720896,5392,352,492.33,1792.6411948100001,133,,,,,,,,,,,,,
722500,,,,,,0.9951716852374375,3520,0.0003,-3.715258790180087e-05,0.344921875,4.043876633420586,1000.0,0.383277028799057,3531.457253432274,-1.3450385015457869,0.03510183,0.2,1.1014201641082764
722944,5412,353,486.32,1769.6468634600003,133,,,,,,,,,,,,,
724992,5416,354,486.97,1771.2973975300004,133,0.9960127724334598,3530,0.0003,-0.0075142476125620306,0.211279296875,9.84274654686451,,0.38356661796569824,,-1.358140730857849,0.017536953,0.2,1.8906382322311401
725000,,,,,,0.99595837155357,3540,0.0003,-0.011589845467824489,0.24189453125,7.661054896563291,1000.0,0.38134264945983887,3528.943062800169,-1.3510757971554994,0.022796616,0.2,1.6756162643432617
727040,5436,355,492.07,1787.96420713,133,,,,,,,,,,,,,
727500,,,,,,0.8688249886035919,3550,0.0003,-0.004342308265040629,0.149365234375,326.8250027373433,1000.0,0.3797646760940552,3535.5707180678846,-1.334390426799655,0.0136098545,0.2,398.43487548828125
729088,5455,356,503.37,1827.86549055,133,,,,,,,,,,,,,
730000,,,,,,0.9930834085680544,3560,0.0003,-0.004657450482773129,0.23984375,8.459048088639975,889.65,0.37894341349601746,3252.089614325762,-1.3283889066427945,0.030735113,0.2,2.063960552215576
731136,5473,357,506.2,1840.55733628,133,,,,,,,,,,,,,
732500,,,,,,0.9945135624147952,3570,0.0003,-0.015101369138574228,0.248388671875,14.859232977777719,1000.0,0.37859436869621277,3552.9887819886208,-1.321559640392661,0.019475121,0.2,4.332906723022461
733184,5493,358,506.33,1844.35250799,133,,,,,,,,,,,,,
735000,,,,,,0.9888304164633155,3580,0.0003,-0.007586101767083164,0.1650390625,34.31934027224779,1000.0,0.37731537222862244,3550.5554374933245,-1.3147955782711507,0.027026227,0.2,5.67941951751709
735232,5513,359,503.79,1837.48338224,133,,,,,,,,,,,,,
737280,5517,360,491.51,1795.19814303,133,0.9975584105122834,3590,0.0003,-0.009919074599747547,0.22685546875,7.4397839196026325,,0.3771499991416931,,-1.309823938086629,0.020526256,0.2,2.300898313522339
737500,,,,,,0.9974411921575665,3600,0.0003,-0.012411116700968705,0.220166015625,10.753088977187872,1000.0,0.3761211037635803,3548.088159146905,-1.3056151125580073,0.025698818,0.2,3.901824951171875
739328,5537,361,494.75,1809.1976369499998,133,,,,,,,,,,,,,
740000,,,,,,0.9968921756371856,3610,0.0003,-0.011728803000005427,0.19267578125,9.963753491640091,777.0,0.3732151389122009,2702.420733258128,-1.288814912736416,0.017581075,0.2,3.2429304122924805
741376,5553,362,502.82,1837.0340083199999,133,,,,,,,,,,,,,
742500,,,,,,0.9961915924213827,3620,0.0003,0.0036994645459344612,0.333935546875,4.268220888078213,914.15,0.37526434659957886,3191.9841540575026,-1.2859251994639636,0.03742557,0.2,1.5851850509643555
743424,5572,363,504.76,1840.6525006699999,133,,,,,,,,,,,,,
745000,,,,,,0.5886412858963013,3630,0.0003,-0.003933861310360953,0.17041015625,165.91088677942753,1000.0,0.375409334897995,3554.8685566455124,-1.3033558055758476,0.015521446,0.2,58.24315643310547
745472,5592,364,499.03,1820.1087436299997,133,,,,,,,,,,,,,
747500,,,,,,0.9845570754259825,3640,0.0003,-0.010612481756834314,0.155078125,21.717354686558245,800.95,0.3739738464355469,2764.0953017413617,-1.296228127554059,0.013988963,0.2,7.019384860992432
747520,5608,365,495.27,1808.6984607099998,133,,,,,,,,,,,,,
749568,5612,366,503.61,1834.49676917,133,0.9928552266210318,3650,0.0003,-0.0119888445653487,0.179443359375,17.383130188286305,,0.37085866928100586,,-1.2794850274920464,0.022125922,0.2,6.57424259185791
750000,,,,,,0.9831224158406258,3660,0.0003,0.0016622171329800039,0.3408203125,7.702896485105157,468.8,0.3743039071559906,1538.8833924412727,-1.2787293005734681,0.03294339,0.2,7.7005205154418945
751616,5624,367,513.23,1865.92558659,133,,,,,,,,,,,,,
752500,,,,,,0.33544254302978516,3670,0.0003,-0.0049343161372235045,0.12373046875,523.5207816570997,507.15,0.37494346499443054,1687.9345341354608,-1.2940234303474427,0.006917088,0.2,18.198837280273438
753664,5636,368,519.42,1884.17985682,133,,,,,,,,,,,,,
755000,,,,,,0.24110627174377441,3680,0.0003,-0.005072030701558106,0.04658203125,1098.729326915741,500.4,0.37515172362327576,1667.7629289507865,-1.297437035664916,0.004825874,0.2,989.2874755859375
755712,5648,369,521.69,1891.9257864300002,133,,,,,,,,,,,,,
