time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
220000,,,,,,0.2,-22.5872292637825,0.9152451753616333,0.023061851,1070,0.9094475954771042,0.179443359375,265.0249544143677,139.81277465820312,-0.05013006258959649,0.0003,241.67662096321584,50.25
221184,108,340.14048884,69.84,608,363,,,,,,,,,,,,,
223232,109,341.42815457000006,69.97,613,363,0.2,-22.57086064815521,0.9144198894500732,0.02342249,1080,0.8850236013531685,0.168505859375,286.6621217489243,83.26370239257812,-0.046115939531591724,0.0003,,
225000,,,,,,0.2,-22.553303164243697,0.9134204983711243,0.02232001,1090,0.8772560134530067,0.166796875,322.1432849407196,70.53392028808594,-0.049005893620778805,0.0003,241.8548225104809,50.6
225280,110,339.28514682,69.59,620,363,,,,,,,,,,,,,
227328,111,339.64673716000004,69.69,624,363,0.2,-22.534251743555068,0.9123270511627197,0.022477482,1100,0.8812103271484375,0.179638671875,307.14045119285583,79.54024505615234,-0.05070339017547667,0.0003,,
229376,112,342.07580307999996,69.81,630,364,0.2,-22.515468549728393,0.9114568829536438,0.02359612,1110,0.8922305628657341,0.201416015625,296.174187707901,143.984375,-0.052641765974112784,0.0003,,
230000,,,,,,0.2,-22.500623232126237,0.9107006192207336,0.022528948,1120,0.8861004784703255,0.17421875,303.0124192237854,116.83554077148438,-0.04910094117803965,0.0003,241.08971923105418,50.9
231424,113,342.2143528599999,69.78,636,363,,,,,,,,,,,,,
233472,114,333.98459423,68.31,641,363,0.2,-22.48411351442337,0.909589409828186,0.02149969,1130,0.896063469350338,0.159814453125,299.7091366767883,127.2560806274414,-0.04437205413705669,0.0003,,
235000,,,,,,0.2,-22.47280861735344,0.9096497297286987,0.01863502,1140,0.8928248360753059,0.155419921875,337.0919973373413,203.00100708007812,-0.043056359005277045,0.0003,240.16022262778134,49.1
235520,115,335.0866107100001,68.24,647,363,,,,,,,,,,,,,
237568,116,336.1083078399999,68.4,652,363,0.2,-22.474986255168915,0.9096198678016663,0.021934887,1150,0.9086936190724373,0.165869140625,264.9658778429031,88.56224822998047,-0.04699696318130009,0.0003,,
239616,117,337.06641733,68.49,657,364,0.2,-22.464073926210403,0.9086300134658813,0.020468734,1160,0.910015307366848,0.163623046875,276.7581553220749,99.61007690429688,-0.04775798566115554,0.0003,,
240000,,,,,,0.2,-22.445923602581026,0.9076657891273499,0.019974316,1170,0.8770642578601837,0.153173828125,314.1471542358398,119.3167953491211,-0.04542657679266995,0.0003,237.77219715863467,49.3
241664,118,340.7541926800001,69.55,664,363,,,,,,,,,,,,,
243712,119,341.23262868,70.12,669,364,0.2,-22.435104060173035,0.9076575636863708,0.023304513,1180,0.8815155848860741,0.157763671875,320.8020339488983,124.28543853759766,-0.04470054338453337,0.0003,,
